# 915 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.001923	  0.186863	     -1.00	    405.34	    145.79	      2.67	      2.51	     46.78	     43.93	26.10	 1.353e-03	     -0.38	1	Gaussian	306.891716	38.439768
2	1	  0.001833	  0.140609	     -1.00	    570.81	    346.69	      2.76	      2.59	     48.26	     45.33	29.56	 1.088e-03	     -0.14	0	Gaussian	305.934230	37.476270
3	1	  0.001984	  0.133165	     -1.00	    338.24	    569.45	      2.75	      2.58	     48.11	     45.22	37.07	 1.555e-03	     -0.07	0	Gaussian	307.333894	36.454041
4	1	  0.001832	  0.090864	     -1.00	    266.73	    467.69	      2.76	      2.59	     48.30	     45.30	28.12	 7.607e-04	      0.33	0	Gaussian	307.746013	36.935297
5	1	  0.001824	  0.059194	     -1.00	    571.23	    442.65	      2.77	      2.59	     48.42	     45.36	25.45	 8.006e-04	      0.79	0	Gaussian	305.949365	37.025802
6	1	  0.001646	  0.029832	     -1.00	    316.78	    213.64	      2.89	      2.57	     50.61	     45.04	41.87	 2.242e-04	      1.50	0	Gaussian	307.430474	38.126974
7	1	  0.002176	  0.031164	     -1.00	      5.42	    543.12	      2.64	      2.56	     46.14	     44.78	27.29	 8.732e-04	      1.56	0	Gaussian	309.282029	36.582933
8	1	  0.001743	  0.028083	     -1.00	    687.89	    176.81	      2.79	      2.61	     48.82	     45.76	22.35	 3.562e-04	      1.59	0	Gaussian	305.200850	38.256381
9	1	  0.001680	  0.028724	     -1.00	    122.64	    273.83	      2.69	      2.56	     47.11	     44.75	21.09	 2.452e-04	      1.62	0	Gaussian	308.594228	37.849885
10	1	  0.001658	  0.009786	     -1.00	    323.00	     39.48	      7.36	      2.72	    128.75	     47.61	-29.04	 6.032e-04	      1.63	0	Gaussian	307.378083	38.947017
11	1	  0.001686	  0.027038	     -1.00	    370.17	    284.71	      2.64	      2.57	     46.17	     45.00	16.98	 2.606e-04	      1.71	0	Gaussian	307.117993	37.788888
12	1	  0.001655	  0.019803	     -1.00	    532.25	     31.04	      3.48	      2.64	     60.99	     46.18	61.66	 4.733e-04	      1.71	0	Gaussian	306.108337	38.966213
