# 884 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.001868	  0.191420	     -1.00	    224.49	    379.07	      2.54	      2.54	     44.44	     44.42	-16.63	 1.028e-03	     -0.36	1	Gaussian	310.484490	41.716740
2	1	  0.002131	  0.138300	     -1.00	    315.32	    621.57	      2.58	      2.42	     45.18	     42.37	33.91	 1.734e-03	      0.02	0	Gaussian	309.887849	40.579528
3	1	  0.001827	  0.127975	     -1.00	    305.16	     11.51	      2.55	      2.43	     44.62	     42.52	23.36	 7.641e-04	      0.12	0	Gaussian	310.011337	43.458269
4	1	  0.001840	  0.083053	     -1.00	    581.42	     69.69	      2.48	      2.46	     43.47	     43.08	45.65	 6.980e-04	      0.60	0	Gaussian	308.217049	43.191298
5	1	  0.001739	  0.078885	     -1.00	    545.81	    370.45	      2.58	      2.48	     45.14	     43.34	22.69	 4.053e-04	      0.61	0	Gaussian	308.451612	41.772099
6	1	  0.001786	  0.070375	     -1.00	    487.01	    345.44	      2.57	      2.47	     45.05	     43.18	25.50	 4.135e-04	      0.74	0	Gaussian	308.824309	41.890218
7	1	  0.001721	  0.065012	     -1.00	    514.57	    513.12	      2.55	      2.50	     44.57	     43.78	42.17	 3.554e-04	      0.82	0	Gaussian	308.649233	41.098416
8	1	  0.001719	  0.063129	     -1.00	    320.76	    268.52	      2.57	      2.43	     45.05	     42.60	34.12	 3.499e-04	      0.87	0	Gaussian	309.885832	42.246812
9	1	  0.001693	  0.055211	     -1.00	    264.14	    488.81	      2.57	      2.57	     44.94	     44.93	4.85	 2.623e-04	      0.96	0	Gaussian	310.221071	41.202419
10	1	  0.001746	  0.053103	     -1.00	    150.24	    270.62	      2.55	      2.50	     44.62	     43.72	34.78	 4.027e-04	      1.04	0	Gaussian	310.972232	42.220009
11	1	  0.001702	  0.051815	     -1.00	    383.27	    142.21	      2.56	      2.45	     44.89	     42.81	45.79	 3.527e-04	      1.09	0	Gaussian	309.495217	42.846651
12	1	  0.001671	  0.047341	     -1.00	    583.39	    342.85	      2.53	      2.53	     44.37	     44.35	-37.36	 2.711e-04	      1.16	0	Gaussian	308.212829	41.901810
13	1	  0.001808	  0.046131	     -1.00	     23.20	    226.32	      2.62	      2.46	     45.83	     43.07	31.92	 4.672e-04	      1.18	0	Gaussian	311.790945	42.409614
14	1	  0.001682	  0.042510	     -1.00	    406.87	    111.85	      2.63	      2.50	     46.12	     43.78	32.12	 2.076e-04	      1.24	0	Gaussian	309.344880	42.990964
15	1	  0.001753	  0.041010	     -1.00	    577.04	    433.50	      2.58	      2.47	     45.08	     43.26	21.94	 2.850e-04	      1.32	0	Gaussian	308.255569	41.473805
16	1	  0.001742	  0.040037	     -1.00	    527.45	     34.05	      2.60	      2.50	     45.53	     43.77	43.26	 2.814e-04	      1.32	0	Gaussian	308.566295	43.360161
17	1	  0.001656	  0.033636	     -1.00	    501.12	    382.07	      2.74	      2.52	     47.92	     44.18	54.73	 1.723e-04	      1.45	0	Gaussian	308.734496	41.717302
