# 816 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.003708	  0.565907	     -1.00	    112.06	    128.44	      2.72	      2.58	     47.59	     45.15	32.67	 6.156e-03	     -1.63	1	Gaussian	294.109686	50.222383
2	1	  0.002377	  0.199674	     -1.00	    286.97	     73.27	      2.73	      2.57	     47.74	     45.00	36.08	 2.112e-03	     -0.50	0	Gaussian	292.829811	50.306407
3	1	  0.002058	  0.112290	     -1.00	    245.09	    316.64	      2.63	      2.61	     46.05	     45.75	-10.15	 1.223e-03	      0.14	0	Gaussian	293.422465	49.261828
4	1	  0.002072	  0.089615	     -1.00	    565.08	     17.31	      2.80	      2.61	     48.97	     45.69	35.51	 1.181e-03	      0.32	0	Gaussian	290.849350	50.270749
5	1	  0.001947	  0.084807	     -1.00	    129.20	    121.47	      2.68	      2.58	     46.82	     45.13	50.02	 9.741e-04	      0.45	0	Gaussian	293.982220	50.238259
6	1	  0.002048	  0.085217	     -1.00	     93.60	    341.38	      2.63	      2.59	     45.97	     45.42	33.20	 1.078e-03	      0.46	0	Gaussian	294.485431	49.284914
7	1	  0.001891	  0.062319	     -1.00	    252.50	    560.05	      2.73	      2.66	     47.83	     46.55	57.65	 7.225e-04	      0.72	0	Gaussian	293.664877	48.163312
8	1	  0.001945	  0.055929	     -1.00	    402.71	    681.64	      2.74	      2.65	     47.93	     46.31	62.80	 7.681e-04	      0.85	0	Gaussian	292.817418	47.480349
9	1	  0.001869	  0.046756	     -1.00	    168.60	    498.12	      2.72	      2.60	     47.67	     45.54	58.91	 5.420e-04	      1.06	0	Gaussian	294.155515	48.515565
10	1	  0.001802	  0.042241	     -1.00	    364.86	    443.88	      2.82	      2.71	     49.31	     47.49	51.54	 4.897e-04	      1.09	0	Gaussian	292.772839	48.581580
11	1	  0.002181	  0.038139	     -1.00	    451.51	     72.76	      2.69	      2.67	     47.03	     46.81	-6.44	 1.414e-03	      1.27	0	Gaussian	291.700287	50.145538
12	1	  0.001733	  0.032454	     -1.00	    301.24	     94.98	      2.70	      2.64	     47.33	     46.26	27.60	 3.697e-04	      1.45	0	Gaussian	292.759525	50.196376
13	1	  0.001768	  0.029219	     -1.00	    557.81	    539.06	      2.73	      2.73	     47.83	     47.83	-43.48	 3.587e-04	      1.51	0	Gaussian	291.618775	47.969329
14	1	  0.001853	  0.027750	     -1.00	    661.55	    492.86	      2.67	      2.67	     46.76	     46.70	10.79	 4.474e-04	      1.62	0	Gaussian	290.877982	48.069154
15	1	  0.001729	  0.024494	     -1.00	    529.47	    642.23	      2.70	      2.69	     47.23	     47.11	60.36	 3.205e-04	      1.74	0	Gaussian	291.939035	47.536575
16	1	  0.002325	  0.025846	     -1.00	     99.68	    136.06	      2.62	      2.54	     45.94	     44.44	55.42	 1.983e-03	      1.77	0	Gaussian	294.204778	50.199285
17	1	  0.001746	  0.022256	     -1.00	     20.67	    526.27	      2.70	      2.68	     47.32	     46.96	-23.34	 2.994e-04	      1.84	0	Gaussian	295.187353	48.512040
18	1	  0.001722	  0.020184	     -1.00	    368.75	    235.25	      2.69	      2.69	     47.12	     47.12	-47.26	 2.438e-04	      1.95	0	Gaussian	292.480227	49.508207
19	1	  0.001695	  0.020348	     -1.00	    266.96	    105.35	      2.68	      2.66	     46.87	     46.61	21.01	 2.346e-04	      1.96	0	Gaussian	293.008991	50.183099
20	1	  0.001812	  0.018615	     -1.00	    493.22	    215.91	      2.75	      2.59	     48.10	     45.30	52.49	 4.115e-04	      2.06	0	Gaussian	291.613508	49.470222
21	1	  0.001708	  0.018914	     -1.00	    518.67	    345.38	      2.64	      2.61	     46.26	     45.66	6.79	 2.450e-04	      2.07	0	Gaussian	291.618505	48.870350
22	1	  0.001684	  0.017720	     -1.00	     20.18	    428.41	      2.69	      2.65	     47.03	     46.42	13.01	 2.089e-04	      2.11	0	Gaussian	295.084864	48.954442
23	1	  0.001734	  0.017610	     -1.00	    463.64	    270.90	      2.72	      2.64	     47.63	     46.24	-44.73	 2.159e-04	      2.11	0	Gaussian	291.886672	49.256305
24	1	  0.001715	  0.015691	     -1.00	    144.15	     31.04	      2.78	      2.74	     48.70	     48.04	28.44	 2.168e-04	      2.17	0	Gaussian	293.768261	50.627441
25	1	  0.001677	  0.016401	     -1.00	    507.73	    278.22	      2.75	      2.63	     48.05	     46.07	46.00	 1.832e-04	      2.18	0	Gaussian	291.600778	49.179423
26	1	  0.001698	  0.015990	     -1.00	    499.84	    505.54	      2.74	      2.69	     47.96	     47.03	5.96	 2.078e-04	      2.18	0	Gaussian	291.955753	48.176226
27	1	  0.001940	  0.015660	     -1.00	    632.06	    430.80	      2.72	      2.72	     47.65	     47.53	85.91	 7.666e-04	      2.20	0	Gaussian	290.985263	48.375163
28	1	  0.001798	  0.016595	     -1.00	    621.50	    421.44	      2.68	      2.59	     46.83	     45.31	12.32	 4.635e-04	      2.21	0	Gaussian	291.041720	48.427627
29	1	  0.001719	  0.015606	     -1.00	    500.65	     78.40	      2.70	      2.57	     47.19	     45.01	56.68	 2.478e-04	      2.28	0	Gaussian	291.373600	50.070024
30	1	  0.001694	  0.013940	     -1.00	    496.52	    596.03	      2.79	      2.69	     48.76	     47.01	85.33	 1.697e-04	      2.32	0	Gaussian	292.094850	47.775253
31	1	  0.001690	  0.014219	     -1.00	    649.69	    311.46	      2.65	      2.59	     46.41	     45.40	24.10	 1.738e-04	      2.39	0	Gaussian	290.702376	48.884929
32	1	  0.001678	  0.013283	     -1.00	    401.18	    518.97	      2.76	      2.62	     48.37	     45.84	53.02	 1.528e-04	      2.40	0	Gaussian	292.625382	48.211347
33	1	  0.001681	  0.013734	     -1.00	    422.26	     21.41	      2.62	      2.57	     45.83	     44.90	46.64	 1.677e-04	      2.45	0	Gaussian	291.829901	50.401891
34	1	  0.001702	  0.012415	     -1.00	    334.01	    447.41	      2.68	      2.68	     46.98	     46.91	14.00	 1.750e-04	      2.48	0	Gaussian	292.983616	48.594727
35	1	  0.001694	  0.010985	     -1.00	    322.17	    335.29	      2.74	      2.70	     48.03	     47.19	36.44	 1.903e-04	      2.60	0	Gaussian	292.923291	49.107025
36	1	  0.001748	  0.011089	     -1.00	    103.61	    690.64	      2.71	      2.68	     47.47	     46.84	-8.36	 3.559e-04	      2.60	0	Gaussian	294.806662	47.700713
37	1	  0.001664	  0.010478	     -1.00	    661.23	    640.59	      2.74	      2.62	     48.01	     45.88	83.80	 1.358e-04	      2.67	0	Gaussian	291.081789	47.412601
38	1	  0.001667	  0.009762	     -1.00	    351.04	    477.98	      2.75	      2.74	     48.07	     47.97	14.77	 1.200e-04	      2.70	0	Gaussian	292.907691	48.441951
39	1	  0.001662	  0.007006	     -1.00	    215.58	    146.87	      3.07	      3.07	     53.78	     53.77	7.60	 1.405e-04	      2.81	0	Gaussian	293.415447	50.046541
40	1	  0.001656	  0.008706	     -1.00	    390.72	    421.75	      2.79	      2.73	     48.78	     47.79	82.00	 1.141e-04	      2.82	0	Gaussian	292.572047	48.655971
41	1	  0.001730	  0.007488	     -1.00	    282.61	    577.51	      2.90	      2.78	     50.83	     48.66	82.61	 3.860e-04	      2.90	0	Gaussian	293.484808	48.057939
42	1	  0.001648	  0.008221	     -1.00	    347.66	    577.64	      2.71	      2.70	     47.35	     47.20	34.15	 1.001e-04	      2.91	0	Gaussian	293.052966	47.998268
43	1	  0.001662	  0.005878	     -1.00	    108.66	    541.00	      3.32	      2.95	     58.12	     51.68	67.34	 2.202e-04	      2.96	0	Gaussian	294.608180	48.373226
44	1	  0.001675	  0.007264	     -1.00	    430.14	    599.13	      2.83	      2.75	     49.58	     48.09	-89.41	 1.204e-04	      3.00	0	Gaussian	292.534780	47.824922
45	1	  0.001685	  0.007099	     -1.00	    461.07	    686.89	      2.76	      2.76	     48.39	     48.38	-44.19	 1.067e-04	      3.02	0	Gaussian	292.442087	47.402171
46	1	  0.001653	  0.007661	     -1.00	    440.23	     55.32	      2.72	      2.64	     47.65	     46.29	36.88	 1.026e-04	      3.02	0	Gaussian	291.753388	50.233991
47	1	  0.001701	  0.007494	     -1.00	     46.71	    302.66	      2.70	      2.66	     47.33	     46.57	39.35	 3.694e-04	      3.04	0	Gaussian	294.763659	49.498581
48	1	  0.001694	  0.006285	     -1.00	    509.13	    112.25	      2.98	      2.83	     52.18	     49.59	66.12	 1.086e-04	      3.04	0	Gaussian	291.363231	49.911947
49	1	  0.001672	  0.007802	     -1.00	    171.50	    100.36	      2.65	      2.59	     46.35	     45.31	16.52	 9.830e-05	      3.05	0	Gaussian	293.662938	50.294131
