# 800 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.003061	  0.257738	     -1.00	    259.98	    197.86	      2.99	      2.89	     52.37	     50.53	-29.17	 3.566e-03	     -1.00	1	Gaussian	296.606746	33.724444
2	1	  0.002128	  0.103524	     -1.00	    362.39	     88.79	      2.95	      2.87	     51.68	     50.16	-47.71	 1.460e-03	      0.01	0	Gaussian	295.964247	34.162807
3	1	  0.002272	  0.101738	     -1.00	    470.05	    459.86	      3.07	      2.69	     53.66	     47.15	-46.01	 1.582e-03	      0.05	0	Gaussian	295.685969	32.427255
4	1	  0.002181	  0.104061	     -1.00	    554.47	    104.40	      2.91	      2.68	     50.94	     46.97	-37.65	 1.595e-03	      0.09	0	Gaussian	294.937033	33.978966
5	1	  0.002133	  0.081185	     -1.00	    278.53	    380.35	      3.05	      2.92	     53.35	     51.11	-84.64	 1.188e-03	      0.22	0	Gaussian	296.645295	32.888188
6	1	  0.001946	  0.064495	     -1.00	    159.02	    272.66	      3.00	      2.93	     52.55	     51.32	-32.65	 9.587e-04	      0.48	0	Gaussian	297.210520	33.437380
7	1	  0.001914	  0.064289	     -1.00	    319.37	     38.81	      2.90	      2.84	     50.74	     49.65	-38.96	 7.977e-04	      0.56	0	Gaussian	296.158718	34.414078
8	1	  0.001962	  0.045367	     -1.00	    254.91	    689.51	      2.91	      2.77	     50.87	     48.44	-50.73	 7.978e-04	      0.96	0	Gaussian	296.998766	31.507278
9	1	  0.001917	  0.038602	     -1.00	    498.53	    310.45	      2.95	      2.66	     51.56	     46.49	-42.24	 6.603e-04	      1.16	0	Gaussian	295.412188	33.083145
10	1	  0.001910	  0.035220	     -1.00	    600.97	    671.64	      3.08	      2.50	     53.89	     43.80	-44.61	 6.211e-04	      1.28	0	Gaussian	295.171115	31.407298
11	1	  0.001878	  0.032981	     -1.00	    660.43	    440.14	      2.82	      2.76	     49.41	     48.25	4.71	 6.229e-04	      1.34	0	Gaussian	294.664094	32.406612
12	1	  0.001709	  0.024283	     -1.00	     10.28	    150.00	      3.04	      3.00	     53.26	     52.55	19.54	 3.281e-04	      1.50	0	Gaussian	297.936217	34.069404
13	1	  0.001725	  0.026226	     -1.00	    637.74	    111.90	      2.98	      2.71	     52.08	     47.37	-43.00	 3.615e-04	      1.55	0	Gaussian	294.495775	33.893685
14	1	  0.002116	  0.025988	     -1.00	    384.13	    693.52	      3.02	      2.63	     52.82	     45.96	-43.65	 6.738e-04	      1.58	0	Gaussian	296.321916	31.425034
15	1	  0.001755	  0.023477	     -1.00	    316.83	    547.03	      3.07	      2.80	     53.78	     49.04	-53.55	 3.911e-04	      1.60	0	Gaussian	296.566427	32.116828
16	1	  0.001793	  0.021624	     -1.00	    303.28	    220.50	      2.99	      2.78	     52.29	     48.68	-40.26	 3.501e-04	      1.73	0	Gaussian	296.389497	33.598503
17	1	  0.001781	  0.022224	     -1.00	    167.75	    412.39	      2.87	      2.81	     50.31	     49.21	-9.13	 3.415e-04	      1.73	0	Gaussian	297.264065	32.799397
18	1	  0.001798	  0.019192	     -1.00	    616.26	    112.11	      3.23	      2.82	     56.54	     49.34	-24.32	 3.330e-04	      1.76	0	Gaussian	294.611316	33.906155
19	1	  0.001749	  0.018237	     -1.00	    392.24	     27.89	      3.04	      2.92	     53.25	     51.15	-38.17	 2.879e-04	      1.84	0	Gaussian	295.751880	34.421893
20	1	  0.001753	  0.018132	     -1.00	     66.70	    687.52	      3.00	      2.97	     52.45	     52.01	11.90	 3.250e-04	      1.84	0	Gaussian	297.993683	31.603778
21	1	  0.001731	  0.017663	     -1.00	     95.55	    394.86	      3.01	      3.01	     52.63	     52.61	-34.52	 2.586e-04	      1.85	0	Gaussian	297.640810	32.913948
22	1	  0.001755	  0.020702	     -1.00	    618.51	    236.22	      2.90	      2.66	     50.72	     46.58	-43.04	 3.195e-04	      1.86	0	Gaussian	294.708646	33.346182
23	1	  0.001808	  0.018371	     -1.00	    214.39	     50.60	      2.94	      2.87	     51.47	     50.17	6.35	 3.672e-04	      1.89	0	Gaussian	296.742979	34.418415
24	1	  0.001754	  0.018987	     -1.00	    438.50	    540.94	      2.90	      2.81	     50.68	     49.21	-76.10	 3.232e-04	      1.89	0	Gaussian	295.917598	32.080428
25	1	  0.001795	  0.017572	     -1.00	    640.47	    407.97	      3.09	      2.79	     54.04	     48.84	-52.11	 3.562e-04	      1.91	0	Gaussian	294.741470	32.562414
26	1	  0.001760	  0.016483	     -1.00	     62.51	    664.79	      3.00	      2.96	     52.44	     51.84	-48.65	 3.328e-04	      1.95	0	Gaussian	298.000914	31.708102
27	1	  0.001736	  0.016281	     -1.00	    195.40	     77.86	      2.95	      2.92	     51.72	     51.17	-9.56	 2.246e-04	      1.99	0	Gaussian	296.867838	34.304465
28	1	  0.001725	  0.018307	     -1.00	    546.56	    407.61	      2.90	      2.61	     50.69	     45.69	-38.42	 2.609e-04	      2.01	0	Gaussian	295.237664	32.618776
29	1	  0.001940	  0.011836	     -1.00	     68.18	     80.68	      3.21	      3.20	     56.20	     56.06	-58.69	 9.934e-04	      2.15	0	Gaussian	297.569069	34.357385
30	1	  0.001799	  0.015396	     -1.00	    601.07	    526.21	      2.86	      2.72	     50.05	     47.62	-45.87	 3.023e-04	      2.17	0	Gaussian	295.049474	32.056331
31	1	  0.001687	  0.013032	     -1.00	    324.70	    413.63	      3.04	      2.82	     53.25	     49.35	-37.95	 1.952e-04	      2.24	0	Gaussian	296.423284	32.713757
32	1	  0.001674	  0.011782	     -1.00	    125.90	    451.96	      3.05	      3.05	     53.35	     53.33	54.17	 2.056e-04	      2.26	0	Gaussian	297.517127	32.640608
33	1	  0.002058	  0.014887	     -1.00	    534.97	    659.86	      2.69	      2.60	     47.00	     45.50	-54.68	 1.109e-03	      2.32	0	Gaussian	295.505710	31.496044
34	1	  0.001718	  0.012651	     -1.00	    135.53	    689.97	      2.86	      2.86	     50.07	     50.01	52.84	 2.292e-04	      2.32	0	Gaussian	297.630192	31.561564
