# 914 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.001927	  0.193453	     -1.00	    461.64	     76.63	      2.74	      2.67	     47.94	     46.71	-9.13	 2.010e-03	     -0.51	0	Gaussian	297.994249	47.026998
2	1	  0.001759	  0.132627	     -1.00	    220.06	    378.07	      2.85	      2.71	     49.82	     47.51	7.73	 1.011e-03	     -0.16	0	Gaussian	299.833428	45.772131
3	1	  0.001546	  0.058053	     -1.00	    316.89	     81.87	      2.75	      2.73	     48.15	     47.70	-10.27	 5.589e-04	      0.77	0	Gaussian	298.973512	47.089738
4	1	  0.001541	  0.042051	     -1.00	    645.00	    626.07	      2.94	      2.78	     51.46	     48.69	-8.65	 4.649e-04	      1.02	0	Gaussian	297.253178	44.377839
5	1	  0.001428	  0.031282	     -1.00	    135.11	    450.71	      2.83	      2.66	     49.53	     46.62	3.47	 2.652e-04	      1.43	0	Gaussian	300.443290	45.476566
6	1	  0.001490	  0.028409	     -1.00	    352.85	    169.49	      2.77	      2.60	     48.43	     45.59	-10.20	 2.996e-04	      1.59	0	Gaussian	298.798227	46.664997
7	1	  0.001422	  0.026356	     -1.00	    202.89	     36.38	      2.77	      2.70	     48.52	     47.22	-2.44	 2.339e-04	      1.63	0	Gaussian	299.713516	47.362438
8	1	  0.001430	  0.024486	     -1.00	    435.67	    417.66	      2.81	      2.69	     49.27	     47.12	7.04	 2.324e-04	      1.69	0	Gaussian	298.440276	45.470128
9	1	  0.001413	  0.022954	     -1.00	    348.21	    686.82	      2.92	      2.72	     51.11	     47.52	-1.27	 2.196e-04	      1.71	0	Gaussian	299.208191	44.271050
10	1	  0.001488	  0.022308	     -1.00	    306.23	    667.50	      2.92	      2.61	     51.13	     45.62	12.24	 2.875e-04	      1.79	0	Gaussian	299.465974	44.383021
11	1	  0.001434	  0.020048	     -1.00	    571.83	    647.58	      2.96	      2.68	     51.81	     46.83	3.65	 2.383e-04	      1.86	0	Gaussian	297.739854	44.324463
12	1	  0.001421	  0.017567	     -1.00	    586.61	    466.52	      2.99	      2.82	     52.41	     49.34	-58.95	 2.098e-04	      1.93	0	Gaussian	297.494924	45.151812
13	1	  0.001404	  0.019536	     -1.00	     51.10	    131.25	      2.81	      2.64	     49.16	     46.21	5.20	 1.650e-04	      1.96	0	Gaussian	300.808484	46.999217
14	1	  0.001689	  0.019639	     -1.00	    402.71	    305.63	      2.76	      2.63	     48.30	     45.99	2.26	 1.178e-03	      1.98	0	Gaussian	298.570728	46.007358
15	1	  0.001404	  0.018262	     -1.00	      9.54	    272.93	      2.80	      2.65	     49.05	     46.45	13.92	 1.420e-04	      2.03	0	Gaussian	301.174004	46.360467
16	1	  0.001386	  0.018442	     -1.00	     29.34	    602.74	      2.80	      2.64	     48.98	     46.13	13.52	 1.584e-04	      2.03	0	Gaussian	301.230080	44.815746
17	1	  0.001466	  0.016138	     -1.00	    632.88	    499.40	      2.95	      2.69	     51.70	     47.12	-3.09	 2.108e-04	      2.09	0	Gaussian	297.223120	44.970319
18	1	  0.001415	  0.016718	     -1.00	     26.77	    278.38	      2.76	      2.62	     48.27	     45.82	-8.57	 1.653e-04	      2.17	0	Gaussian	301.061291	46.327554
19	1	  0.001426	  0.014718	     -1.00	    433.29	    552.58	      2.81	      2.66	     49.22	     46.55	8.02	 2.126e-04	      2.27	0	Gaussian	298.559310	44.846861
20	1	  0.001399	  0.014503	     -1.00	    102.57	     26.20	      2.77	      2.71	     48.44	     47.39	-4.07	 1.335e-04	      2.27	0	Gaussian	300.391176	47.460725
21	1	  0.001395	  0.014590	     -1.00	     82.35	    346.32	      2.81	      2.63	     49.19	     45.97	3.10	 1.408e-04	      2.29	0	Gaussian	300.729490	45.986627
22	1	  0.001438	  0.013121	     -1.00	    473.22	    677.83	      2.92	      2.72	     51.19	     47.55	-2.46	 2.332e-04	      2.32	0	Gaussian	298.396704	44.243242
23	1	  0.001424	  0.012695	     -1.00	    635.99	    520.06	      2.87	      2.80	     50.17	     48.93	6.02	 1.454e-04	      2.34	0	Gaussian	297.220770	44.873006
24	1	  0.001483	  0.013561	     -1.00	    229.50	    642.32	      2.79	      2.66	     48.79	     46.52	-0.81	 2.807e-04	      2.37	0	Gaussian	299.946815	44.539172
25	1	  0.001444	  0.014005	     -1.00	    334.32	    690.57	      2.74	      2.61	     47.88	     45.62	2.37	 1.765e-04	      2.37	0	Gaussian	299.300447	44.260985
26	1	  0.001462	  0.013302	     -1.00	    247.49	    180.28	      2.77	      2.69	     48.54	     47.04	-11.73	 3.371e-04	      2.38	0	Gaussian	299.513407	46.673928
27	1	  0.001429	  0.010830	     -1.00	    550.24	    692.65	      3.19	      2.75	     55.81	     48.10	1.11	 1.923e-04	      2.42	0	Gaussian	297.914426	44.129018
28	1	  0.001418	  0.012332	     -1.00	    282.40	    512.77	      2.78	      2.64	     48.66	     46.27	1.97	 1.588e-04	      2.48	0	Gaussian	299.514588	45.114561
29	1	  0.001384	  0.011406	     -1.00	    653.83	    451.17	      2.85	      2.75	     49.94	     48.16	-27.35	 1.257e-04	      2.49	0	Gaussian	297.045754	45.178883
30	1	  0.001411	  0.011027	     -1.00	    261.03	    452.52	      2.83	      2.71	     49.55	     47.41	15.42	 1.315e-04	      2.54	0	Gaussian	299.613438	45.405470
31	1	  0.001403	  0.010955	     -1.00	    351.99	     65.49	      2.80	      2.70	     49.02	     47.27	-12.54	 1.222e-04	      2.57	0	Gaussian	298.723871	47.144866
32	1	  0.001472	  0.011164	     -1.00	    138.87	    671.57	      2.86	      2.61	     50.06	     45.71	3.11	 3.523e-04	      2.57	0	Gaussian	300.554603	44.446139
33	1	  0.001538	  0.011707	     -1.00	    362.26	    565.68	      2.71	      2.60	     47.44	     45.57	-4.90	 3.593e-04	      2.58	0	Gaussian	299.030698	44.826090
34	1	  0.001388	  0.009760	     -1.00	    392.63	    132.17	      2.83	      2.76	     49.45	     48.33	-11.52	 1.044e-04	      2.66	0	Gaussian	298.502494	46.813693
35	1	  0.001500	  0.009987	     -1.00	    102.58	    241.26	      2.79	      2.66	     48.75	     46.48	-10.37	 4.940e-04	      2.70	0	Gaussian	300.528858	46.464976
36	1	  0.001931	  0.011188	     -1.00	    394.12	    307.68	      2.64	      2.48	     46.27	     43.46	-11.13	 2.056e-03	      2.71	0	Gaussian	298.629220	46.002894
37	1	  0.001378	  0.009942	     -1.00	     41.17	    565.51	      2.85	      2.59	     49.88	     45.42	-4.04	 9.461e-05	      2.71	0	Gaussian	301.131371	44.984393
38	1	  0.001402	  0.009524	     -1.00	    661.38	    298.72	      2.79	      2.74	     48.82	     47.89	2.19	 1.110e-04	      2.72	0	Gaussian	296.861487	45.875317
