# 803 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002786	  0.287838	     -1.00	    672.59	    336.37	      2.87	      2.77	     50.27	     48.44	-23.79	 4.182e-03	     -1.03	0	Gaussian	291.536229	36.316053
2	1	  0.001925	  0.118785	     -1.00	    222.63	    272.27	      3.00	      2.81	     52.47	     49.18	15.55	 1.623e-03	     -0.14	0	Gaussian	293.950669	36.943177
3	1	  0.001783	  0.096398	     -1.00	    471.06	    390.78	      2.94	      2.87	     51.43	     50.23	-31.18	 1.265e-03	      0.09	0	Gaussian	292.694053	36.226999
4	1	  0.001729	  0.064396	     -1.00	    186.15	    649.23	      2.94	      2.88	     51.52	     50.48	-31.40	 8.716e-04	      0.52	0	Gaussian	294.505534	35.257841
5	1	  0.001672	  0.066604	     -1.00	    525.25	    368.49	      2.86	      2.76	     50.06	     48.34	-11.31	 9.419e-04	      0.56	0	Gaussian	292.374164	36.286555
6	1	  0.001574	  0.054855	     -1.00	    669.48	    130.31	      2.87	      2.78	     50.21	     48.69	-11.54	 7.534e-04	      0.76	0	Gaussian	291.323356	37.242709
7	1	  0.001652	  0.053116	     -1.00	    272.66	    646.60	      2.89	      2.80	     50.58	     49.04	-18.93	 7.004e-04	      0.78	0	Gaussian	294.030348	35.212751
8	1	  0.001752	  0.017836	     -1.00	    244.14	    547.55	      5.54	      2.93	     96.98	     51.34	43.60	 1.187e-03	      1.21	0	Gaussian	294.093538	35.679887
9	1	  0.002180	  0.034703	     -1.00	    359.08	    454.59	      2.87	      2.70	     50.27	     47.17	-4.46	 2.203e-03	      1.29	0	Gaussian	293.372697	36.020678
10	1	  0.001487	  0.032968	     -1.00	    686.40	    363.29	      2.83	      2.73	     49.57	     47.72	-44.34	 4.671e-04	      1.35	0	Gaussian	291.490882	36.184464
