# 847 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002566	  0.742211	     -1.00	     15.85	    468.94	      2.75	      2.75	     48.05	     48.05	-57.80	 5.217e-03	     -2.00	1	Gaussian	314.290748	41.166621
2	1	  0.001667	  0.203404	     -1.00	    626.48	    378.99	      2.58	      2.45	     45.14	     42.91	47.14	 9.272e-04	     -0.41	0	Gaussian	310.482846	41.716634
3	1	  0.001473	  0.075983	     -1.00	    122.24	    574.16	      2.75	      2.50	     48.06	     43.74	41.84	 3.924e-04	      0.57	0	Gaussian	313.589750	40.702370
4	1	  0.001546	  0.082797	     -1.00	    179.62	    214.55	      2.56	      2.45	     44.76	     42.80	41.72	 5.515e-04	      0.58	0	Gaussian	313.357514	42.409952
5	1	  0.001435	  0.069047	     -1.00	     71.82	    131.77	      2.65	      2.51	     46.47	     43.90	50.12	 2.958e-04	      0.71	0	Gaussian	314.075884	42.768522
6	1	  0.001489	  0.064919	     -1.00	    113.50	      7.03	      2.62	      2.51	     45.92	     43.93	53.49	 3.075e-04	      0.79	0	Gaussian	313.858313	43.367132
7	1	  0.001451	  0.058060	     -1.00	    108.06	    188.37	      2.64	      2.49	     46.23	     43.60	44.73	 3.001e-04	      0.91	0	Gaussian	313.822443	42.513270
8	1	  0.001453	  0.057992	     -1.00	    666.06	    488.74	      2.57	      2.53	     44.95	     44.27	-55.62	 3.382e-04	      0.92	0	Gaussian	310.219500	41.202248
9	1	  0.001489	  0.057147	     -1.00	    552.27	    270.52	      2.52	      2.47	     44.18	     43.15	34.45	 3.957e-04	      0.99	0	Gaussian	310.970658	42.219875
10	1	  0.001450	  0.047219	     -1.00	     76.21	    657.20	      2.77	      2.50	     48.41	     43.80	23.76	 3.212e-04	      1.08	0	Gaussian	313.843298	40.299202
