# 736 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.001988	  0.117698	     -1.00	    556.98	    662.44	      2.81	      2.66	     49.15	     46.59	51.03	 1.546e-03	      0.00	0	Gaussian	289.212888	46.999928
2	1	  0.001825	  0.096033	     -1.00	    163.96	     17.53	      2.79	      2.57	     48.75	     45.03	31.13	 1.240e-03	      0.27	0	Gaussian	290.848430	50.269997
3	1	  0.001990	  0.090366	     -1.00	    365.34	    127.08	      2.88	      2.59	     50.41	     45.37	41.81	 1.309e-03	      0.29	0	Gaussian	289.657324	49.568465
4	1	  0.001571	  0.041880	     -1.00	    398.45	     54.43	      2.86	      2.63	     50.03	     45.96	38.33	 5.421e-04	      1.12	0	Gaussian	289.326704	49.848229
5	1	  0.001557	  0.039454	     -1.00	    453.11	    137.39	      2.88	      2.60	     50.39	     45.48	40.66	 4.988e-04	      1.19	0	Gaussian	289.092618	49.423266
6	1	  0.001923	  0.039889	     -1.00	     50.39	     72.96	      2.71	      2.70	     47.50	     47.23	-0.47	 1.477e-03	      1.20	0	Gaussian	291.699582	50.144829
7	1	  0.001536	  0.035989	     -1.00	    558.92	    270.87	      2.88	      2.71	     50.48	     47.44	49.04	 4.589e-04	      1.24	0	Gaussian	288.608570	48.717446
8	1	  0.001618	  0.037902	     -1.00	    484.16	    464.97	      2.82	      2.62	     49.41	     45.90	52.27	 5.303e-04	      1.24	0	Gaussian	289.385719	47.951663
9	1	  0.001507	  0.033089	     -1.00	    598.03	    344.97	      2.79	      2.73	     48.86	     47.75	63.43	 4.086e-04	      1.36	0	Gaussian	288.471706	48.347888
10	1	  0.001525	  0.032784	     -1.00	    501.72	    368.64	      2.80	      2.63	     49.01	     45.95	53.68	 3.927e-04	      1.41	0	Gaussian	289.128445	48.355347
11	1	  0.001510	  0.032577	     -1.00	    156.47	    539.26	      2.67	      2.66	     46.66	     46.55	40.05	 4.200e-04	      1.45	0	Gaussian	291.618168	47.969041
12	1	  0.001566	  0.028626	     -1.00	    260.23	    493.11	      2.79	      2.63	     48.78	     46.08	75.18	 4.224e-04	      1.56	0	Gaussian	290.877063	48.068690
13	1	  0.001473	  0.025291	     -1.00	    128.09	    642.43	      2.72	      2.66	     47.53	     46.51	24.72	 3.246e-04	      1.71	0	Gaussian	291.938517	47.536314
14	1	  0.001535	  0.021382	     -1.00	    669.12	     18.99	      2.95	      2.80	     51.71	     48.95	17.47	 4.891e-04	      1.75	0	Gaussian	287.487078	49.678104
