# 679 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002530	  0.306415	     -1.00	    464.33	     35.66	      3.02	      2.71	     52.82	     47.36	24.60	 2.944e-03	     -1.13	0	Gaussian	298.964741	38.486228
2	1	  0.002325	  0.238652	     -1.00	    325.31	    360.21	      3.08	      2.74	     53.99	     48.04	28.65	 3.002e-03	     -0.90	0	Gaussian	299.979049	37.042329
3	1	  0.002122	  0.120896	     -1.00	    545.50	    348.77	      3.09	      2.81	     54.06	     49.24	32.23	 1.312e-03	     -0.19	0	Gaussian	298.700232	36.995174
4	1	  0.002053	  0.105969	     -1.00	    480.22	    516.56	      3.12	      2.79	     54.56	     48.90	31.83	 1.449e-03	     -0.05	0	Gaussian	299.182969	36.249940
5	1	  0.001861	  0.096466	     -1.00	     74.99	     73.33	      2.92	      2.62	     51.16	     45.80	21.23	 8.294e-04	      0.19	0	Gaussian	301.292133	38.478882
6	1	  0.001859	  0.084546	     -1.00	    359.25	    128.27	      3.04	      2.70	     53.27	     47.27	22.23	 9.378e-04	      0.26	0	Gaussian	299.642187	38.105264
7	1	  0.001852	  0.083077	     -1.00	    267.05	    353.30	      2.98	      2.70	     52.22	     47.21	28.61	 8.857e-04	      0.30	0	Gaussian	300.312967	37.098691
8	1	  0.001879	  0.060143	     -1.00	    192.47	    590.91	      3.12	      2.97	     54.62	     51.99	49.61	 8.515e-04	      0.50	0	Gaussian	300.871142	36.024397
9	1	  0.002141	  0.054964	     -1.00	    299.50	    460.23	      3.29	      2.81	     57.51	     49.21	42.39	 1.172e-03	      0.60	0	Gaussian	300.185562	36.588884
10	1	  0.002003	  0.060212	     -1.00	    397.03	     48.71	      3.03	      2.71	     53.05	     47.46	20.21	 6.754e-04	      0.63	0	Gaussian	299.370002	38.457825
11	1	  0.001818	  0.047957	     -1.00	    188.12	    206.81	      3.02	      2.72	     52.86	     47.58	24.14	 4.563e-04	      0.88	0	Gaussian	300.693254	37.812330
12	1	  0.001883	  0.045710	     -1.00	     22.36	    431.46	      3.01	      2.70	     52.75	     47.25	32.95	 7.721e-04	      0.94	0	Gaussian	301.774928	36.826107
13	1	  0.001812	  0.039132	     -1.00	    327.19	    495.58	      3.08	      2.78	     53.87	     48.70	28.05	 4.975e-04	      1.05	0	Gaussian	300.046447	36.413487
14	1	  0.001818	  0.038273	     -1.00	     59.46	    557.88	      3.03	      2.78	     53.02	     48.57	36.82	 4.221e-04	      1.10	0	Gaussian	301.619081	36.225073
15	1	  0.001780	  0.035010	     -1.00	    141.21	    100.37	      2.92	      2.85	     51.13	     49.80	39.56	 3.635e-04	      1.20	0	Gaussian	300.912961	38.327276
16	1	  0.001740	  0.031021	     -1.00	    388.92	    122.09	      3.06	      2.74	     53.48	     48.01	25.19	 2.920e-04	      1.33	0	Gaussian	299.464076	38.120462
17	1	  0.001749	  0.027998	     -1.00	    424.19	    505.26	      3.14	      2.80	     54.99	     49.01	32.23	 3.935e-04	      1.39	0	Gaussian	299.496107	36.327199
18	1	  0.001777	  0.028213	     -1.00	     12.31	    487.87	      3.02	      2.86	     52.90	     50.01	33.13	 3.722e-04	      1.40	0	Gaussian	301.859156	36.566665
19	1	  0.001714	  0.023855	     -1.00	    391.17	     61.68	      3.01	      2.70	     52.71	     47.17	19.84	 2.525e-04	      1.65	0	Gaussian	299.412785	38.400279
20	1	  0.001703	  0.021358	     -1.00	    245.62	    164.93	      3.01	      2.99	     52.75	     52.33	47.86	 2.428e-04	      1.65	0	Gaussian	300.331923	37.984042
21	1	  0.001683	  0.019443	     -1.00	    265.60	    224.51	      3.21	      2.73	     56.20	     47.86	11.95	 2.446e-04	      1.78	0	Gaussian	300.248570	37.698316
22	1	  0.001831	  0.020475	     -1.00	    212.47	      6.83	      3.00	      2.64	     52.51	     46.23	14.75	 2.810e-04	      1.83	0	Gaussian	300.438522	38.734889
23	1	  0.001734	  0.017745	     -1.00	    484.91	    501.10	      3.12	      2.88	     54.53	     50.50	32.21	 2.685e-04	      1.86	0	Gaussian	299.146428	36.319250
24	1	  0.001730	  0.018139	     -1.00	     81.76	    535.77	      3.02	      2.78	     52.79	     48.69	28.34	 2.428e-04	      1.91	0	Gaussian	301.480063	36.320281
25	1	  0.001759	  0.016903	     -1.00	     35.87	    522.88	      3.05	      2.74	     53.41	     47.94	37.08	 3.351e-04	      1.99	0	Gaussian	301.738887	36.395821
26	1	  0.001697	  0.014928	     -1.00	    175.94	    505.85	      3.21	      2.87	     56.17	     50.16	47.54	 2.663e-04	      2.02	0	Gaussian	300.922213	36.425447
27	1	  0.001680	  0.015205	     -1.00	    143.71	    345.88	      2.98	      2.88	     52.21	     50.42	2.89	 2.089e-04	      2.07	0	Gaussian	301.026610	37.181620
28	1	  0.001646	  0.014917	     -1.00	    135.66	    425.06	      3.05	      2.80	     53.35	     49.05	21.84	 1.735e-04	      2.10	0	Gaussian	301.113847	36.816013
29	1	  0.001745	  0.014845	     -1.00	    450.79	    234.98	      2.91	      2.90	     50.94	     50.82	17.76	 2.259e-04	      2.12	0	Gaussian	299.173931	37.567488
30	1	  0.001661	  0.014927	     -1.00	     23.37	     53.80	      2.98	      2.66	     52.13	     46.59	21.21	 1.388e-04	      2.18	0	Gaussian	301.589840	38.589103
31	1	  0.001666	  0.012542	     -1.00	    109.27	    102.06	      3.31	      2.82	     57.99	     49.32	16.33	 1.197e-04	      2.19	0	Gaussian	301.103234	38.331698
32	1	  0.001644	  0.013169	     -1.00	    527.62	     31.10	      3.11	      2.79	     54.35	     48.88	20.12	 1.371e-04	      2.22	0	Gaussian	298.589165	38.475810
33	1	  0.001817	  0.012771	     -1.00	    593.77	    461.48	      3.07	      2.88	     53.81	     50.46	29.09	 3.152e-04	      2.23	0	Gaussian	298.499141	36.450878
34	1	  0.001680	  0.012945	     -1.00	    280.45	    349.78	      3.02	      2.71	     52.92	     47.39	20.18	 1.438e-04	      2.30	0	Gaussian	300.233196	37.109574
35	1	  0.001694	  0.011269	     -1.00	    355.26	    208.01	      3.20	      2.82	     56.07	     49.33	15.33	 1.812e-04	      2.35	0	Gaussian	299.714250	37.736369
36	1	  0.001727	  0.009869	     -1.00	    161.52	    148.99	      3.33	      3.06	     58.34	     53.59	-22.31	 4.608e-04	      2.35	0	Gaussian	300.818786	38.092415
37	1	  0.001708	  0.010699	     -1.00	    552.65	    523.75	      3.16	      2.94	     55.35	     51.49	38.45	 1.698e-04	      2.37	0	Gaussian	298.774783	36.183175
38	1	  0.001706	  0.009485	     -1.00	    155.34	    116.10	      3.28	      3.19	     57.32	     55.79	-32.89	 2.790e-04	      2.38	0	Gaussian	300.837700	38.248286
39	1	  0.001672	  0.011081	     -1.00	    371.28	      5.10	      3.08	      2.84	     53.85	     49.77	23.46	 1.294e-04	      2.40	0	Gaussian	299.494629	38.672710
40	1	  0.001779	  0.011244	     -1.00	    371.28	      5.11	      3.00	      2.75	     52.52	     48.21	21.32	 2.067e-04	      2.44	0	Gaussian	299.494609	38.672674
41	1	  0.001674	  0.011391	     -1.00	    204.35	     22.56	      2.98	      2.65	     52.21	     46.37	18.60	 1.805e-04	      2.49	0	Gaussian	300.495664	38.664897
42	1	  0.001673	  0.009860	     -1.00	    539.63	    165.05	      3.09	      2.85	     54.04	     49.87	22.48	 1.092e-04	      2.52	0	Gaussian	298.610550	37.848688
43	1	  0.001653	  0.009284	     -1.00	    464.59	     10.31	      3.11	      2.87	     54.50	     50.22	10.87	 1.198e-04	      2.57	0	Gaussian	298.946359	38.603829
44	1	  0.001691	  0.009125	     -1.00	    478.36	    590.29	      3.12	      2.78	     54.55	     48.63	26.23	 1.668e-04	      2.62	0	Gaussian	299.239608	35.910143
45	1	  0.001680	  0.008712	     -1.00	    506.64	    489.11	      3.11	      2.84	     54.51	     49.63	26.19	 1.269e-04	      2.65	0	Gaussian	299.014664	36.364710
46	1	  0.001702	  0.007780	     -1.00	    530.91	    527.86	      3.07	      3.07	     53.65	     53.65	-59.64	 1.311e-04	      2.71	0	Gaussian	298.901223	36.174411
47	1	  0.001756	  0.009504	     -1.00	    242.00	      7.44	      2.93	      2.62	     51.22	     45.84	15.47	 2.251e-04	      2.71	0	Gaussian	300.263184	38.719523
48	1	  0.001644	  0.008454	     -1.00	    164.88	    295.16	      2.99	      2.87	     52.40	     50.32	12.21	 1.184e-04	      2.71	0	Gaussian	300.876636	37.409818
49	1	  0.001637	  0.008299	     -1.00	     53.90	    449.45	      3.12	      2.78	     54.59	     48.66	32.06	 1.959e-04	      2.72	0	Gaussian	301.600151	36.731566
50	1	  0.001747	  0.008061	     -1.00	    344.91	     73.94	      2.98	      2.96	     52.08	     51.83	43.02	 2.434e-04	      2.73	0	Gaussian	299.693256	38.364477
51	1	  0.001654	  0.007850	     -1.00	     98.86	    155.03	      3.18	      2.80	     55.60	     49.02	24.19	 1.193e-04	      2.76	0	Gaussian	301.192065	38.088365
52	1	  0.001669	  0.007405	     -1.00	    384.65	    375.63	      3.20	      2.87	     56.09	     50.15	29.69	 1.052e-04	      2.78	0	Gaussian	299.644870	36.945145
53	1	  0.001698	  0.007442	     -1.00	    138.56	    285.21	      3.23	      2.70	     56.53	     47.34	22.42	 1.866e-04	      2.83	0	Gaussian	301.025396	37.466214
54	1	  0.001859	  0.007551	     -1.00	    548.60	    361.33	      3.05	      2.76	     53.42	     48.34	24.00	 4.221e-04	      2.85	0	Gaussian	298.690746	36.935590
55	1	  0.001640	  0.006223	     -1.00	    267.00	    243.78	      3.62	      2.77	     63.39	     48.49	15.06	 9.251e-05	      2.87	0	Gaussian	300.251355	37.608037
56	1	  0.001936	  0.007795	     -1.00	    567.51	    361.29	      2.99	      2.64	     52.27	     46.19	21.53	 7.647e-04	      2.90	0	Gaussian	298.582039	36.926540
57	1	  0.001651	  0.006991	     -1.00	    135.07	    234.03	      3.06	      2.83	     53.54	     49.48	43.51	 1.111e-04	      2.91	0	Gaussian	301.019367	37.706082
58	1	  0.001700	  0.006509	     -1.00	    253.46	    420.84	      3.17	      2.91	     55.44	     50.86	62.71	 1.187e-04	      2.91	0	Gaussian	300.429282	36.790392
59	1	  0.001619	  0.006162	     -1.00	    174.71	    384.84	      3.14	      2.97	     54.95	     52.04	55.43	 8.660e-05	      2.96	0	Gaussian	300.866438	36.988528
60	1	  0.001724	  0.006719	     -1.00	    405.45	    280.66	      3.11	      2.77	     54.36	     48.43	17.36	 2.533e-04	      2.97	0	Gaussian	299.466299	37.376409
