# 593 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.001667	  0.068459	     -1.00	     23.90	     76.50	      2.92	      2.71	     51.18	     47.44	1.55	 8.565e-04	      0.53	1	Gaussian	293.574876	41.926133
2	1	  0.001600	  0.049410	     -1.00	    335.03	    457.21	      2.94	      2.74	     51.50	     47.90	6.67	 6.076e-04	      0.86	0	Gaussian	292.159147	39.939082
3	1	  0.001529	  0.043496	     -1.00	    553.96	    492.94	      3.02	      2.86	     52.92	     50.09	5.18	 4.922e-04	      0.92	0	Gaussian	290.947184	39.588486
4	1	  0.001559	  0.043573	     -1.00	     41.96	    182.51	      2.96	      2.72	     51.86	     47.60	3.18	 5.587e-04	      1.00	0	Gaussian	293.579156	41.427930
5	1	  0.001494	  0.033471	     -1.00	    413.86	    437.81	      2.97	      2.85	     52.01	     49.95	5.30	 4.256e-04	      1.23	0	Gaussian	291.683059	39.959778
6	1	  0.001490	  0.028080	     -1.00	    555.44	    576.98	      2.97	      2.89	     52.04	     50.52	6.18	 3.562e-04	      1.41	0	Gaussian	291.038544	39.209140
7	1	  0.001604	  0.024256	     -1.00	    166.58	    548.49	      3.01	      2.70	     52.70	     47.24	6.94	 5.247e-04	      1.63	0	Gaussian	293.232149	39.661313
8	1	  0.001423	  0.021290	     -1.00	    131.12	    540.25	      3.03	      2.81	     53.03	     49.13	10.49	 2.769e-04	      1.72	0	Gaussian	293.429186	39.726490
9	1	  0.001445	  0.021224	     -1.00	    502.48	    237.34	      2.95	      2.80	     51.67	     49.03	6.97	 3.112e-04	      1.75	0	Gaussian	290.934433	40.785346
10	1	  0.001462	  0.020875	     -1.00	    395.52	    167.63	      2.98	      2.75	     52.11	     48.11	10.88	 2.875e-04	      1.78	0	Gaussian	291.472874	41.196357
11	1	  0.001440	  0.018265	     -1.00	    544.91	    443.99	      3.15	      2.92	     55.05	     51.06	7.84	 2.377e-04	      1.80	0	Gaussian	290.940183	39.816829
12	1	  0.001434	  0.019897	     -1.00	    407.75	    292.08	      2.94	      2.85	     51.54	     49.88	23.93	 2.617e-04	      1.81	0	Gaussian	291.548711	40.623447
13	1	  0.001607	  0.020085	     -1.00	     41.33	    489.66	      2.99	      2.72	     52.34	     47.68	10.50	 7.006e-04	      1.83	0	Gaussian	293.900746	40.026059
14	1	  0.001469	  0.016749	     -1.00	    218.26	    352.25	      2.94	      2.76	     51.39	     48.26	8.21	 2.425e-04	      2.03	0	Gaussian	292.720649	40.512297
15	1	  0.001385	  0.015528	     -1.00	     21.40	    348.75	      3.05	      2.83	     53.45	     49.48	6.86	 1.920e-04	      2.05	0	Gaussian	293.874314	40.684944
16	1	  0.001434	  0.015279	     -1.00	     84.75	    196.80	      3.03	      2.86	     53.07	     50.00	6.21	 2.681e-04	      2.06	0	Gaussian	293.339422	41.328523
17	1	  0.001419	  0.012701	     -1.00	    319.67	    461.08	      3.13	      2.93	     54.83	     51.25	10.50	 1.857e-04	      2.20	0	Gaussian	292.252103	39.934425
18	1	  0.001385	  0.014134	     -1.00	    491.46	    342.60	      2.96	      2.77	     51.84	     48.53	0.89	 1.957e-04	      2.20	0	Gaussian	291.124923	40.321148
19	1	  0.001393	  0.013119	     -1.00	    169.10	    379.73	      3.02	      2.80	     52.94	     49.08	3.61	 1.559e-04	      2.25	0	Gaussian	293.038058	40.427372
20	1	  0.001429	  0.011486	     -1.00	    414.73	    399.06	      3.05	      2.91	     53.34	     50.86	24.05	 1.849e-04	      2.34	0	Gaussian	291.633234	40.134105
21	1	  0.001389	  0.010063	     -1.00	    416.46	    319.34	      3.37	      2.88	     58.96	     50.36	-14.45	 1.486e-04	      2.39	0	Gaussian	291.530231	40.492667
22	1	  0.001401	  0.011093	     -1.00	    254.49	    427.22	      2.99	      2.82	     52.30	     49.38	10.47	 1.599e-04	      2.44	0	Gaussian	292.591923	40.141993
23	1	  0.001428	  0.010707	     -1.00	    293.66	    503.92	      2.98	      2.84	     52.18	     49.65	14.07	 1.809e-04	      2.47	0	Gaussian	292.449721	39.761794
24	1	  0.001410	  0.010007	     -1.00	     10.26	    561.43	      3.12	      2.79	     54.54	     48.79	10.56	 1.884e-04	      2.52	0	Gaussian	294.154288	39.721380
25	1	  0.001420	  0.010181	     -1.00	    336.93	    115.42	      2.99	      2.77	     52.42	     48.54	-2.27	 1.839e-04	      2.54	0	Gaussian	291.755004	41.484548
26	1	  0.001520	  0.009798	     -1.00	    302.81	     85.00	      2.94	      2.89	     51.42	     50.55	17.65	 4.363e-04	      2.57	0	Gaussian	291.920697	41.652330
27	1	  0.001370	  0.009135	     -1.00	    131.95	    230.94	      3.08	      2.91	     53.99	     50.88	-1.50	 1.268e-04	      2.58	0	Gaussian	293.096085	41.134692
28	1	  0.001518	  0.010215	     -1.00	    349.25	     28.08	      2.88	      2.76	     50.43	     48.29	9.33	 5.221e-04	      2.59	0	Gaussian	291.578645	41.868320
29	1	  0.001355	  0.004812	     -1.00	     25.51	    400.84	      5.19	      3.19	     90.90	     55.92	31.95	 1.949e-04	      2.60	0	Gaussian	293.903338	40.443841
30	1	  0.001479	  0.008512	     -1.00	     34.23	    279.22	      3.09	      3.02	     54.01	     52.78	-28.23	 2.421e-04	      2.62	0	Gaussian	293.726567	40.992575
31	1	  0.001410	  0.010161	     -1.00	    351.29	    209.47	      2.93	      2.68	     51.28	     46.91	2.87	 1.734e-04	      2.62	0	Gaussian	291.780903	41.046482
32	1	  0.001368	  0.008486	     -1.00	     61.22	    486.94	      3.18	      2.90	     55.73	     50.84	7.90	 1.122e-04	      2.63	0	Gaussian	293.781590	40.023372
33	1	  0.001363	  0.008920	     -1.00	    488.01	    130.04	      2.94	      2.87	     51.48	     50.26	-1.55	 1.144e-04	      2.67	0	Gaussian	290.887265	41.281680
34	1	  0.001390	  0.008746	     -1.00	    282.95	    189.41	      3.04	      2.76	     53.20	     48.27	3.58	 1.325e-04	      2.69	0	Gaussian	292.158658	41.196731
35	1	  0.001390	  0.008286	     -1.00	     89.47	    164.85	      3.04	      2.87	     53.22	     50.26	3.03	 1.250e-04	      2.72	0	Gaussian	293.276978	41.470271
36	1	  0.001402	  0.007522	     -1.00	     61.24	    293.83	      3.13	      3.11	     54.71	     54.43	-47.50	 1.255e-04	      2.72	0	Gaussian	293.581728	40.904729
37	1	  0.001434	  0.007557	     -1.00	    573.76	    417.70	      3.09	      3.02	     54.13	     52.90	-26.35	 1.860e-04	      2.74	0	Gaussian	290.744083	39.909098
38	1	  0.001383	  0.006155	     -1.00	    189.88	    149.85	      3.73	      3.01	     65.29	     52.67	12.68	 1.097e-04	      2.77	0	Gaussian	292.663612	41.455549
39	1	  0.001384	  0.007405	     -1.00	    238.97	    456.21	      3.18	      2.83	     55.66	     49.61	-4.95	 1.296e-04	      2.80	0	Gaussian	292.713754	40.023055
40	1	  0.001362	  0.006862	     -1.00	    572.97	    153.99	      3.11	      2.96	     54.36	     51.85	6.16	 1.012e-04	      2.86	0	Gaussian	290.423523	41.094658
41	1	  0.001380	  0.006969	     -1.00	    525.40	    250.79	      3.06	      2.92	     53.52	     51.17	1.83	 1.452e-04	      2.88	0	Gaussian	290.818331	40.703785
42	1	  0.001357	  0.006949	     -1.00	    535.88	    157.50	      3.04	      2.84	     53.30	     49.63	2.07	 9.808e-05	      2.91	0	Gaussian	290.642805	41.113679
43	1	  0.001370	  0.006725	     -1.00	    371.60	     38.25	      3.07	      2.88	     53.75	     50.49	-0.47	 1.018e-04	      2.93	0	Gaussian	291.458732	41.802162
44	1	  0.001353	  0.005979	     -1.00	    375.49	    481.81	      3.20	      3.00	     56.04	     52.50	10.85	 8.805e-05	      2.97	0	Gaussian	291.953961	39.793620
45	1	  0.001369	  0.002729	     -1.00	    256.65	    319.96	      6.51	      3.19	    113.91	     55.87	-34.19	 1.636e-04	      2.97	0	Gaussian	292.460527	40.627034
46	1	  0.001344	  0.005868	     -1.00	    300.18	    537.95	      3.23	      3.01	     56.48	     52.69	-0.22	 7.622e-05	      2.97	0	Gaussian	292.449630	39.602106
47	1	  0.001478	  0.006744	     -1.00	    396.27	    211.61	      3.03	      2.77	     53.07	     48.40	5.39	 3.961e-04	      2.98	0	Gaussian	291.520649	40.997061
48	1	  0.001383	  0.006278	     -1.00	     60.04	    168.37	      3.08	      2.82	     53.96	     49.42	1.10	 1.009e-04	      3.01	0	Gaussian	293.456222	41.477987
49	1	  0.001598	  0.007462	     -1.00	    277.47	     11.62	      2.86	      2.60	     49.98	     45.47	0.05	 7.338e-04	      3.02	0	Gaussian	291.985101	42.006874
50	1	  0.001351	  0.005733	     -1.00	     57.33	    218.91	      3.16	      2.97	     55.27	     51.99	7.36	 7.433e-05	      3.04	0	Gaussian	293.526047	41.249646
51	1	  0.001364	  0.005545	     -1.00	    331.60	    362.34	      3.28	      2.91	     57.47	     50.98	3.46	 9.091e-05	      3.05	0	Gaussian	292.071759	40.371654
52	1	  0.001360	  0.005443	     -1.00	    549.67	    181.40	      3.21	      2.95	     56.13	     51.71	-11.40	 9.274e-05	      3.08	0	Gaussian	290.592558	40.993372
53	1	  0.001415	  0.005743	     -1.00	    191.02	    426.53	      3.13	      2.81	     54.81	     49.16	0.08	 1.572e-04	      3.10	0	Gaussian	292.960433	40.196791
54	1	  0.001585	  0.006378	     -1.00	    285.53	     17.66	      2.91	      2.75	     50.99	     48.18	-0.27	 8.231e-04	      3.10	0	Gaussian	291.944226	41.972413
55	1	  0.001384	  0.005182	     -1.00	     77.68	    332.87	      3.24	      3.00	     56.72	     52.53	-6.00	 9.187e-05	      3.11	0	Gaussian	293.525491	40.713671
56	1	  0.001377	  0.003836	     -1.00	    398.66	    360.99	      3.73	      3.54	     65.31	     61.93	70.37	 1.519e-04	      3.11	0	Gaussian	291.681812	40.320035
57	1	  0.001357	  0.005536	     -1.00	    502.53	     93.88	      3.06	      2.94	     53.53	     51.45	7.95	 9.407e-05	      3.12	0	Gaussian	290.757939	41.430926
58	1	  0.001380	  0.004753	     -1.00	    433.10	    294.15	      3.46	      2.97	     60.49	     51.93	-10.46	 8.608e-05	      3.15	0	Gaussian	291.404227	40.591672
59	1	  0.001603	  0.005986	     -1.00	    371.61	    507.23	      2.94	      2.73	     51.48	     47.85	12.08	 5.705e-04	      3.18	0	Gaussian	292.004958	39.681909
60	1	  0.001456	  0.004529	     -1.00	     82.66	    544.28	      3.23	      3.12	     56.59	     54.63	-63.98	 3.903e-04	      3.21	0	Gaussian	293.715082	39.745338
61	1	  0.001389	  0.005443	     -1.00	    116.94	    228.49	      3.16	      2.60	     55.31	     45.57	-1.52	 9.271e-05	      3.24	0	Gaussian	293.182350	41.158073
