# 845 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.001716	  0.102870	     -1.00	    120.01	    324.14	      2.70	      2.66	     47.34	     46.58	48.51	 9.691e-04	      0.19	1	Gaussian	296.859290	47.906659
2	1	  0.002649	  0.092291	     -1.00	    471.88	    693.84	      2.73	      2.66	     47.74	     46.54	45.51	 1.687e-03	      0.30	0	Gaussian	294.892306	45.956921
3	1	  0.001625	  0.064785	     -1.00	    573.18	    188.14	      2.76	      2.68	     48.31	     46.88	42.15	 7.501e-04	      0.66	0	Gaussian	293.664650	48.163051
4	1	  0.001589	  0.048782	     -1.00	    220.57	    619.59	      2.71	      2.69	     47.38	     47.01	29.23	 5.741e-04	      0.99	0	Gaussian	296.462724	46.484858
5	1	  0.001623	  0.049269	     -1.00	    489.33	    126.17	      2.67	      2.63	     46.73	     46.08	64.50	 5.995e-04	      1.02	0	Gaussian	294.155248	48.515302
6	1	  0.001552	  0.046413	     -1.00	    685.57	     72.00	      2.77	      2.65	     48.45	     46.30	62.43	 5.387e-04	      1.04	0	Gaussian	292.772477	48.581307
7	1	  0.001557	  0.036852	     -1.00	    633.66	    552.11	      2.77	      2.77	     48.56	     48.56	-11.72	 4.251e-04	      1.23	0	Gaussian	293.688539	46.467129
8	1	  0.001527	  0.037926	     -1.00	    310.83	    446.69	      2.74	      2.72	     47.99	     47.54	51.95	 4.105e-04	      1.24	0	Gaussian	295.696264	47.208292
9	1	  0.001499	  0.034822	     -1.00	    355.76	    412.90	      2.77	      2.67	     48.51	     46.70	66.29	 3.646e-04	      1.34	0	Gaussian	295.362781	47.327457
10	1	  0.001503	  0.028636	     -1.00	    568.13	    350.65	      2.74	      2.70	     47.95	     47.23	-21.96	 3.839e-04	      1.55	0	Gaussian	293.886962	47.434846
11	1	  0.001561	  0.026744	     -1.00	    288.38	    442.57	      2.86	      2.74	     49.98	     47.98	-55.27	 5.009e-04	      1.56	0	Gaussian	295.841640	47.244063
12	1	  0.001453	  0.026132	     -1.00	    412.35	    610.37	      2.77	      2.77	     48.52	     48.52	-76.55	 3.382e-04	      1.61	0	Gaussian	295.193301	46.384196
13	1	  0.001481	  0.023823	     -1.00	    341.38	    154.26	      2.69	      2.68	     47.06	     46.95	11.77	 3.296e-04	      1.77	0	Gaussian	295.187267	48.511845
14	1	  0.001577	  0.021217	     -1.00	      6.52	    235.03	      2.68	      2.68	     46.89	     46.89	-17.59	 3.018e-04	      1.91	0	Gaussian	297.552544	48.390973
15	1	  0.001414	  0.018549	     -1.00	    340.93	     56.39	      2.72	      2.66	     47.65	     46.64	7.38	 2.047e-04	      2.04	0	Gaussian	295.084799	48.954268
16	1	  0.001839	  0.016163	     -1.00	    607.66	    565.73	      2.97	      2.70	     52.03	     47.21	-26.30	 1.030e-03	      2.08	0	Gaussian	293.872648	46.427740
17	1	  0.001518	  0.016467	     -1.00	    600.28	    531.53	      2.73	      2.66	     47.80	     46.63	-7.74	 2.273e-04	      2.17	0	Gaussian	293.882025	46.588973
18	1	  0.001493	  0.013479	     -1.00	     80.01	    222.22	      2.98	      2.85	     52.10	     49.90	20.65	 3.560e-04	      2.22	0	Gaussian	297.037171	48.399397
19	1	  0.001488	  0.013705	     -1.00	    245.09	    586.50	      2.83	      2.73	     49.56	     47.82	-26.74	 2.899e-04	      2.30	0	Gaussian	296.269417	46.618770
20	1	  0.001456	  0.013876	     -1.00	    224.10	     82.73	      2.69	      2.66	     47.05	     46.57	-27.72	 2.363e-04	      2.37	0	Gaussian	295.913175	48.927583
21	1	  0.001405	  0.012779	     -1.00	    269.58	    183.80	      2.73	      2.72	     47.72	     47.62	6.91	 1.587e-04	      2.42	0	Gaussian	295.706062	48.434698
22	1	  0.001444	  0.013309	     -1.00	    654.72	     75.51	      2.68	      2.62	     46.99	     45.89	10.12	 1.869e-04	      2.43	0	Gaussian	292.983260	48.594477
23	1	  0.001445	  0.011128	     -1.00	     47.91	     42.97	      2.94	      2.80	     51.46	     49.02	78.92	 1.814e-04	      2.46	0	Gaussian	297.091656	49.237111
24	1	  0.001394	  0.011516	     -1.00	    365.66	    584.23	      2.81	      2.75	     49.13	     48.20	-23.45	 1.382e-04	      2.50	0	Gaussian	295.472636	46.539447
25	1	  0.001499	  0.011635	     -1.00	    424.25	    318.66	      2.71	      2.67	     47.48	     46.72	-19.04	 3.881e-04	      2.55	0	Gaussian	294.806533	47.700534
26	1	  0.001395	  0.010458	     -1.00	    377.95	    390.00	      2.85	      2.77	     49.91	     48.43	59.35	 1.249e-04	      2.57	0	Gaussian	295.191243	47.414140
