# 360 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.001936	  0.034581	     -1.00	    679.04	    183.99	      3.96	      3.04	     69.37	     53.19	18.27	 8.199e-04	      0.82	1	Gaussian	328.834794	36.145175
2	1	  0.001842	  0.029999	     -1.00	    370.00	    465.60	      4.08	      3.14	     71.38	     54.91	45.33	 6.475e-04	      0.90	0	Gaussian	330.065604	34.628035
3	1	  0.001854	  0.024783	     -1.00	    606.61	    435.39	      4.07	      3.15	     71.26	     55.08	30.51	 5.431e-04	      1.11	0	Gaussian	328.893074	34.975717
4	1	  0.001818	  0.024186	     -1.00	    623.88	    485.40	      3.98	      3.10	     69.62	     54.23	26.97	 5.400e-04	      1.18	0	Gaussian	328.741153	34.772015
5	1	  0.001900	  0.027571	     -1.00	     45.09	    417.96	      3.28	      2.85	     57.42	     49.84	25.90	 6.807e-04	      1.34	0	Gaussian	331.762339	34.521580
6	1	  0.001793	  0.020385	     -1.00	    254.52	    498.24	      3.40	      2.90	     59.49	     50.80	20.57	 4.375e-04	      1.61	0	Gaussian	330.605476	34.378457
7	1	  0.001771	  0.018120	     -1.00	    143.01	     75.48	      3.34	      2.68	     58.51	     46.89	9.26	 4.084e-04	      1.84	0	Gaussian	331.756212	36.093815
8	1	  0.001775	  0.014223	     -1.00	    387.08	    572.63	      3.51	      3.09	     61.52	     54.16	43.82	 3.093e-04	      1.90	0	Gaussian	329.839248	34.179222
9	1	  0.001712	  0.012313	     -1.00	    558.22	    523.06	      3.87	      3.22	     67.77	     56.35	34.57	 2.461e-04	      1.91	0	Gaussian	329.031541	34.549054
10	1	  0.001705	  0.014072	     -1.00	    227.39	     28.19	      3.50	      2.96	     61.21	     51.84	19.57	 2.793e-04	      1.96	0	Gaussian	331.392680	36.385115
11	1	  0.001698	  0.012182	     -1.00	    424.15	     62.77	      3.74	      2.96	     65.42	     51.87	9.24	 2.341e-04	      2.04	0	Gaussian	330.328063	36.433028
12	1	  0.001719	  0.010781	     -1.00	    671.89	    607.15	      3.71	      3.09	     64.90	     54.06	18.16	 2.182e-04	      2.14	0	Gaussian	328.343786	34.280311
13	1	  0.001701	  0.010676	     -1.00	    628.12	    545.48	      3.78	      3.00	     66.11	     52.56	16.52	 2.094e-04	      2.16	0	Gaussian	328.644630	34.512592
14	1	  0.001691	  0.009346	     -1.00	    610.21	    412.78	      4.07	      3.12	     71.31	     54.62	25.76	 1.954e-04	      2.18	0	Gaussian	328.902950	35.077995
15	1	  0.001922	  0.011292	     -1.00	    364.68	    694.70	      3.34	      2.84	     58.55	     49.77	20.04	 3.445e-04	      2.29	0	Gaussian	329.794575	33.629871
