# 884 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002609	  0.421043	     -1.00	    620.52	     57.24	      2.88	      2.60	     50.45	     45.57	43.83	 3.456e-03	     -1.38	0	Gaussian	316.649887	47.648721
2	1	  0.002677	  0.079311	     -1.00	    480.21	     32.43	      2.97	      2.62	     52.06	     45.85	41.11	 3.283e-03	      0.39	0	Gaussian	317.628119	47.692420
3	1	  0.001909	  0.061942	     -1.00	    407.87	    460.66	      2.99	      2.64	     52.29	     46.14	35.64	 5.437e-04	      0.64	0	Gaussian	317.814575	45.674340
4	1	  0.001761	  0.054806	     -1.00	     60.54	    186.25	      3.19	      2.74	     55.91	     47.89	37.99	 6.235e-04	      0.66	0	Gaussian	320.335304	46.729990
5	1	  0.001809	  0.054354	     -1.00	    452.08	    502.61	      2.96	      2.66	     51.88	     46.47	36.22	 4.367e-04	      0.79	0	Gaussian	317.493966	45.502654
6	1	  0.001727	  0.047212	     -1.00	    527.24	    129.01	      2.85	      2.84	     49.87	     49.77	79.00	 5.093e-04	      0.91	0	Gaussian	317.240836	47.271291
7	1	  0.001906	  0.044100	     -1.00	    185.37	    176.38	      3.01	      2.76	     52.63	     48.33	50.06	 8.049e-04	      0.95	0	Gaussian	319.511753	46.857434
8	1	  0.002216	  0.038990	     -1.00	    584.44	    133.75	      2.89	      2.57	     50.65	     45.04	42.64	 1.366e-03	      1.21	0	Gaussian	316.848170	47.277740
9	1	  0.001717	  0.037549	     -1.00	    571.69	    477.91	      2.89	      2.65	     50.57	     46.45	43.85	 2.958e-04	      1.22	0	Gaussian	316.718321	45.675637
10	1	  0.001797	  0.035818	     -1.00	    599.85	     36.50	      3.00	      2.66	     52.58	     46.49	43.23	 3.259e-04	      1.22	0	Gaussian	316.804981	47.734599
11	1	  0.001777	  0.035686	     -1.00	    537.78	    689.71	      2.87	      2.59	     50.17	     45.36	36.87	 4.166e-04	      1.31	0	Gaussian	316.811827	44.674043
12	1	  0.001737	  0.033583	     -1.00	    654.87	     26.90	      2.98	      2.64	     52.14	     46.27	43.37	 3.358e-04	      1.31	0	Gaussian	316.432461	47.805018
13	1	  0.001794	  0.031181	     -1.00	    227.56	    594.41	      3.06	      2.69	     53.59	     47.06	34.54	 3.353e-04	      1.34	0	Gaussian	318.898036	44.954581
14	1	  0.001739	  0.031552	     -1.00	    308.13	    558.06	      3.04	      2.67	     53.19	     46.81	37.25	 2.539e-04	      1.34	0	Gaussian	318.400360	45.168826
15	1	  0.001946	  0.029694	     -1.00	    315.16	    463.30	      3.01	      2.71	     52.70	     47.52	34.67	 5.553e-04	      1.40	0	Gaussian	318.424137	45.611630
16	1	  0.001660	  0.030515	     -1.00	    523.03	    625.90	      2.95	      2.65	     51.56	     46.31	37.74	 2.215e-04	      1.42	0	Gaussian	316.947711	44.964297
17	1	  0.001703	  0.026082	     -1.00	    472.15	    453.95	      2.86	      2.85	     50.11	     49.97	-50.82	 2.810e-04	      1.55	0	Gaussian	317.393766	45.738671
18	1	  0.001703	  0.026278	     -1.00	    475.85	    363.73	      2.98	      2.67	     52.08	     46.76	37.54	 2.388e-04	      1.56	0	Gaussian	317.429517	46.158933
19	1	  0.001770	  0.024884	     -1.00	    311.95	    478.95	      2.94	      2.82	     51.52	     49.34	71.04	 4.232e-04	      1.58	0	Gaussian	318.433629	45.537389
20	1	  0.001866	  0.024971	     -1.00	    643.78	    207.64	      2.88	      2.59	     50.47	     45.37	44.63	 5.651e-04	      1.69	0	Gaussian	316.398621	46.963538
21	1	  0.001768	  0.022386	     -1.00	    376.50	    450.74	      3.03	      2.73	     53.01	     47.85	38.53	 3.554e-04	      1.69	0	Gaussian	318.028732	45.703562
22	1	  0.001778	  0.021140	     -1.00	    233.21	    427.10	      2.93	      2.92	     51.28	     51.16	12.08	 4.019e-04	      1.72	0	Gaussian	318.990986	45.731611
23	1	  0.001749	  0.020542	     -1.00	    544.09	    133.86	      3.04	      2.83	     53.15	     49.47	22.42	 2.529e-04	      1.75	0	Gaussian	317.122888	47.257351
24	1	  0.001717	  0.023010	     -1.00	    686.91	    554.91	      2.86	      2.66	     50.10	     46.57	44.23	 2.116e-04	      1.75	0	Gaussian	315.909653	45.367940
