# 892 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002826	  0.412273	     -1.00	    233.45	    339.45	      2.71	      2.60	     47.47	     45.48	58.45	 4.722e-03	     -1.29	0	Gaussian	308.474042	35.249551
2	1	  0.001972	  0.141197	     -1.00	    427.57	     80.28	      2.71	      2.57	     47.35	     45.02	36.47	 1.443e-03	     -0.12	0	Gaussian	307.333678	36.454169
3	1	  0.001856	  0.077485	     -1.00	    532.53	    533.79	      3.02	      2.76	     52.87	     48.33	67.27	 9.508e-04	      0.34	0	Gaussian	306.780436	34.327866
4	1	  0.001882	  0.074521	     -1.00	    335.42	    536.43	      2.83	      2.83	     49.48	     49.45	-1.74	 1.029e-03	      0.43	0	Gaussian	307.898962	34.328645
5	1	  0.001830	  0.065986	     -1.00	    228.21	    462.07	      2.91	      2.73	     50.91	     47.80	77.01	 8.732e-04	      0.57	0	Gaussian	308.506216	34.677704
6	1	  0.001776	  0.045697	     -1.00	    493.28	    629.49	      3.08	      2.78	     53.94	     48.71	71.39	 6.529e-04	      0.88	0	Gaussian	307.014006	33.886676
7	1	  0.001742	  0.033259	     -1.00	    440.24	    213.35	      2.78	      2.64	     48.73	     46.17	39.72	 4.090e-04	      1.39	0	Gaussian	307.272861	35.830145
8	1	  0.001884	  0.032645	     -1.00	     94.72	     54.38	      2.68	      2.56	     46.94	     44.87	14.46	 7.356e-04	      1.49	0	Gaussian	309.281692	36.583065
9	1	  0.002075	  0.027072	     -1.00	    573.29	    215.02	      2.72	      2.72	     47.68	     47.68	-30.16	 1.324e-03	      1.61	0	Gaussian	306.502385	35.810321
10	1	  0.001732	  0.023636	     -1.00	    367.52	     94.08	      2.69	      2.65	     47.02	     46.42	58.56	 3.246e-04	      1.80	0	Gaussian	307.685871	36.393133
11	1	  0.001705	  0.020970	     -1.00	    479.15	    370.48	      2.84	      2.78	     49.67	     48.58	55.10	 2.713e-04	      1.82	0	Gaussian	307.065151	35.093104
12	1	  0.001701	  0.019998	     -1.00	     67.68	    350.06	      2.76	      2.76	     48.29	     48.29	-51.88	 2.514e-04	      1.91	0	Gaussian	309.426711	35.198604
13	1	  0.001770	  0.018762	     -1.00	    160.45	    356.96	      2.79	      2.73	     48.92	     47.83	70.20	 2.729e-04	      1.97	0	Gaussian	308.893608	35.168110
14	1	  0.001666	  0.017702	     -1.00	    479.98	    231.75	      2.86	      2.74	     50.02	     47.93	55.22	 1.917e-04	      2.01	0	Gaussian	307.044664	35.740978
15	1	  0.001725	  0.018319	     -1.00	    194.40	    417.44	      2.80	      2.69	     49.03	     47.01	69.50	 4.153e-04	      2.02	0	Gaussian	308.698889	34.885961
16	1	  0.001688	  0.015299	     -1.00	    631.62	    589.25	      2.98	      2.96	     52.12	     51.80	84.86	 2.306e-04	      2.04	0	Gaussian	306.227931	34.059874
17	1	  0.001679	  0.015387	     -1.00	    401.51	    556.58	      3.00	      2.83	     52.45	     49.62	70.23	 2.032e-04	      2.07	0	Gaussian	307.525562	34.231692
18	1	  0.001718	  0.014366	     -1.00	    656.81	    553.87	      3.12	      2.84	     54.60	     49.66	65.83	 2.301e-04	      2.10	0	Gaussian	306.079533	34.221151
19	1	  0.001798	  0.016149	     -1.00	    293.40	    409.88	      2.82	      2.71	     49.41	     47.51	61.31	 4.004e-04	      2.13	0	Gaussian	308.132228	34.919596
20	1	  0.001681	  0.015796	     -1.00	    625.53	    225.11	      2.80	      2.76	     48.96	     48.29	54.59	 1.960e-04	      2.15	0	Gaussian	306.201692	35.757086
21	1	  0.001672	  0.016247	     -1.00	    556.55	    134.08	      2.73	      2.70	     47.86	     47.31	57.82	 1.936e-04	      2.17	0	Gaussian	306.587584	36.190805
22	1	  0.001686	  0.013291	     -1.00	    689.61	    519.54	      3.18	      2.81	     55.74	     49.15	64.97	 1.790e-04	      2.18	0	Gaussian	305.887556	34.376449
23	1	  0.001649	  0.015436	     -1.00	    656.54	    124.07	      2.78	      2.75	     48.74	     48.14	55.81	 1.683e-04	      2.18	0	Gaussian	306.003862	36.225662
24	1	  0.001732	  0.016877	     -1.00	    402.55	     54.51	      2.68	      2.58	     46.98	     45.12	36.44	 3.403e-04	      2.20	0	Gaussian	307.477780	36.576642
25	1	  0.001636	  0.014513	     -1.00	    551.06	    242.89	      2.83	      2.81	     49.47	     49.10	61.97	 1.577e-04	      2.21	0	Gaussian	306.635029	35.682345
26	1	  0.001656	  0.012643	     -1.00	    263.42	    603.50	      3.02	      2.87	     52.83	     50.23	72.53	 1.949e-04	      2.26	0	Gaussian	308.309583	34.019056
27	1	  0.001649	  0.013675	     -1.00	    373.29	    317.74	      2.86	      2.77	     50.13	     48.57	83.99	 1.722e-04	      2.27	0	Gaussian	307.668484	35.346313
28	1	  0.001654	  0.015286	     -1.00	    158.38	     78.19	      2.67	      2.62	     46.80	     45.94	45.77	 1.921e-04	      2.29	0	Gaussian	308.908369	36.472451
29	1	  0.001654	  0.013628	     -1.00	    614.56	    121.99	      2.84	      2.69	     49.78	     47.00	41.33	 1.440e-04	      2.32	0	Gaussian	306.247909	36.240799
30	1	  0.001650	  0.014101	     -1.00	    542.36	     49.72	      2.76	      2.69	     48.32	     47.03	81.42	 1.591e-04	      2.32	0	Gaussian	306.658354	36.587482
31	1	  0.001664	  0.011321	     -1.00	    281.53	    525.73	      3.00	      2.81	     52.45	     49.11	73.21	 1.616e-04	      2.42	0	Gaussian	308.204409	34.380219
32	1	  0.001682	  0.012048	     -1.00	     47.15	    256.57	      2.73	      2.72	     47.72	     47.58	-4.92	 1.649e-04	      2.48	0	Gaussian	309.549589	35.634713
33	1	  0.001689	  0.010102	     -1.00	     59.72	    654.59	      2.97	      2.90	     51.99	     50.81	46.32	 1.773e-04	      2.51	0	Gaussian	309.458345	33.780844
34	1	  0.001732	  0.009630	     -1.00	    542.81	    659.54	      3.09	      2.86	     54.02	     50.06	-88.23	 3.042e-04	      2.53	0	Gaussian	306.738768	33.742988
35	1	  0.001744	  0.011372	     -1.00	     84.47	    299.57	      2.74	      2.74	     47.90	     47.90	58.66	 2.490e-04	      2.53	0	Gaussian	309.332147	35.434911
36	1	  0.001701	  0.009525	     -1.00	    425.42	    641.55	      3.01	      2.94	     52.67	     51.50	71.06	 2.398e-04	      2.55	0	Gaussian	307.397638	33.835560
37	1	  0.001640	  0.010006	     -1.00	    601.15	    382.65	      2.90	      2.90	     50.71	     50.70	-24.11	 1.371e-04	      2.56	0	Gaussian	306.367803	35.024544
38	1	  0.001780	  0.011611	     -1.00	    132.77	    175.34	      2.73	      2.63	     47.79	     46.03	10.08	 2.952e-04	      2.57	0	Gaussian	309.056257	36.016980
39	1	  0.001718	  0.006988	     -1.00	    221.09	    671.45	      3.53	      3.37	     61.76	     59.05	-10.47	 3.174e-04	      2.57	0	Gaussian	308.549709	33.704262
40	1	  0.001662	  0.008084	     -1.00	    556.40	    519.10	      3.37	      3.02	     58.99	     52.81	42.28	 1.761e-04	      2.57	0	Gaussian	306.643084	34.393934
41	1	  0.001657	  0.010731	     -1.00	    292.59	    233.02	      2.82	      2.69	     49.28	     47.15	50.07	 1.599e-04	      2.58	0	Gaussian	308.129586	35.745662
42	1	  0.001849	  0.010319	     -1.00	    323.24	    332.94	      2.84	      2.75	     49.67	     48.08	-64.41	 6.038e-04	      2.60	0	Gaussian	307.957392	35.277621
43	1	  0.001767	  0.009618	     -1.00	    184.99	    427.67	      2.89	      2.80	     50.57	     48.97	85.52	 5.499e-04	      2.63	0	Gaussian	308.752711	34.838315
44	1	  0.001652	  0.009136	     -1.00	    550.29	    382.58	      2.93	      2.89	     51.35	     50.66	-15.86	 1.440e-04	      2.65	0	Gaussian	306.658978	35.030293
45	1	  0.001669	  0.009119	     -1.00	    353.20	    598.18	      2.90	      2.90	     50.76	     50.70	75.22	 1.676e-04	      2.65	0	Gaussian	307.801914	34.040840
46	1	  0.001689	  0.008436	     -1.00	    617.17	    177.84	      2.93	      2.89	     51.26	     50.56	61.33	 2.217e-04	      2.73	0	Gaussian	306.242109	35.979105
47	1	  0.001748	  0.009219	     -1.00	    390.02	    147.84	      2.77	      2.69	     48.42	     47.00	-1.03	 4.298e-04	      2.77	0	Gaussian	307.558713	36.140011
48	1	  0.001628	  0.009220	     -1.00	    478.58	    119.65	      2.79	      2.67	     48.91	     46.78	59.29	 9.959e-05	      2.77	0	Gaussian	307.039988	36.265749
49	1	  0.001685	  0.008929	     -1.00	    220.24	    321.18	      2.76	      2.75	     48.33	     48.11	60.15	 1.441e-04	      2.79	0	Gaussian	308.549714	35.335047
50	1	  0.001633	  0.008736	     -1.00	    260.89	    181.27	      2.80	      2.75	     49.00	     48.22	50.22	 1.105e-04	      2.79	0	Gaussian	308.311625	35.988673
51	1	  0.001664	  0.008961	     -1.00	    343.44	    145.91	      2.74	      2.74	     47.91	     47.91	-26.53	 1.376e-04	      2.79	0	Gaussian	307.829811	36.151496
52	1	  0.001642	  0.006805	     -1.00	    559.15	    476.68	      3.46	      2.82	     60.57	     49.33	57.63	 1.167e-04	      2.81	0	Gaussian	306.621519	34.591004
