# 851 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002923	  0.740307	     -1.00	     86.89	    259.60	      2.84	      2.61	     49.68	     45.64	43.34	 4.112e-03	     -1.98	1	Gaussian	314.292362	41.166706
2	1	  0.001868	  0.126282	     -1.00	     44.36	     92.32	      2.66	      2.50	     46.47	     43.69	44.83	 7.538e-04	      0.06	0	Gaussian	314.627858	41.939479
3	1	  0.001832	  0.093345	     -1.00	     14.72	      8.32	      2.68	      2.52	     46.91	     44.03	44.44	 6.173e-04	      0.37	0	Gaussian	314.851678	42.324088
4	1	  0.001777	  0.079316	     -1.00	    193.47	    364.62	      2.60	      2.46	     45.50	     43.10	37.35	 5.407e-04	      0.60	0	Gaussian	313.591444	40.702605
5	1	  0.001744	  0.054618	     -1.00	    622.95	     60.23	      2.59	      2.50	     45.26	     43.73	36.03	 2.810e-04	      1.00	0	Gaussian	310.971975	42.219805
6	1	  0.001760	  0.050105	     -1.00	    438.70	    676.40	      2.63	      2.47	     46.09	     43.24	32.96	 3.701e-04	      1.08	0	Gaussian	311.997011	39.287150
7	1	  0.001723	  0.048202	     -1.00	    147.59	    447.74	      2.68	      2.49	     46.95	     43.59	40.40	 2.770e-04	      1.09	0	Gaussian	313.845082	40.299503
8	1	  0.001813	  0.046264	     -1.00	    495.85	     16.08	      2.62	      2.55	     45.93	     44.59	30.10	 4.127e-04	      1.14	0	Gaussian	311.790672	42.409481
9	1	  0.001733	  0.042656	     -1.00	     38.37	    215.84	      2.69	      2.52	     47.17	     44.02	38.87	 2.150e-04	      1.21	0	Gaussian	314.612728	41.357344
10	1	  0.001816	  0.042213	     -1.00	    358.83	     16.38	      2.63	      2.53	     46.08	     44.34	50.42	 4.654e-04	      1.24	0	Gaussian	312.663923	42.381610
11	1	  0.001743	  0.041116	     -1.00	     84.36	    148.28	      2.66	      2.49	     46.60	     43.53	40.32	 2.773e-04	      1.28	0	Gaussian	314.353070	41.689123
12	1	  0.001750	  0.037162	     -1.00	    266.62	    623.80	      2.72	      2.52	     47.56	     44.08	39.55	 2.321e-04	      1.35	0	Gaussian	313.058067	39.500869
13	1	  0.001791	  0.035544	     -1.00	     49.28	    577.50	      2.74	      2.51	     47.91	     43.95	28.47	 3.359e-04	      1.39	0	Gaussian	314.397087	39.661967
14	1	  0.001712	  0.035155	     -1.00	    429.86	    150.79	      2.63	      2.52	     46.05	     44.12	38.98	 1.468e-04	      1.45	0	Gaussian	312.177431	41.762649
15	1	  0.001685	  0.033608	     -1.00	    401.24	    567.97	      2.72	      2.53	     47.54	     44.36	38.77	 1.867e-04	      1.45	0	Gaussian	312.251404	39.791237
16	1	  0.001899	  0.035638	     -1.00	    473.19	     87.62	      2.54	      2.46	     44.45	     43.12	42.26	 6.533e-04	      1.49	0	Gaussian	311.918474	42.068322
17	1	  0.001701	  0.032576	     -1.00	    225.85	    292.71	      2.70	      2.52	     47.21	     44.12	44.21	 1.458e-04	      1.50	0	Gaussian	313.414933	41.049237
18	1	  0.001703	  0.032335	     -1.00	    182.50	    177.91	      2.60	      2.55	     45.47	     44.65	7.81	 2.075e-04	      1.54	0	Gaussian	313.725909	41.578106
19	1	  0.001707	  0.027684	     -1.00	     44.09	    447.26	      2.78	      2.53	     48.59	     44.34	30.51	 1.891e-04	      1.64	0	Gaussian	314.481184	40.272039
20	1	  0.001729	  0.026722	     -1.00	     12.46	    614.53	      2.73	      2.47	     47.73	     43.28	23.80	 2.434e-04	      1.72	0	Gaussian	314.605696	39.477110
21	1	  0.001680	  0.028092	     -1.00	    405.39	    329.59	      2.53	      2.47	     44.37	     43.31	57.33	 1.920e-04	      1.75	0	Gaussian	312.285721	40.915237
22	1	  0.001713	  0.026103	     -1.00	    610.29	    645.07	      2.63	      2.49	     46.11	     43.56	23.71	 1.850e-04	      1.78	0	Gaussian	310.957413	39.459170
23	1	  0.001678	  0.025077	     -1.00	    279.66	     97.96	      2.62	      2.55	     45.90	     44.66	45.26	 1.336e-04	      1.80	0	Gaussian	313.141319	41.979282
24	1	  0.001673	  0.021496	     -1.00	     26.10	    355.35	      2.74	      2.51	     47.88	     43.97	35.97	 1.486e-04	      1.94	0	Gaussian	314.629996	40.698191
25	1	  0.001655	  0.020517	     -1.00	    390.77	    674.01	      2.70	      2.57	     47.25	     44.93	44.65	 1.345e-04	      1.98	0	Gaussian	312.288927	39.289945
26	1	  0.001921	  0.020621	     -1.00	    297.27	    648.45	      2.58	      2.40	     45.08	     42.00	28.00	 9.925e-04	      2.10	0	Gaussian	312.864280	39.391633
27	1	  0.001691	  0.019348	     -1.00	    645.83	    363.89	      2.63	      2.48	     46.07	     43.35	18.16	 1.096e-04	      2.11	0	Gaussian	310.780813	40.789490
28	1	  0.001662	  0.019608	     -1.00	    623.70	    446.74	      2.59	      2.46	     45.40	     43.07	48.77	 1.292e-04	      2.12	0	Gaussian	310.905749	40.396048
29	1	  0.001759	  0.018476	     -1.00	    588.78	    583.05	      2.55	      2.55	     44.70	     44.56	33.60	 3.432e-04	      2.16	0	Gaussian	311.099027	39.748962
30	1	  0.001691	  0.018951	     -1.00	    441.46	    161.22	      2.53	      2.51	     44.28	     43.89	-60.21	 1.373e-04	      2.17	0	Gaussian	312.101638	41.715667
31	1	  0.001719	  0.018014	     -1.00	    440.65	     46.01	      2.62	      2.53	     45.93	     44.30	56.79	 2.065e-04	      2.17	0	Gaussian	312.135189	42.258538
32	1	  0.001920	  0.018335	     -1.00	    146.15	    678.30	      2.67	      2.44	     46.65	     42.71	27.00	 5.305e-04	      2.17	0	Gaussian	313.771505	39.215455
33	1	  0.001697	  0.018137	     -1.00	    689.52	    634.35	      2.57	      2.47	     44.90	     43.25	26.15	 1.633e-04	      2.21	0	Gaussian	310.474874	39.517823
34	1	  0.001676	  0.015180	     -1.00	     49.74	    480.89	      2.74	      2.60	     48.01	     45.54	62.89	 1.126e-04	      2.27	0	Gaussian	314.432922	40.115803
35	1	  0.001664	  0.015386	     -1.00	    219.06	    655.66	      2.72	      2.55	     47.58	     44.71	30.41	 1.185e-04	      2.29	0	Gaussian	313.337207	39.340021
