# 910 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002803	  0.508958	     -1.00	     80.67	    108.73	      2.82	      2.57	     49.31	     45.06	46.13	 4.458e-03	     -1.55	0	Gaussian	314.955698	47.521195
2	1	  0.002296	  0.392560	     -1.00	    460.62	    434.73	      2.57	      2.47	     44.96	     43.29	55.17	 2.620e-03	     -1.13	0	Gaussian	312.233296	46.114039
3	1	  0.002132	  0.228604	     -1.00	      9.24	    396.50	      2.75	      2.56	     48.19	     44.81	46.05	 1.640e-03	     -0.65	0	Gaussian	315.294884	46.155912
4	1	  0.002324	  0.201558	     -1.00	    288.56	    624.87	      2.59	      2.48	     45.29	     43.49	53.89	 2.228e-03	     -0.42	0	Gaussian	313.326640	45.181711
5	1	  0.002309	  0.169917	     -1.00	    223.44	    141.76	      2.62	      2.62	     45.92	     45.88	24.18	 1.563e-03	     -0.30	0	Gaussian	313.956442	47.417817
6	1	  0.001909	  0.165492	     -1.00	    515.85	     69.17	      2.68	      2.56	     46.84	     44.86	42.47	 8.655e-04	     -0.27	0	Gaussian	311.953840	47.831828
7	1	  0.001947	  0.142928	     -1.00	    162.50	    671.78	      2.61	      2.52	     45.75	     44.05	33.84	 9.857e-04	     -0.07	0	Gaussian	314.144113	44.924711
8	1	  0.001887	  0.102981	     -1.00	    548.38	    349.21	      2.55	      2.55	     44.69	     44.66	-18.94	 6.953e-04	      0.30	0	Gaussian	311.659104	46.531387
9	1	  0.001829	  0.097122	     -1.00	    429.93	    316.24	      2.62	      2.62	     45.91	     45.91	-38.94	 5.789e-04	      0.30	0	Gaussian	312.476422	46.661273
10	1	  0.001775	  0.079169	     -1.00	    515.10	    551.11	      2.57	      2.52	     45.06	     44.08	42.13	 3.531e-04	      0.59	0	Gaussian	311.835343	45.579682
11	1	  0.001733	  0.069949	     -1.00	    250.74	    398.22	      2.64	      2.63	     46.25	     45.96	55.53	 4.211e-04	      0.65	0	Gaussian	313.665543	46.231178
12	1	  0.001880	  0.070215	     -1.00	    627.56	    188.19	      2.56	      2.56	     44.87	     44.86	-56.88	 5.486e-04	      0.70	0	Gaussian	311.150417	47.296850
13	1	  0.001960	  0.073115	     -1.00	    594.50	    388.69	      2.51	      2.48	     43.90	     43.47	50.12	 8.639e-04	      0.72	0	Gaussian	311.335999	46.354489
14	1	  0.001873	  0.065848	     -1.00	     40.17	    647.47	      2.69	      2.54	     47.17	     44.52	39.25	 4.206e-04	      0.73	0	Gaussian	314.963223	44.996537
15	1	  0.001790	  0.048917	     -1.00	     94.55	    382.67	      2.68	      2.56	     46.90	     44.89	46.49	 4.386e-04	      1.05	0	Gaussian	314.727180	46.252435
16	1	  0.001680	  0.048656	     -1.00	    234.36	    371.70	      2.65	      2.53	     46.34	     44.24	29.36	 3.543e-04	      1.08	0	Gaussian	313.786902	46.350045
17	1	  0.001704	  0.045803	     -1.00	    405.75	     21.01	      2.67	      2.65	     46.78	     46.35	-87.94	 3.268e-04	      1.09	0	Gaussian	312.736548	48.030950
18	1	  0.001934	  0.041457	     -1.00	     61.68	    693.19	      2.70	      2.66	     47.19	     46.49	43.63	 4.590e-04	      1.18	0	Gaussian	314.799620	44.790503
19	1	  0.001722	  0.047892	     -1.00	    653.53	    398.39	      2.49	      2.48	     43.61	     43.34	33.43	 3.462e-04	      1.19	0	Gaussian	310.932468	46.317859
20	1	  0.001657	  0.039143	     -1.00	     29.09	    307.33	      2.83	      2.62	     49.59	     45.94	40.62	 2.769e-04	      1.20	0	Gaussian	315.206926	46.578721
21	1	  0.001700	  0.039381	     -1.00	    216.44	    209.63	      2.65	      2.58	     46.34	     45.12	83.37	 3.315e-04	      1.29	0	Gaussian	313.975890	47.099843
22	1	  0.001775	  0.038794	     -1.00	    258.17	    638.37	      2.65	      2.52	     46.38	     44.04	40.80	 2.834e-04	      1.33	0	Gaussian	313.523635	45.110022
23	1	  0.001750	  0.032216	     -1.00	    138.77	     92.53	      2.84	      2.59	     49.64	     45.28	46.64	 2.940e-04	      1.43	0	Gaussian	314.562846	47.617802
24	1	  0.001712	  0.033951	     -1.00	    382.37	     89.22	      2.62	      2.60	     45.85	     45.49	77.53	 2.908e-04	      1.45	0	Gaussian	312.876637	47.707969
25	1	  0.001664	  0.031168	     -1.00	    117.92	    308.86	      2.82	      2.62	     49.29	     45.84	40.10	 1.966e-04	      1.46	0	Gaussian	314.603882	46.604651
26	1	  0.001721	  0.032292	     -1.00	    355.96	    296.63	      2.72	      2.57	     47.54	     45.02	41.52	 2.022e-04	      1.48	0	Gaussian	312.987828	46.734793
27	1	  0.001710	  0.027766	     -1.00	    185.24	    104.35	      2.80	      2.58	     49.06	     45.13	53.63	 2.377e-04	      1.60	0	Gaussian	314.236377	47.579053
28	1	  0.001735	  0.028488	     -1.00	    233.86	    631.27	      2.71	      2.59	     47.42	     45.35	44.29	 1.659e-04	      1.61	0	Gaussian	313.687783	45.136251
29	1	  0.001682	  0.030817	     -1.00	    473.38	    576.61	      2.56	      2.49	     44.83	     43.61	28.83	 2.226e-04	      1.63	0	Gaussian	312.108461	45.451971
30	1	  0.001699	  0.023893	     -1.00	    543.89	    224.86	      2.73	      2.59	     47.83	     45.36	47.90	 1.853e-04	      1.79	0	Gaussian	311.719798	47.111569
31	1	  0.001689	  0.023179	     -1.00	     91.11	    342.17	      2.78	      2.58	     48.74	     45.15	23.98	 1.739e-04	      1.81	0	Gaussian	314.769766	46.439865
32	1	  0.001649	  0.020841	     -1.00	    160.21	    187.85	      2.69	      2.69	     47.09	     47.06	-76.29	 1.847e-04	      1.92	0	Gaussian	314.371117	47.182537
33	1	  0.001633	  0.019657	     -1.00	     14.51	    107.14	      2.85	      2.62	     49.85	     45.79	53.65	 1.655e-04	      1.95	0	Gaussian	315.411822	47.502507
34	1	  0.001625	  0.016548	     -1.00	     14.98	     38.99	      2.93	      2.67	     51.31	     46.75	39.77	 1.314e-04	      2.08	0	Gaussian	315.445464	47.818357
35	1	  0.001681	  0.013469	     -1.00	    663.10	    693.33	      3.67	      2.51	     64.32	     43.85	-23.84	 2.956e-04	      2.13	0	Gaussian	310.816936	44.935160
36	1	  0.001897	  0.015734	     -1.00	    155.46	    585.86	      2.73	      2.52	     47.87	     44.09	26.37	 6.299e-04	      2.28	0	Gaussian	314.227365	45.324523
37	1	  0.001679	  0.015477	     -1.00	    303.91	    564.88	      2.73	      2.57	     47.70	     45.00	44.81	 2.189e-04	      2.28	0	Gaussian	313.245779	45.466869
38	1	  0.001802	  0.014038	     -1.00	    261.70	    173.73	      2.74	      2.71	     48.02	     47.39	-81.64	 2.768e-04	      2.32	0	Gaussian	313.679741	47.281021
