# 891 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002172	  0.102520	     -1.00	    623.86	    133.35	      2.92	      2.80	     51.10	     49.02	-1.69	 1.953e-03	      0.06	0	Gaussian	315.302316	36.023945
2	1	  0.001913	  0.066200	     -1.00	    203.20	     40.06	      3.17	      2.86	     55.55	     50.09	-10.31	 9.387e-04	      0.42	0	Gaussian	317.764169	36.297495
3	1	  0.001900	  0.049618	     -1.00	    112.15	    139.96	      3.17	      2.91	     55.46	     50.90	-13.19	 7.706e-04	      0.71	0	Gaussian	318.220395	35.795288
4	1	  0.001791	  0.029922	     -1.00	     45.29	    591.56	      3.29	      2.97	     57.56	     51.91	-16.88	 5.303e-04	      1.20	0	Gaussian	318.311059	33.690842
5	1	  0.001737	  0.030226	     -1.00	    450.43	    249.20	      3.15	      2.85	     55.21	     49.89	-28.15	 4.596e-04	      1.28	0	Gaussian	316.238983	35.427497
6	1	  0.002237	  0.027228	     -1.00	     11.89	    457.02	      3.22	      2.95	     56.32	     51.63	-7.01	 1.699e-03	      1.33	0	Gaussian	318.579937	34.291990
7	1	  0.001758	  0.025302	     -1.00	    344.97	    521.91	      3.31	      2.98	     57.91	     52.20	-33.77	 4.043e-04	      1.37	0	Gaussian	316.692875	34.130032
8	1	  0.002012	  0.024732	     -1.00	     69.14	    693.16	      3.22	      2.87	     56.42	     50.20	-17.60	 5.986e-04	      1.47	0	Gaussian	318.118325	33.236678
9	1	  0.001709	  0.020385	     -1.00	     89.64	    204.55	      3.30	      2.90	     57.76	     50.83	-14.62	 2.923e-04	      1.64	0	Gaussian	318.306706	35.487318
10	1	  0.001760	  0.020668	     -1.00	    147.31	    176.47	      3.27	      2.84	     57.22	     49.76	-10.50	 3.286e-04	      1.65	0	Gaussian	317.998585	35.642580
11	1	  0.001717	  0.020045	     -1.00	     20.83	    353.55	      3.29	      2.90	     57.58	     50.75	-16.32	 3.306e-04	      1.66	0	Gaussian	318.596879	34.770634
12	1	  0.001749	  0.019144	     -1.00	    278.72	    676.70	      3.28	      2.96	     57.36	     51.76	-26.81	 3.582e-04	      1.69	0	Gaussian	316.978139	33.394669
13	1	  0.001788	  0.017161	     -1.00	    538.26	    621.53	      3.28	      3.16	     57.44	     55.23	-64.64	 4.280e-04	      1.74	0	Gaussian	315.569056	33.736803
14	1	  0.001673	  0.017632	     -1.00	    380.91	     65.71	      3.10	      2.86	     54.30	     50.01	-13.00	 2.288e-04	      1.88	0	Gaussian	316.731397	36.252113
15	1	  0.001746	  0.016928	     -1.00	    220.90	    269.35	      3.22	      2.85	     56.27	     49.86	-19.30	 2.681e-04	      1.89	0	Gaussian	317.527270	35.245552
16	1	  0.001793	  0.016591	     -1.00	    417.29	    380.17	      3.22	      2.87	     56.28	     50.30	-30.62	 2.971e-04	      1.90	0	Gaussian	316.360577	34.809807
17	1	  0.001790	  0.017520	     -1.00	    411.24	    267.17	      3.10	      2.82	     54.22	     49.36	-19.24	 2.925e-04	      1.90	0	Gaussian	316.452283	35.330055
18	1	  0.001762	  0.014773	     -1.00	    398.15	    664.64	      3.22	      3.03	     56.32	     52.95	-58.35	 2.763e-04	      1.97	0	Gaussian	316.325557	33.492613
19	1	  0.001717	  0.015082	     -1.00	     89.34	    236.58	      3.23	      2.88	     56.59	     50.37	-10.39	 2.456e-04	      1.99	0	Gaussian	318.288100	35.339597
20	1	  0.001693	  0.013743	     -1.00	    246.07	    624.90	      3.38	      2.99	     59.19	     52.37	-31.02	 2.405e-04	      2.00	0	Gaussian	317.186051	33.619852
21	1	  0.001656	  0.014938	     -1.00	    649.88	    307.52	      3.07	      2.85	     53.74	     49.80	-23.93	 2.071e-04	      2.08	0	Gaussian	315.077910	35.222940
22	1	  0.001800	  0.013148	     -1.00	    478.97	    621.67	      3.27	      2.99	     57.15	     52.40	-32.89	 3.183e-04	      2.10	0	Gaussian	315.898454	33.717243
23	1	  0.001668	  0.012928	     -1.00	    251.19	    151.57	      3.26	      2.89	     56.99	     50.50	-12.39	 1.937e-04	      2.15	0	Gaussian	317.424315	35.802160
24	1	  0.001693	  0.013013	     -1.00	    529.48	    339.76	      3.14	      2.96	     54.99	     51.86	-38.53	 1.944e-04	      2.16	0	Gaussian	315.746833	35.035339
25	1	  0.001691	  0.011106	     -1.00	    259.20	    317.00	      3.28	      2.98	     57.48	     52.16	-19.95	 1.937e-04	      2.27	0	Gaussian	317.284236	35.041359
26	1	  0.001688	  0.011987	     -1.00	    245.02	      8.73	      3.19	      2.83	     55.85	     49.56	-8.61	 1.735e-04	      2.28	0	Gaussian	317.543474	36.460679
27	1	  0.001698	  0.011775	     -1.00	    692.75	    469.05	      3.04	      2.95	     53.21	     51.55	-45.97	 2.355e-04	      2.30	0	Gaussian	314.768715	34.486848
28	1	  0.001709	  0.010604	     -1.00	    498.82	    438.54	      3.21	      2.93	     56.16	     51.31	-26.40	 1.947e-04	      2.37	0	Gaussian	315.873490	34.568299
29	1	  0.001649	  0.006765	     -1.00	    206.25	    450.45	      4.37	      3.32	     76.56	     58.18	21.45	 1.846e-04	      2.38	0	Gaussian	317.504653	34.405360
30	1	  0.001692	  0.010327	     -1.00	    116.30	    222.50	      3.26	      2.88	     57.04	     50.43	-12.59	 1.596e-04	      2.39	0	Gaussian	318.145154	35.416587
31	1	  0.001670	  0.010447	     -1.00	    554.81	    275.75	      3.15	      2.93	     55.16	     51.22	-20.75	 1.567e-04	      2.40	0	Gaussian	315.632769	35.340313
32	1	  0.001669	  0.009626	     -1.00	    128.77	    488.41	      3.34	      2.96	     58.44	     51.83	-15.73	 1.559e-04	      2.42	0	Gaussian	317.913020	34.198966
33	1	  0.001710	  0.009493	     -1.00	    446.50	    176.76	      3.29	      2.93	     57.50	     51.29	1.25	 2.097e-04	      2.46	0	Gaussian	316.297857	35.761756
34	1	  0.001681	  0.009135	     -1.00	    362.17	    354.82	      3.13	      3.13	     54.82	     54.81	49.71	 1.744e-04	      2.48	0	Gaussian	316.683951	34.906716
35	1	  0.001666	  0.009991	     -1.00	    557.95	    398.38	      3.14	      2.85	     54.97	     49.95	-27.65	 1.492e-04	      2.48	0	Gaussian	315.558972	34.773318
36	1	  0.001736	  0.009195	     -1.00	    566.87	    666.48	      3.22	      3.01	     56.38	     52.60	-35.07	 2.558e-04	      2.49	0	Gaussian	315.390338	33.538597
37	1	  0.001724	  0.009381	     -1.00	    602.27	    479.06	      3.11	      2.92	     54.51	     51.19	-38.73	 2.722e-04	      2.54	0	Gaussian	315.273724	34.413983
38	1	  0.001697	  0.007975	     -1.00	    331.09	    621.75	      3.28	      3.17	     57.48	     55.50	-38.08	 1.614e-04	      2.56	0	Gaussian	316.718035	33.665970
39	1	  0.001682	  0.008864	     -1.00	    628.10	    532.16	      3.20	      2.93	     56.00	     51.32	-40.11	 1.533e-04	      2.56	0	Gaussian	315.106183	34.176351
40	1	  0.001678	  0.008822	     -1.00	    363.42	    602.40	      3.21	      2.87	     56.25	     50.24	-22.84	 1.554e-04	      2.59	0	Gaussian	316.548969	33.766441
41	1	  0.001802	  0.008752	     -1.00	    305.04	    258.31	      3.19	      2.87	     55.79	     50.15	-14.52	 3.607e-04	      2.61	0	Gaussian	317.058407	35.330621
42	1	  0.001671	  0.008633	     -1.00	    493.32	    242.02	      3.16	      2.94	     55.29	     51.39	-12.54	 1.698e-04	      2.61	0	Gaussian	315.998579	35.475854
43	1	  0.001737	  0.007988	     -1.00	    301.67	    465.88	      3.33	      2.98	     58.36	     52.11	-14.31	 2.911e-04	      2.61	0	Gaussian	316.963943	34.371838
44	1	  0.001734	  0.007900	     -1.00	     40.20	    278.18	      3.34	      2.89	     58.47	     50.55	-12.06	 1.702e-04	      2.66	0	Gaussian	318.537387	35.125820
45	1	  0.001681	  0.007839	     -1.00	    539.51	    534.10	      3.24	      2.92	     56.70	     51.16	-38.02	 1.286e-04	      2.69	0	Gaussian	315.601274	34.140286
46	1	  0.001647	  0.007093	     -1.00	    422.47	    677.86	      3.39	      3.08	     59.33	     53.98	-33.38	 1.061e-04	      2.69	0	Gaussian	316.184710	33.440143
47	1	  0.001664	  0.007821	     -1.00	    614.98	    100.63	      3.35	      2.81	     58.68	     49.27	-11.23	 1.291e-04	      2.70	0	Gaussian	315.368086	36.173281
48	1	  0.001648	  0.007099	     -1.00	    204.43	    351.10	      3.37	      3.01	     58.96	     52.75	-25.48	 1.232e-04	      2.72	0	Gaussian	317.572239	34.861878
49	1	  0.001641	  0.007102	     -1.00	     34.26	    345.14	      3.37	      2.99	     59.01	     52.34	-16.06	 1.189e-04	      2.73	0	Gaussian	318.527417	34.815360
50	1	  0.001657	  0.006689	     -1.00	    196.79	    481.08	      3.41	      3.08	     59.76	     53.83	-21.17	 1.104e-04	      2.75	0	Gaussian	317.539707	34.260717
51	1	  0.001707	  0.008157	     -1.00	    632.11	    275.05	      3.03	      2.81	     53.03	     49.10	-15.34	 2.875e-04	      2.76	0	Gaussian	315.193006	35.368208
52	1	  0.001712	  0.007521	     -1.00	    517.80	    350.87	      3.21	      2.91	     56.11	     50.85	-63.76	 1.520e-04	      2.76	0	Gaussian	315.807736	34.980012
53	1	  0.001683	  0.007038	     -1.00	    156.30	    243.92	      3.12	      3.10	     54.61	     54.29	5.94	 1.658e-04	      2.78	0	Gaussian	317.906536	35.335425
