# 379 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.000739	  0.001058	     -1.00	     99.85	    129.09	     31.72	     31.71	    555.27	    555.11	16.40	 6.324e-04	     -0.10	0	Gaussian	332.647820	39.354635
2	1	  0.001860	  0.029269	     -1.00	    506.56	    257.27	      3.97	      3.08	     69.55	     53.88	12.79	 7.401e-04	      0.98	0	Gaussian	330.275608	39.246377
3	1	  0.001798	  0.019782	     -1.00	    619.14	    356.35	      3.74	      2.69	     65.42	     47.11	8.70	 4.300e-04	      1.62	0	Gaussian	329.524783	38.927045
4	1	  0.001762	  0.017865	     -1.00	    346.79	    163.70	      3.76	      2.90	     65.79	     50.72	13.65	 3.689e-04	      1.64	0	Gaussian	331.276103	39.483371
5	1	  0.001767	  0.017753	     -1.00	    164.33	    481.85	      3.64	      2.85	     63.70	     49.83	10.66	 3.619e-04	      1.70	0	Gaussian	331.773376	37.900791
6	1	  0.001731	  0.016142	     -1.00	    532.30	    199.77	      3.98	      2.85	     69.66	     49.94	11.07	 3.698e-04	      1.71	0	Gaussian	330.217448	39.526044
7	1	  0.001730	  0.014699	     -1.00	    352.73	    119.97	      3.81	      2.87	     66.70	     50.22	13.28	 3.011e-04	      1.85	0	Gaussian	331.309174	39.680586
8	1	  0.001761	  0.014099	     -1.00	    191.67	    149.38	      3.72	      2.82	     65.13	     49.37	13.84	 3.013e-04	      1.94	0	Gaussian	332.128905	39.372057
9	1	  0.001713	  0.012271	     -1.00	    446.76	    170.49	      3.87	      2.77	     67.78	     48.50	10.74	 2.579e-04	      2.07	0	Gaussian	330.725313	39.562881
10	1	  0.001714	  0.011295	     -1.00	    223.60	    164.29	      3.23	      3.23	     56.59	     56.59	-30.35	 3.024e-04	      2.19	0	Gaussian	331.935919	39.343493
11	1	  0.001690	  0.010091	     -1.00	    505.76	    546.61	      3.95	      2.89	     69.20	     50.59	7.67	 2.108e-04	      2.21	0	Gaussian	329.875242	37.975189
12	1	  0.001691	  0.009385	     -1.00	    475.33	    259.30	      3.92	      2.86	     68.60	     50.01	9.57	 1.852e-04	      2.31	0	Gaussian	330.442102	39.204447
13	1	  0.001715	  0.008890	     -1.00	    441.81	    200.14	      3.94	      2.85	     68.91	     49.88	11.90	 1.965e-04	      2.37	0	Gaussian	330.709012	39.427746
14	1	  0.001686	  0.008285	     -1.00	    305.81	    119.86	      3.79	      2.80	     66.27	     49.04	10.18	 1.667e-04	      2.51	0	Gaussian	331.562401	39.628840
15	1	  0.001073	  0.002885	     -1.00	     38.10	    281.55	      5.88	      5.09	    102.96	     89.06	-86.81	 7.306e-04	      2.52	0	Gaussian	332.736006	38.626223
16	1	  0.001707	  0.007381	     -1.00	    374.35	    480.03	      3.86	      3.02	     67.57	     52.85	10.16	 1.462e-04	      2.52	0	Gaussian	330.668885	38.132039
17	1	  0.001752	  0.008897	     -1.00	    184.39	    135.16	      3.43	      2.79	     59.96	     48.90	11.80	 2.222e-04	      2.53	0	Gaussian	332.189499	39.425384
18	1	  0.001665	  0.006862	     -1.00	    529.92	    563.99	      4.00	      3.07	     69.96	     53.67	9.57	 1.375e-04	      2.54	0	Gaussian	329.722210	37.923066
19	1	  0.001658	  0.003759	     -1.00	     77.95	    318.17	      7.44	      3.00	    130.16	     52.57	5.35	 1.151e-04	      2.56	0	Gaussian	332.471278	38.513414
20	1	  0.001714	  0.008280	     -1.00	    228.78	    597.45	      3.69	      2.74	     64.51	     48.03	7.45	 1.806e-04	      2.56	0	Gaussian	331.267918	37.467869
21	1	  0.001743	  0.007954	     -1.00	    341.33	    578.48	      3.70	      2.73	     64.68	     47.82	6.77	 1.790e-04	      2.60	0	Gaussian	330.704106	37.667823
22	1	  0.001702	  0.007802	     -1.00	     59.59	    358.39	      3.65	      2.71	     63.94	     47.50	11.92	 1.717e-04	      2.65	0	Gaussian	332.505801	38.319233
23	1	  0.001701	  0.006520	     -1.00	    319.40	    564.38	      3.78	      3.09	     66.19	     54.15	10.60	 1.670e-04	      2.65	0	Gaussian	330.839745	37.706608
24	1	  0.001722	  0.006824	     -1.00	    384.94	    567.37	      3.86	      2.88	     67.64	     50.40	8.10	 1.474e-04	      2.66	0	Gaussian	330.489318	37.761272
25	1	  0.001706	  0.005861	     -1.00	    196.36	    604.04	      3.66	      2.96	     64.10	     51.82	11.63	 1.441e-04	      2.86	0	Gaussian	331.427527	37.405130
26	1	  0.001677	  0.005680	     -1.00	    333.31	     41.62	      3.82	      2.83	     66.91	     49.47	13.40	 1.232e-04	      2.90	0	Gaussian	331.531914	40.000291
27	1	  0.001768	  0.005633	     -1.00	    364.11	    677.31	      3.76	      2.85	     65.73	     49.94	7.67	 2.289e-04	      2.92	0	Gaussian	330.445595	37.259632
28	1	  0.001680	  0.005322	     -1.00	    237.89	    389.37	      3.80	      2.94	     66.44	     51.50	8.93	 1.140e-04	      2.93	0	Gaussian	331.523216	38.381887
29	1	  0.001636	  0.000954	     -1.00	    390.50	     22.24	     10.92	      5.44	    191.08	     95.13	-56.71	 8.472e-05	      2.97	0	Gaussian	331.250412	40.148917
