# 1170 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.001667	  0.203404	     -1.00	    294.48	    244.99	      2.58	      2.45	     45.14	     42.91	47.12	 9.273e-04	     -0.41	1	Gaussian	310.483746	41.716540
2	1	  0.001915	  0.140288	     -1.00	    385.15	    487.51	      2.64	      2.42	     46.28	     42.37	29.40	 1.714e-03	     -0.02	0	Gaussian	309.887408	40.579432
3	1	  0.001514	  0.083887	     -1.00	    615.79	    236.53	      2.54	      2.44	     44.49	     42.76	24.55	 4.790e-04	      0.57	0	Gaussian	308.451154	41.771932
4	1	  0.001543	  0.073001	     -1.00	    557.00	    211.48	      2.59	      2.46	     45.28	     43.08	21.98	 3.889e-04	      0.70	0	Gaussian	308.823842	41.890053
5	1	  0.001497	  0.066222	     -1.00	    584.47	    379.16	      2.58	      2.49	     45.08	     43.50	72.64	 4.446e-04	      0.80	0	Gaussian	308.648814	41.098345
6	1	  0.001470	  0.066169	     -1.00	    390.81	    134.50	      2.55	      2.45	     44.58	     42.80	22.75	 3.496e-04	      0.83	0	Gaussian	309.885140	42.246552
7	1	  0.001453	  0.057992	     -1.00	    334.06	    354.74	      2.57	      2.53	     44.95	     44.27	-55.63	 3.382e-04	      0.92	0	Gaussian	310.220442	41.202231
8	1	  0.001489	  0.057147	     -1.00	    220.27	    136.52	      2.52	      2.47	     44.18	     43.15	34.45	 3.957e-04	      0.99	0	Gaussian	310.971525	42.219708
9	1	  0.001456	  0.055695	     -1.00	    453.37	      8.22	      2.53	      2.43	     44.30	     42.52	56.42	 3.591e-04	      1.03	0	Gaussian	309.494658	42.846421
10	1	  0.001496	  0.049192	     -1.00	     34.87	    752.35	      2.65	      2.50	     46.46	     43.75	24.95	 3.506e-04	      1.08	0	Gaussian	311.996758	39.287028
11	1	  0.001537	  0.047851	     -1.00	     93.26	     92.16	      2.64	      2.49	     46.26	     43.59	37.59	 4.413e-04	      1.12	0	Gaussian	311.790142	42.409303
12	1	  0.001421	  0.049108	     -1.00	    653.38	    208.95	      2.53	      2.53	     44.34	     44.34	-72.49	 2.692e-04	      1.12	0	Gaussian	308.212401	41.901606
13	1	  0.001502	  0.042815	     -1.00	    646.98	    299.58	      2.59	      2.43	     45.31	     42.59	22.71	 2.868e-04	      1.29	0	Gaussian	308.255157	41.473710
14	1	  0.001400	  0.034354	     -1.00	    571.09	    248.13	      2.75	      2.57	     48.15	     45.01	56.25	 1.862e-04	      1.40	0	Gaussian	308.734033	41.717125
15	1	  0.001439	  0.035697	     -1.00	     27.02	    226.75	      2.58	      2.57	     45.16	     45.04	-11.42	 1.981e-04	      1.43	0	Gaussian	312.176977	41.762472
16	1	  0.001595	  0.036118	     -1.00	     70.45	    163.65	      2.55	      2.46	     44.57	     43.11	66.19	 6.205e-04	      1.48	0	Gaussian	311.918116	42.068171
17	1	  0.001385	  0.034067	     -1.00	    298.25	     73.83	      2.55	      2.54	     44.66	     44.51	56.28	 1.760e-04	      1.50	0	Gaussian	310.483626	42.524722
18	1	  0.001426	  0.033474	     -1.00	    723.94	    429.40	      2.63	      2.49	     46.06	     43.53	26.24	 2.188e-04	      1.51	0	Gaussian	307.777754	40.858229
19	1	  0.001520	  0.035628	     -1.00	    748.60	    503.57	      2.54	      2.42	     44.38	     42.35	26.86	 3.318e-04	      1.52	0	Gaussian	307.628950	40.506826
20	1	  0.001420	  0.031486	     -1.00	    712.59	    624.21	      2.66	      2.52	     46.64	     44.07	22.30	 2.999e-04	      1.55	0	Gaussian	307.858822	39.938951
21	1	  0.001389	  0.031519	     -1.00	    727.58	    520.78	      2.62	      2.50	     45.81	     43.81	76.02	 2.486e-04	      1.57	0	Gaussian	307.760479	40.426572
22	1	  0.001506	  0.029322	     -1.00	    439.80	    171.84	      2.65	      2.48	     46.42	     43.33	37.63	 4.471e-04	      1.65	0	Gaussian	309.570050	42.073353
23	1	  0.001454	  0.026705	     -1.00	    206.50	    721.32	      2.61	      2.44	     45.64	     42.66	35.54	 2.299e-04	      1.79	0	Gaussian	310.957296	39.459056
24	1	  0.001410	  0.026759	     -1.00	    472.46	    316.24	      2.54	      2.47	     44.41	     43.21	55.68	 1.709e-04	      1.81	0	Gaussian	309.354156	41.393022
