# 1155 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.004155	  1.023974	     -1.00	    593.82	    130.31	      3.66	      3.31	     64.12	     57.94	57.48	 1.294e-02	     -2.87	1	Gaussian	296.243704	45.130739
2	1	  0.002308	  0.285837	     -1.00	    737.94	     21.05	      2.78	      2.78	     48.73	     48.70	70.15	 2.867e-03	     -1.00	0	Gaussian	295.208354	45.525138
3	1	  0.001759	  0.132627	     -1.00	     37.06	     65.07	      2.85	      2.71	     49.82	     47.51	7.73	 1.011e-03	     -0.16	0	Gaussian	299.833212	45.771847
4	1	  0.001541	  0.042051	     -1.00	    462.00	    313.07	      2.94	      2.78	     51.46	     48.69	-8.65	 4.649e-04	      1.02	0	Gaussian	297.253109	44.377864
5	1	  0.001553	  0.042580	     -1.00	    552.02	    306.65	      2.92	      2.72	     51.14	     47.69	-2.36	 5.796e-04	      1.04	0	Gaussian	296.672291	44.348235
6	1	  0.001496	  0.038941	     -1.00	    427.55	    472.76	      2.88	      2.68	     50.43	     46.92	0.96	 4.206e-04	      1.17	0	Gaussian	297.605187	43.661196
7	1	  0.001557	  0.037544	     -1.00	    769.97	    176.61	      2.85	      2.71	     49.95	     47.51	7.06	 5.380e-04	      1.20	0	Gaussian	295.160118	44.789133
8	1	  0.001516	  0.034361	     -1.00	    609.40	    171.89	      2.86	      2.76	     50.04	     48.29	6.89	 3.576e-04	      1.28	0	Gaussian	296.182247	44.928702
9	1	  0.001532	  0.032282	     -1.00	    574.16	    169.75	      2.87	      2.70	     50.29	     47.17	-3.85	 3.900e-04	      1.37	0	Gaussian	296.406812	44.963282
10	1	  0.001491	  0.029716	     -1.00	    579.61	    706.80	      2.94	      2.76	     51.51	     48.31	-0.67	 3.280e-04	      1.41	0	Gaussian	296.846966	42.482858
11	1	  0.001448	  0.032373	     -1.00	     22.63	    652.49	      2.85	      2.58	     49.80	     45.19	-1.24	 3.038e-04	      1.42	0	Gaussian	300.304235	43.043596
12	1	  0.001505	  0.030155	     -1.00	    526.06	      8.97	      2.79	      2.76	     48.90	     48.23	15.81	 3.144e-04	      1.45	0	Gaussian	296.570775	45.735534
13	1	  0.001440	  0.026852	     -1.00	    560.08	    258.47	      2.89	      2.65	     50.65	     46.39	1.50	 3.241e-04	      1.58	0	Gaussian	296.577753	44.564717
14	1	  0.001430	  0.024486	     -1.00	    252.67	    104.66	      2.81	      2.69	     49.27	     47.12	7.04	 2.324e-04	      1.69	0	Gaussian	298.440085	45.469934
15	1	  0.001449	  0.024327	     -1.00	    572.73	    743.38	      2.85	      2.63	     49.90	     45.97	-0.98	 2.553e-04	      1.71	0	Gaussian	296.920482	42.318138
16	1	  0.001413	  0.022954	     -1.00	    165.21	    373.82	      2.92	      2.72	     51.11	     47.52	-1.27	 2.196e-04	      1.71	0	Gaussian	299.208101	44.270981
17	1	  0.001437	  0.020983	     -1.00	    773.74	    232.94	      2.92	      2.81	     51.04	     49.11	1.35	 2.782e-04	      1.78	0	Gaussian	295.192572	44.528344
18	1	  0.001488	  0.022308	     -1.00	    123.23	    354.50	      2.92	      2.61	     51.13	     45.62	12.24	 2.875e-04	      1.79	0	Gaussian	299.465877	44.382923
19	1	  0.001426	  0.022363	     -1.00	     13.34	    614.05	      2.80	      2.65	     49.00	     46.30	-3.75	 1.907e-04	      1.81	0	Gaussian	300.339917	43.227399
20	1	  0.001434	  0.020048	     -1.00	    388.83	    334.58	      2.96	      2.68	     51.81	     46.83	3.65	 2.383e-04	      1.86	0	Gaussian	297.739775	44.324466
21	1	  0.001421	  0.017567	     -1.00	    403.61	    153.52	      2.99	      2.82	     52.41	     49.34	-58.96	 2.098e-04	      1.93	0	Gaussian	297.494780	45.151708
22	1	  0.001424	  0.018864	     -1.00	    761.44	    405.12	      2.87	      2.73	     50.15	     47.83	-5.79	 2.150e-04	      1.94	0	Gaussian	295.439366	43.747874
23	1	  0.001490	  0.017442	     -1.00	    726.65	    351.10	      2.90	      2.77	     50.81	     48.46	-7.49	 2.604e-04	      2.00	0	Gaussian	295.606022	44.021338
24	1	  0.001466	  0.016138	     -1.00	    449.88	    186.40	      2.95	      2.69	     51.70	     47.12	-3.09	 2.108e-04	      2.09	0	Gaussian	297.223001	44.970257
25	1	  0.001451	  0.016307	     -1.00	    696.66	    789.25	      2.89	      2.69	     50.55	     47.11	3.36	 2.603e-04	      2.11	0	Gaussian	296.197409	42.025258
26	1	  0.001604	  0.016518	     -1.00	    572.64	    430.54	      2.86	      2.63	     50.02	     46.10	-8.49	 6.827e-04	      2.13	0	Gaussian	296.651190	43.763183
27	1	  0.001438	  0.014094	     -1.00	    603.54	    322.85	      2.88	      2.73	     50.38	     47.81	2.95	 1.918e-04	      2.25	0	Gaussian	296.358885	44.238457
28	1	  0.001426	  0.014718	     -1.00	    250.29	    239.58	      2.81	      2.66	     49.22	     46.55	8.02	 2.126e-04	      2.27	0	Gaussian	298.559174	44.846742
29	1	  0.001436	  0.014427	     -1.00	    346.43	    704.41	      2.90	      2.60	     50.84	     45.56	-3.01	 1.740e-04	      2.28	0	Gaussian	298.297165	42.634999
30	1	  0.001440	  0.013531	     -1.00	    580.72	    389.43	      2.90	      2.68	     50.75	     46.91	-5.28	 1.868e-04	      2.31	0	Gaussian	296.563620	43.947295
31	1	  0.001438	  0.013121	     -1.00	    290.22	    364.83	      2.92	      2.72	     51.19	     47.55	-2.46	 2.332e-04	      2.32	0	Gaussian	298.396619	44.243220
32	1	  0.001424	  0.012695	     -1.00	    452.99	    207.06	      2.87	      2.80	     50.17	     48.94	6.02	 1.454e-04	      2.34	0	Gaussian	297.220660	44.872958
33	1	  0.001433	  0.013281	     -1.00	    451.16	    746.62	      2.87	      2.64	     50.19	     46.13	0.22	 1.911e-04	      2.36	0	Gaussian	297.676668	42.378103
34	1	  0.001483	  0.013561	     -1.00	     46.50	    329.32	      2.79	      2.66	     48.79	     46.52	-0.81	 2.807e-04	      2.37	0	Gaussian	299.946711	44.539030
35	1	  0.001444	  0.014005	     -1.00	    151.32	    377.57	      2.74	      2.61	     47.88	     45.62	2.37	 1.765e-04	      2.37	0	Gaussian	299.300358	44.260912
36	1	  0.001508	  0.011889	     -1.00	    755.08	    644.95	      2.92	      2.81	     51.19	     49.22	-15.37	 3.185e-04	      2.38	0	Gaussian	295.706756	42.649976
37	1	  0.001503	  0.012425	     -1.00	    479.66	    628.25	      2.96	      2.67	     51.78	     46.73	-4.59	 3.636e-04	      2.38	0	Gaussian	297.403767	42.909246
38	1	  0.001492	  0.012558	     -1.00	    678.93	    533.16	      2.83	      2.75	     49.45	     48.21	15.52	 3.001e-04	      2.39	0	Gaussian	296.076007	43.217837
39	1	  0.001396	  0.010822	     -1.00	    367.24	    379.65	      3.21	      2.77	     56.19	     48.44	1.22	 1.573e-04	      2.41	0	Gaussian	297.914366	44.129044
40	1	  0.001605	  0.013039	     -1.00	    513.71	    580.51	      2.83	      2.58	     49.55	     45.08	-2.89	 5.292e-04	      2.42	0	Gaussian	297.150979	43.108813
41	1	  0.001408	  0.011756	     -1.00	    329.96	    413.58	      2.96	      2.73	     51.78	     47.71	-0.65	 1.633e-04	      2.42	0	Gaussian	298.179455	43.994028
42	1	  0.001529	  0.012361	     -1.00	    238.86	    633.74	      2.86	      2.68	     50.06	     46.91	-2.06	 2.659e-04	      2.42	0	Gaussian	298.921856	43.022875
43	1	  0.001402	  0.011668	     -1.00	    345.57	    620.96	      2.95	      2.73	     51.60	     47.84	-17.39	 1.369e-04	      2.44	0	Gaussian	298.239598	43.022961
44	1	  0.001472	  0.012027	     -1.00	     12.45	    567.94	      2.87	      2.62	     50.23	     45.91	-4.26	 3.511e-04	      2.47	0	Gaussian	300.317324	43.443034
45	1	  0.001508	  0.012453	     -1.00	     70.11	    527.50	      2.83	      2.57	     49.52	     45.05	-3.00	 3.231e-04	      2.47	0	Gaussian	299.922957	43.604234
46	1	  0.001418	  0.012332	     -1.00	     99.40	    199.77	      2.78	      2.64	     48.66	     46.27	1.98	 1.588e-04	      2.48	0	Gaussian	299.514428	45.114363
47	1	  0.001384	  0.011406	     -1.00	    470.83	    138.17	      2.85	      2.75	     49.94	     48.16	-27.36	 1.257e-04	      2.49	0	Gaussian	297.045623	45.178802
48	1	  0.001477	  0.011457	     -1.00	    444.59	    492.32	      2.89	      2.68	     50.51	     46.99	-3.25	 2.647e-04	      2.49	0	Gaussian	297.513234	43.560170
49	1	  0.001411	  0.010416	     -1.00	    608.36	    651.07	      2.99	      2.79	     52.27	     48.81	-0.26	 1.100e-04	      2.52	0	Gaussian	296.620650	42.721622
50	1	  0.001411	  0.011027	     -1.00	     78.03	    139.52	      2.83	      2.71	     49.55	     47.41	15.42	 1.315e-04	      2.54	0	Gaussian	299.613253	45.405233
51	1	  0.001419	  0.009909	     -1.00	    632.52	    355.71	      2.96	      2.81	     51.87	     49.26	12.94	 1.696e-04	      2.57	0	Gaussian	296.205055	44.067130
52	1	  0.001538	  0.011707	     -1.00	    179.26	    252.68	      2.71	      2.60	     47.44	     45.57	-4.90	 3.593e-04	      2.58	0	Gaussian	299.030561	44.825951
53	1	  0.001483	  0.010253	     -1.00	    548.20	    614.90	      2.90	      2.71	     50.82	     47.49	-11.40	 2.154e-04	      2.59	0	Gaussian	296.964219	42.927822
54	1	  0.001380	  0.009682	     -1.00	    518.28	    203.12	      2.95	      2.79	     51.66	     48.86	-5.88	 1.101e-04	      2.61	0	Gaussian	296.796486	44.847952
55	1	  0.001390	  0.010206	     -1.00	     71.89	    384.96	      2.88	      2.70	     50.39	     47.29	-9.79	 9.865e-05	      2.61	0	Gaussian	299.818529	44.267384
56	1	  0.001409	  0.010367	     -1.00	    152.91	    749.69	      2.85	      2.62	     49.84	     45.83	13.67	 1.055e-04	      2.64	0	Gaussian	299.542776	42.527451
57	1	  0.001374	  0.010212	     -1.00	    293.43	    387.65	      2.86	      2.66	     50.14	     46.60	-5.37	 1.147e-04	      2.64	0	Gaussian	298.393407	44.135538
58	1	  0.001400	  0.009815	     -1.00	    631.38	    305.70	      2.89	      2.72	     50.64	     47.69	-4.40	 1.391e-04	      2.65	0	Gaussian	296.166212	44.298019
