# 1032 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002308	  0.285837	     -1.00	    118.94	    771.05	      2.78	      2.78	     48.73	     48.70	70.15	 2.867e-03	     -1.00	1	Gaussian	295.208354	45.525138
2	1	  0.001968	  0.092186	     -1.00	    151.87	    670.83	      2.78	      2.70	     48.61	     47.31	52.92	 1.288e-03	      0.26	0	Gaussian	294.892325	45.956949
3	1	  0.001625	  0.064785	     -1.00	    253.18	    165.14	      2.76	      2.68	     48.31	     46.88	42.15	 7.501e-04	      0.66	0	Gaussian	293.664650	48.163051
4	1	  0.001634	  0.065459	     -1.00	    496.32	    563.86	      2.69	      2.64	     47.17	     46.19	53.75	 7.608e-04	      0.69	0	Gaussian	292.553001	46.147193
5	1	  0.001624	  0.060280	     -1.00	    710.15	    789.64	      2.80	      2.72	     49.02	     47.57	54.13	 7.566e-04	      0.71	0	Gaussian	291.484930	44.929582
6	1	  0.001637	  0.059446	     -1.00	    472.52	    391.41	      2.69	      2.68	     47.17	     46.84	60.72	 8.097e-04	      0.78	0	Gaussian	292.494806	46.945584
7	1	  0.001699	  0.058198	     -1.00	    403.33	    286.79	      2.69	      2.69	     47.11	     47.06	85.20	 8.184e-04	      0.80	0	Gaussian	292.817116	47.480122
8	1	  0.001605	  0.048726	     -1.00	    703.52	    772.62	      2.73	      2.70	     47.76	     47.19	27.14	 6.856e-04	      0.98	0	Gaussian	291.504682	45.012493
9	1	  0.001623	  0.049269	     -1.00	    169.33	    103.17	      2.67	      2.63	     46.73	     46.08	64.50	 5.995e-04	      1.02	0	Gaussian	294.155248	48.515302
10	1	  0.001552	  0.046413	     -1.00	    365.57	     49.00	      2.77	      2.65	     48.45	     46.30	62.43	 5.387e-04	      1.04	0	Gaussian	292.772477	48.581307
11	1	  0.001959	  0.044882	     -1.00	    782.60	    773.20	      2.72	      2.72	     47.68	     47.68	-45.46	 1.376e-03	      1.06	0	Gaussian	291.014548	44.933177
12	1	  0.001568	  0.044869	     -1.00	    458.74	    530.70	      2.74	      2.70	     47.95	     47.18	9.15	 5.371e-04	      1.06	0	Gaussian	292.753801	46.331172
13	1	  0.001557	  0.036852	     -1.00	    313.66	    529.11	      2.77	      2.77	     48.56	     48.56	-11.72	 4.251e-04	      1.23	0	Gaussian	293.688539	46.467129
14	1	  0.001488	  0.036395	     -1.00	    273.55	    684.31	      2.78	      2.77	     48.63	     48.42	85.21	 4.259e-04	      1.25	0	Gaussian	294.121197	45.796954
15	1	  0.001499	  0.034822	     -1.00	     35.76	    389.90	      2.77	      2.67	     48.51	     46.70	66.29	 3.646e-04	      1.34	0	Gaussian	295.362781	47.327457
