# 1108 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002773	  0.724025	     -1.00	     43.78	    476.06	      2.95	      2.68	     51.57	     46.94	43.81	 3.496e-03	     -2.03	1	Gaussian	316.233075	43.928001
2	1	  0.002166	  0.422067	     -1.00	    496.82	    411.89	      2.66	      2.52	     46.55	     44.12	37.99	 1.918e-03	     -1.26	0	Gaussian	313.310832	44.387213
3	1	  0.002454	  0.384964	     -1.00	    675.60	     52.71	      2.56	      2.47	     44.88	     43.22	51.23	 2.707e-03	     -1.10	0	Gaussian	312.233431	46.114048
4	1	  0.002314	  0.336286	     -1.00	    613.61	    487.60	      2.56	      2.43	     44.84	     42.56	38.51	 2.263e-03	     -0.94	0	Gaussian	312.520952	44.060192
5	1	  0.002246	  0.224723	     -1.00	    224.22	     14.48	      2.74	      2.55	     48.00	     44.58	46.23	 1.649e-03	     -0.63	0	Gaussian	315.295032	46.155911
6	1	  0.002313	  0.201913	     -1.00	    503.56	    242.86	      2.53	      2.53	     44.37	     44.33	78.88	 2.293e-03	     -0.42	0	Gaussian	313.326686	45.181718
7	1	  0.001951	  0.181199	     -1.00	    304.95	    381.27	      2.64	      2.60	     46.18	     45.57	-53.58	 9.548e-04	     -0.37	0	Gaussian	314.581759	44.472297
8	1	  0.001924	  0.142665	     -1.00	    377.50	    289.76	      2.63	      2.51	     46.00	     43.94	34.90	 9.794e-04	     -0.07	0	Gaussian	314.144209	44.924724
9	1	  0.001818	  0.093801	     -1.00	    155.62	    301.26	      2.67	      2.58	     46.80	     45.19	37.23	 5.170e-04	      0.34	0	Gaussian	315.600623	44.791041
10	1	  0.002426	  0.081259	     -1.00	    158.67	     74.69	      2.75	      2.52	     48.11	     44.11	42.24	 2.519e-03	      0.49	0	Gaussian	315.702305	45.849066
11	1	  0.001760	  0.077974	     -1.00	    730.10	    169.12	      2.61	      2.52	     45.64	     44.11	44.98	 3.381e-04	      0.59	0	Gaussian	311.835380	45.579633
12	1	  0.001752	  0.068551	     -1.00	    465.72	     16.20	      2.63	      2.62	     46.11	     45.90	66.77	 4.433e-04	      0.68	0	Gaussian	313.665695	46.231195
13	1	  0.001747	  0.064963	     -1.00	    276.01	    467.02	      2.64	      2.63	     46.16	     46.08	20.29	 3.372e-04	      0.73	0	Gaussian	314.731764	44.060675
14	1	  0.001755	  0.064715	     -1.00	    168.59	    431.72	      2.71	      2.57	     47.46	     44.98	47.82	 4.336e-04	      0.73	0	Gaussian	315.447869	44.186417
15	1	  0.001855	  0.065584	     -1.00	    255.17	    265.46	      2.72	      2.53	     47.53	     44.36	37.55	 4.203e-04	      0.73	0	Gaussian	314.963260	44.996514
16	1	  0.001733	  0.064808	     -1.00	    392.67	    408.34	      2.66	      2.52	     46.57	     44.12	40.68	 3.863e-04	      0.77	0	Gaussian	313.995307	44.373904
17	1	  0.001703	  0.062359	     -1.00	    358.75	    748.14	      2.71	      2.56	     47.46	     44.84	48.16	 2.698e-04	      0.77	0	Gaussian	314.077439	42.768428
18	1	  0.001712	  0.062228	     -1.00	    372.10	    609.40	      2.70	      2.51	     47.20	     43.89	39.61	 3.389e-04	      0.80	0	Gaussian	314.047670	43.424188
19	1	  0.001733	  0.061808	     -1.00	    400.39	    623.37	      2.61	      2.49	     45.72	     43.64	39.82	 4.460e-04	      0.85	0	Gaussian	313.859604	43.367025
20	1	  0.001675	  0.045751	     -1.00	    370.20	    507.77	      2.60	      2.58	     45.54	     45.14	39.86	 2.543e-04	      1.14	0	Gaussian	314.101356	43.900571
21	1	  0.001772	  0.041759	     -1.00	    276.68	    311.17	      2.71	      2.66	     47.47	     46.62	34.33	 3.433e-04	      1.16	0	Gaussian	314.799714	44.790530
22	1	  0.001687	  0.040753	     -1.00	    472.17	    410.62	      2.60	      2.53	     45.47	     44.20	23.63	 2.402e-04	      1.30	0	Gaussian	313.473090	44.386429
23	1	  0.001699	  0.041315	     -1.00	    640.51	    723.73	      2.53	      2.53	     44.31	     44.27	-73.45	 2.860e-04	      1.31	0	Gaussian	312.279913	42.954815
24	1	  0.001935	  0.041301	     -1.00	    341.12	    719.57	      2.57	      2.47	     45.03	     43.26	34.87	 8.299e-04	      1.32	0	Gaussian	314.201751	42.897257
25	1	  0.001754	  0.038446	     -1.00	    473.17	    256.36	      2.67	      2.52	     46.73	     44.15	41.68	 2.721e-04	      1.33	0	Gaussian	313.523698	45.110016
26	1	  0.001797	  0.035529	     -1.00	    143.72	    339.54	      2.71	      2.54	     47.40	     44.49	35.43	 2.573e-04	      1.39	0	Gaussian	315.658310	44.607458
27	1	  0.001740	  0.032181	     -1.00	    289.05	    392.43	      2.68	      2.52	     46.91	     44.13	37.17	 1.810e-04	      1.52	0	Gaussian	314.680829	44.414545
28	1	  0.001652	  0.027032	     -1.00	    182.11	    532.10	      2.77	      2.67	     48.54	     46.75	59.06	 1.562e-04	      1.61	0	Gaussian	315.309383	43.721768
29	1	  0.001718	  0.028398	     -1.00	    448.86	    249.26	      2.67	      2.63	     46.71	     45.98	33.21	 1.767e-04	      1.61	0	Gaussian	313.687838	45.136243
30	1	  0.001676	  0.027519	     -1.00	    253.98	    429.98	      2.76	      2.60	     48.29	     45.42	41.44	 1.232e-04	      1.62	0	Gaussian	314.892512	44.226399
31	1	  0.001663	  0.030656	     -1.00	    688.38	    194.61	      2.59	      2.49	     45.30	     43.52	32.34	 2.191e-04	      1.63	0	Gaussian	312.108468	45.451930
32	1	  0.001756	  0.028376	     -1.00	    326.31	    315.36	      2.61	      2.51	     45.72	     43.85	51.37	 1.985e-04	      1.70	0	Gaussian	314.470944	44.788122
33	1	  0.001697	  0.026061	     -1.00	    217.12	    703.52	      2.75	      2.52	     48.11	     44.15	36.14	 1.755e-04	      1.72	0	Gaussian	315.001338	42.931303
34	1	  0.001700	  0.024942	     -1.00	    412.08	    534.04	      2.73	      2.55	     47.78	     44.71	48.19	 2.500e-04	      1.76	0	Gaussian	313.818726	43.789983
35	1	  0.001704	  0.022001	     -1.00	    119.18	    174.40	      2.91	      2.62	     50.94	     45.83	37.82	 2.221e-04	      1.80	0	Gaussian	315.909923	45.367975
36	1	  0.001638	  0.021770	     -1.00	     74.14	    550.67	      2.82	      2.57	     49.33	     44.98	39.79	 1.271e-04	      1.87	0	Gaussian	315.995616	43.592121
37	1	  0.001711	  0.020856	     -1.00	    538.03	    548.25	      2.68	      2.56	     46.87	     44.83	32.13	 2.202e-04	      1.97	0	Gaussian	312.995052	43.757329
38	1	  0.001724	  0.019034	     -1.00	    100.74	     26.43	      2.81	      2.60	     49.26	     45.49	52.82	 1.550e-04	      2.01	0	Gaussian	316.116874	46.048951
39	1	  0.001684	  0.019255	     -1.00	    236.87	    676.65	      2.79	      2.57	     48.85	     45.03	38.97	 1.260e-04	      2.01	0	Gaussian	314.887651	43.064270
40	1	  0.001626	  0.010384	     -1.00	    776.32	    336.69	      4.90	      2.54	     85.82	     44.54	11.36	 2.738e-04	      2.08	0	Gaussian	311.487998	44.801085
41	1	  0.001685	  0.018740	     -1.00	    655.29	    651.34	      2.64	      2.50	     46.22	     43.74	54.18	 1.582e-04	      2.13	0	Gaussian	312.204078	43.298682
42	1	  0.001738	  0.015770	     -1.00	     14.65	    287.92	      2.86	      2.59	     49.97	     45.40	39.95	 3.362e-04	      2.20	0	Gaussian	316.532463	44.793008
43	1	  0.001691	  0.016666	     -1.00	     29.48	    792.50	      2.74	      2.49	     47.95	     43.59	39.58	 1.790e-04	      2.22	0	Gaussian	316.147322	42.442139
44	1	  0.001681	  0.014840	     -1.00	    208.69	    568.45	      2.92	      2.55	     51.03	     44.59	36.83	 1.343e-04	      2.26	0	Gaussian	315.119971	43.561436
45	1	  0.001654	  0.015432	     -1.00	    245.84	    628.73	      2.80	      2.56	     49.01	     44.86	38.02	 9.385e-05	      2.26	0	Gaussian	314.852320	43.292134
46	1	  0.001879	  0.015349	     -1.00	    370.46	    203.85	      2.79	      2.53	     48.77	     44.21	28.38	 6.250e-04	      2.28	0	Gaussian	314.227406	45.324492
47	1	  0.001661	  0.015231	     -1.00	    518.91	    182.88	      2.77	      2.56	     48.41	     44.88	42.24	 2.208e-04	      2.28	0	Gaussian	313.245820	45.466857
48	1	  0.001698	  0.014335	     -1.00	     95.76	    217.65	      2.86	      2.59	     50.14	     45.34	43.09	 1.378e-04	      2.30	0	Gaussian	316.040398	45.156374
49	1	  0.001668	  0.016391	     -1.00	    697.45	    659.18	      2.57	      2.49	     44.94	     43.53	-7.83	 1.242e-04	      2.31	0	Gaussian	311.929523	43.269905
50	1	  0.001636	  0.015441	     -1.00	    498.21	    684.19	      2.65	      2.46	     46.43	     43.05	51.63	 1.001e-04	      2.35	0	Gaussian	313.207280	43.108120
51	1	  0.001631	  0.014431	     -1.00	    349.73	     55.55	      2.71	      2.55	     47.37	     44.55	45.47	 1.232e-04	      2.38	0	Gaussian	314.431290	46.010480
52	1	  0.001781	  0.014676	     -1.00	    493.31	     66.36	      2.62	      2.51	     45.86	     43.86	55.37	 2.938e-04	      2.41	0	Gaussian	313.460238	46.004902
53	1	  0.001687	  0.014939	     -1.00	    705.47	    700.69	      2.54	      2.50	     44.44	     43.84	66.47	 1.879e-04	      2.42	0	Gaussian	311.867599	43.075866
54	1	  0.001657	  0.014181	     -1.00	    497.45	    199.35	      2.65	      2.51	     46.35	     43.92	57.08	 1.184e-04	      2.43	0	Gaussian	313.383226	45.383856
55	1	  0.001695	  0.012968	     -1.00	     22.69	    781.75	      2.81	      2.50	     49.16	     43.81	26.94	 3.085e-04	      2.46	0	Gaussian	316.196137	42.489627
56	1	  0.001691	  0.005470	     -1.00	    310.43	    237.97	      5.78	      2.84	    101.11	     49.65	-47.48	 2.658e-04	      2.48	0	Gaussian	314.610763	45.144740
57	1	  0.001632	  0.013483	     -1.00	    490.47	    790.19	      2.63	      2.53	     45.95	     44.29	-50.22	 1.124e-04	      2.48	0	Gaussian	313.220893	42.607490
58	1	  0.001837	  0.011953	     -1.00	     39.44	     91.71	      2.82	      2.56	     49.38	     44.88	42.94	 6.309e-04	      2.52	0	Gaussian	316.487041	45.717852
59	1	  0.001716	  0.012622	     -1.00	    360.10	    671.39	      2.67	      2.51	     46.76	     43.86	35.48	 1.972e-04	      2.56	0	Gaussian	314.099808	43.129419
60	1	  0.001662	  0.012669	     -1.00	    551.32	    788.35	      2.62	      2.49	     45.83	     43.67	48.69	 9.328e-05	      2.57	0	Gaussian	312.832892	42.631006
61	1	  0.001669	  0.010953	     -1.00	    429.21	    218.16	      2.85	      2.63	     49.87	     45.99	-33.08	 1.605e-04	      2.57	0	Gaussian	313.830633	45.276026
62	1	  0.001615	  0.012244	     -1.00	    678.60	    110.17	      2.58	      2.58	     45.13	     45.13	-73.24	 8.406e-05	      2.59	0	Gaussian	312.197181	45.845677
63	1	  0.001653	  0.011500	     -1.00	    181.69	    572.49	      2.78	      2.55	     48.59	     44.66	36.63	 8.756e-05	      2.59	0	Gaussian	315.291942	43.532500
64	1	  0.001765	  0.012853	     -1.00	    705.28	    341.26	      2.57	      2.45	     45.02	     42.81	70.51	 3.770e-04	      2.59	0	Gaussian	311.957680	44.766922
65	1	  0.001678	  0.011683	     -1.00	    321.66	    445.35	      2.66	      2.60	     46.54	     45.58	56.58	 1.621e-04	      2.60	0	Gaussian	314.444022	44.177722
66	1	  0.001653	  0.011673	     -1.00	    775.12	    624.87	      2.64	      2.55	     46.21	     44.62	39.43	 8.161e-05	      2.63	0	Gaussian	311.434275	43.444881
67	1	  0.001683	  0.010940	     -1.00	    323.65	    262.97	      2.72	      2.62	     47.63	     45.90	46.14	 9.148e-05	      2.63	0	Gaussian	314.511901	45.032376
68	1	  0.001779	  0.011127	     -1.00	    228.31	    154.83	      2.72	      2.60	     47.53	     45.44	-77.60	 3.385e-04	      2.63	0	Gaussian	315.195916	45.503167
69	1	  0.001637	  0.011238	     -1.00	    672.10	    157.19	      2.70	      2.58	     47.33	     45.23	29.90	 9.039e-05	      2.64	0	Gaussian	312.227850	45.623986
70	1	  0.001914	  0.012088	     -1.00	    218.31	    307.65	      2.58	      2.50	     45.11	     43.77	54.01	 1.076e-03	      2.64	0	Gaussian	315.185393	44.785597
71	1	  0.001651	  0.011538	     -1.00	    398.47	    584.56	      2.63	      2.51	     46.12	     44.01	56.16	 2.377e-04	      2.65	0	Gaussian	313.887182	43.548733
72	1	  0.001630	  0.010808	     -1.00	    661.01	    628.98	      2.68	      2.60	     46.96	     45.57	29.46	 5.762e-05	      2.67	0	Gaussian	312.173023	43.405068
73	1	  0.001672	  0.011177	     -1.00	    623.75	    790.00	      2.67	      2.52	     46.76	     44.07	48.80	 1.278e-04	      2.67	0	Gaussian	312.369322	42.639227
