# 997 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002913	  0.242679	     -1.00	    541.89	    715.08	      3.41	      2.78	     59.63	     48.62	8.73	 3.855e-03	     -1.04	1	Gaussian	323.694185	38.533759
2	1	  0.002582	  0.222958	     -1.00	    523.28	    298.88	      3.48	      2.82	     60.92	     49.28	17.23	 3.266e-03	     -0.98	0	Gaussian	324.237149	40.413293
3	1	  0.002246	  0.128723	     -1.00	    299.73	     93.37	      3.46	      2.75	     60.64	     48.10	18.87	 2.042e-03	     -0.36	0	Gaussian	325.776742	41.154915
4	1	  0.002942	  0.119227	     -1.00	    326.16	    115.81	      3.50	      2.75	     61.19	     48.14	18.46	 2.942e-03	     -0.28	0	Gaussian	325.595799	41.077021
5	1	  0.003568	  0.124192	     -1.00	    161.18	    703.63	      3.44	      2.68	     60.25	     46.87	7.12	 4.416e-03	     -0.28	0	Gaussian	325.855759	38.283000
6	1	  0.002117	  0.087176	     -1.00	    348.16	    180.31	      3.57	      2.80	     62.41	     49.00	20.70	 1.464e-03	      0.02	0	Gaussian	325.392045	40.804669
7	1	  0.002058	  0.057760	     -1.00	     28.72	     38.50	      3.53	      2.75	     61.80	     48.07	17.08	 1.036e-03	      0.49	0	Gaussian	327.416705	41.149159
8	1	  0.001914	  0.048664	     -1.00	    443.90	    526.23	      3.47	      2.74	     60.77	     47.96	10.71	 8.425e-04	      0.70	0	Gaussian	324.452085	39.316526
9	1	  0.001817	  0.036461	     -1.00	    363.99	    468.29	      3.57	      2.81	     62.41	     49.17	11.18	 5.980e-04	      0.96	0	Gaussian	324.973693	39.514510
10	1	  0.001730	  0.027615	     -1.00	    505.57	    148.90	      3.54	      2.82	     61.88	     49.34	18.19	 4.035e-04	      1.26	0	Gaussian	324.505011	41.080701
11	1	  0.001723	  0.026952	     -1.00	    690.73	    328.97	      3.47	      2.80	     60.75	     49.09	16.07	 3.820e-04	      1.32	0	Gaussian	323.223117	40.406874
12	1	  0.001764	  0.024017	     -1.00	    165.94	    788.66	      3.58	      2.75	     62.60	     48.09	4.57	 4.440e-04	      1.43	0	Gaussian	325.732523	37.904323
