# 998 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002168	  0.122337	     -1.00	    237.93	    351.01	      2.83	      2.73	     49.54	     47.70	71.03	 1.479e-03	     -0.07	1	Gaussian	290.985492	43.387546
2	1	  0.001911	  0.057172	     -1.00	     91.78	     39.39	      2.73	      2.73	     47.75	     47.72	3.68	 7.407e-04	      0.79	0	Gaussian	291.485210	44.929555
3	1	  0.001888	  0.046562	     -1.00	    293.81	    431.10	      2.79	      2.78	     48.84	     48.58	-42.99	 6.163e-04	      0.97	0	Gaussian	290.751749	42.973761
4	1	  0.001863	  0.043894	     -1.00	     85.13	     22.35	      2.79	      2.78	     48.92	     48.71	-73.25	 6.124e-04	      1.03	0	Gaussian	291.504957	45.012565
5	1	  0.001812	  0.039206	     -1.00	    613.09	    742.79	      2.78	      2.78	     48.67	     48.60	84.51	 5.275e-04	      1.16	0	Gaussian	289.287541	41.264242
6	1	  0.001836	  0.040678	     -1.00	    385.68	    475.26	      2.73	      2.72	     47.72	     47.65	0.76	 5.473e-04	      1.16	0	Gaussian	290.261769	42.686187
7	1	  0.002191	  0.041544	     -1.00	    164.24	     22.88	      2.69	      2.69	     47.15	     47.14	-38.00	 1.272e-03	      1.16	0	Gaussian	291.014794	44.933331
8	1	  0.001756	  0.027296	     -1.00	    149.74	    626.02	      2.85	      2.81	     49.84	     49.20	74.78	 3.587e-04	      1.52	0	Gaussian	291.851766	42.228765
9	1	  0.002059	  0.023171	     -1.00	    513.15	    763.48	      2.67	      2.60	     46.72	     45.43	1.16	 1.439e-03	      1.85	0	Gaussian	289.890030	41.270392
10	1	  0.001716	  0.019591	     -1.00	    204.17	    492.43	      2.82	      2.74	     49.36	     47.94	0.91	 2.773e-04	      1.91	0	Gaussian	291.365008	42.782479
