# 188 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002943	  0.088862	     -1.00	     97.24	      7.78	      3.60	      2.61	     63.05	     45.74	-9.34	 3.512e-03	      0.06	0	Gaussian	325.857674	38.282157
2	1	  0.001575	  0.055373	     -1.00	    316.73	     72.89	      4.01	      2.81	     70.17	     49.16	-8.21	 1.354e-03	      0.38	0	Gaussian	327.122803	38.647591
3	1	  0.001584	  0.050777	     -1.00	    434.80	    258.33	      4.05	      2.68	     70.97	     46.96	-4.37	 1.252e-03	      0.51	0	Gaussian	327.771095	39.536153
4	1	  0.001412	  0.018267	     -1.00	    312.09	    139.31	      4.01	      2.72	     70.12	     47.61	-6.89	 4.191e-04	      1.62	0	Gaussian	327.077299	38.955138
5	1	  0.001394	  0.017894	     -1.00	     64.28	    276.90	      3.53	      2.74	     61.87	     48.03	1.21	 3.196e-04	      1.76	0	Gaussian	325.562553	39.525521
6	1	  0.001617	  0.012861	     -1.00	    470.86	    131.36	      4.06	      2.60	     71.08	     45.42	-7.49	 8.362e-04	      2.03	0	Gaussian	328.011497	38.954009
7	1	  0.001386	  0.011298	     -1.00	    407.13	    239.20	      4.17	      2.77	     72.94	     48.49	-5.68	 2.986e-04	      2.07	0	Gaussian	327.611978	39.441449
8	1	  0.001505	  0.010937	     -1.00	    348.01	      6.41	      4.07	      2.69	     71.29	     47.05	-9.56	 4.398e-04	      2.16	0	Gaussian	327.323059	38.346673
9	1	  0.001418	  0.009208	     -1.00	    463.72	     18.49	      4.21	      2.69	     73.73	     47.07	-7.71	 2.992e-04	      2.32	0	Gaussian	327.993638	38.429126
10	1	  0.001376	  0.010043	     -1.00	     24.63	    268.37	      3.53	      2.58	     61.71	     45.18	-2.21	 1.943e-04	      2.46	0	Gaussian	325.329164	39.472841
11	1	  0.001475	  0.010092	     -1.00	     60.25	    491.37	      3.49	      2.52	     61.12	     44.15	1.72	 2.876e-04	      2.48	0	Gaussian	325.453692	40.524970
12	1	  0.001375	  0.007841	     -1.00	    326.12	    165.67	      3.99	      2.64	     69.78	     46.29	-6.62	 1.849e-04	      2.58	0	Gaussian	327.152717	39.081109
13	1	  0.001406	  0.007133	     -1.00	    426.99	    274.20	      4.18	      2.70	     73.13	     47.31	-3.56	 2.063e-04	      2.60	0	Gaussian	327.721126	39.608263
14	1	  0.001377	  0.008138	     -1.00	    242.57	    335.42	      3.94	      2.42	     68.92	     42.37	-2.31	 1.960e-04	      2.63	0	Gaussian	326.607046	39.849960
15	1	  0.001548	  0.006957	     -1.00	    490.11	    313.07	      4.07	      2.60	     71.29	     45.46	-2.17	 5.059e-04	      2.70	0	Gaussian	328.086579	39.801187
16	1	  0.001755	  0.007143	     -1.00	    479.72	    123.87	      3.79	      2.37	     66.38	     41.42	-6.31	 1.487e-03	      2.84	0	Gaussian	328.064971	38.921048
17	1	  0.001374	  0.006056	     -1.00	    116.68	    477.91	      3.72	      2.84	     65.03	     49.76	2.96	 1.469e-04	      2.85	0	Gaussian	325.800736	40.479294
18	1	  0.001348	  0.005805	     -1.00	     94.00	    287.50	      3.74	      2.65	     65.54	     46.30	-3.03	 1.142e-04	      2.96	0	Gaussian	325.735987	39.584294
19	1	  0.001340	  0.005185	     -1.00	    171.34	    273.48	      3.89	      2.74	     68.03	     47.93	-4.01	 1.160e-04	      3.01	0	Gaussian	326.202369	39.541947
20	1	  0.001354	  0.005159	     -1.00	    363.38	    146.51	      4.15	      2.57	     72.72	     45.01	-5.23	 1.356e-04	      3.02	0	Gaussian	327.377102	39.000960
21	1	  0.001338	  0.004342	     -1.00	    176.01	     11.98	      4.07	      2.86	     71.20	     50.01	-9.03	 1.082e-04	      3.10	0	Gaussian	326.317310	38.325966
22	1	  0.001348	  0.003838	     -1.00	    469.81	    378.23	      4.34	      2.91	     76.03	     51.01	-0.58	 1.002e-04	      3.15	0	Gaussian	327.951841	40.100048
23	1	  0.001389	  0.004927	     -1.00	     66.71	    219.13	      3.60	      2.63	     62.98	     46.02	-4.18	 2.410e-04	      3.18	0	Gaussian	325.599279	39.256897
24	1	  0.001340	  0.004439	     -1.00	    211.27	    460.53	      3.82	      2.70	     66.92	     47.30	1.14	 9.270e-05	      3.20	0	Gaussian	326.378425	40.424652
25	1	  0.001448	  0.004351	     -1.00	    194.56	    329.09	      3.91	      2.69	     68.37	     47.14	-1.19	 3.773e-04	      3.21	0	Gaussian	326.322147	39.807570
26	1	  0.001328	  0.003780	     -1.00	    357.77	     26.31	      4.21	      2.80	     73.60	     49.04	-7.29	 8.728e-05	      3.23	0	Gaussian	327.374903	38.441384
27	1	  0.001377	  0.003855	     -1.00	    149.01	    210.96	      3.88	      2.89	     67.83	     50.54	-3.00	 1.371e-04	      3.28	0	Gaussian	326.091140	39.244173
28	1	  0.001316	  0.003701	     -1.00	     70.54	     37.15	      3.93	      2.90	     68.70	     50.68	-9.60	 8.229e-05	      3.31	0	Gaussian	325.690362	38.410248
29	1	  0.001327	  0.003350	     -1.00	     53.89	     87.82	      4.13	      3.01	     72.36	     52.77	0.89	 7.593e-05	      3.32	0	Gaussian	325.573402	38.640757
30	1	  0.001339	  0.003740	     -1.00	     26.98	    371.93	      3.81	      2.77	     66.75	     48.54	2.17	 9.104e-05	      3.37	0	Gaussian	325.301208	39.956832
31	1	  0.001334	  0.003350	     -1.00	     55.45	    176.91	      3.95	      2.88	     69.14	     50.48	-6.90	 7.337e-05	      3.42	0	Gaussian	325.548583	39.056459
32	1	  0.001343	  0.003136	     -1.00	    223.80	    473.49	      3.94	      2.88	     69.05	     50.47	5.06	 7.819e-05	      3.48	0	Gaussian	326.449746	40.488351
33	1	  0.001354	  0.003117	     -1.00	    141.87	    295.15	      3.92	      2.88	     68.62	     50.47	-2.02	 9.346e-05	      3.48	0	Gaussian	326.019087	39.634407
34	1	  0.001325	  0.002773	     -1.00	    256.65	     10.41	      4.24	      2.95	     74.21	     51.72	-12.82	 7.159e-05	      3.51	0	Gaussian	326.789107	38.341557
35	1	  0.001319	  0.002840	     -1.00	    258.73	    244.96	      4.28	      2.76	     75.00	     48.26	-5.48	 6.422e-05	      3.54	0	Gaussian	326.731294	39.432987
36	1	  0.001341	  0.002957	     -1.00	    266.90	    315.78	      4.03	      2.81	     70.55	     49.26	0.28	 9.780e-05	      3.55	0	Gaussian	326.758358	39.764780
37	1	  0.001326	  0.002936	     -1.00	    260.96	    142.41	      4.10	      2.71	     71.79	     47.45	-8.61	 6.229e-05	      3.57	0	Gaussian	326.775336	38.956394
38	1	  0.001338	  0.002742	     -1.00	    157.24	    271.89	      4.04	      2.98	     70.75	     52.13	-3.10	 7.375e-05	      3.58	0	Gaussian	326.118936	39.530462
39	1	  0.001355	  0.003050	     -1.00	    230.66	    269.33	      4.11	      2.60	     71.99	     45.51	-4.35	 8.044e-05	      3.59	0	Gaussian	326.556916	39.539045
40	1	  0.001349	  0.003004	     -1.00	    219.72	    314.82	      4.00	      2.69	     70.06	     47.10	-2.02	 8.007e-05	      3.60	0	Gaussian	326.477166	39.747937
41	1	  0.001366	  0.002726	     -1.00	    259.71	    207.44	      4.14	      2.83	     72.42	     49.58	-5.34	 9.224e-05	      3.63	0	Gaussian	326.748452	39.258595
42	1	  0.001343	  0.002690	     -1.00	    188.48	    383.94	      3.98	      2.83	     69.73	     49.58	0.95	 7.377e-05	      3.66	0	Gaussian	326.267158	40.061510
43	1	  0.001333	  0.002560	     -1.00	    197.75	    472.47	      3.95	      2.84	     69.22	     49.80	-1.57	 6.940e-05	      3.72	0	Gaussian	326.292822	40.476732
44	1	  0.001353	  0.002309	     -1.00	    319.98	    483.37	      4.18	      2.81	     73.14	     49.24	2.30	 1.446e-04	      3.78	0	Gaussian	327.026834	40.557872
45	1	  0.001450	  0.002341	     -1.00	    474.24	     18.21	      4.15	      2.69	     72.57	     47.11	-8.03	 5.173e-04	      3.83	0	Gaussian	328.054873	38.430010
46	1	  0.001361	  0.001583	     -1.00	    447.97	    296.08	      4.13	      3.80	     72.37	     66.49	-9.27	 9.528e-05	      3.85	0	Gaussian	327.840432	39.714169
47	1	  0.001367	  0.002313	     -1.00	     73.58	    436.69	      3.69	      2.81	     64.50	     49.26	0.31	 9.683e-05	      3.91	0	Gaussian	325.556104	40.273940
48	1	  0.001317	  0.002109	     -1.00	     71.23	    320.49	      3.95	      2.88	     69.07	     50.44	-3.34	 4.516e-05	      3.92	0	Gaussian	325.587229	39.731041
49	1	  0.001333	  0.001668	     -1.00	    100.53	    376.15	      4.22	      3.35	     73.86	     58.70	-19.03	 5.290e-05	      3.96	0	Gaussian	325.741768	39.999717
50	1	  0.001439	  0.002486	     -1.00	     70.25	    209.16	      3.45	      2.60	     60.34	     45.43	-2.97	 5.274e-04	      3.96	0	Gaussian	325.624082	39.211556
51	1	  0.001327	  0.001787	     -1.00	    151.06	    165.82	      4.09	      2.98	     71.59	     52.09	-6.48	 5.551e-05	      4.03	0	Gaussian	326.118915	39.034499
52	1	  0.001389	  0.002041	     -1.00	    170.47	     36.80	      3.83	      2.60	     67.04	     45.51	-3.05	 1.326e-04	      4.05	0	Gaussian	326.276709	38.439733
53	1	  0.001339	  0.001725	     -1.00	    252.61	    451.73	      4.23	      2.87	     73.99	     50.32	3.15	 5.877e-05	      4.07	0	Gaussian	326.630522	40.394345
54	1	  0.001331	  0.001618	     -1.00	    104.16	    102.48	      4.47	      2.94	     78.26	     51.46	-3.76	 5.910e-05	      4.08	0	Gaussian	325.864326	38.725215
55	1	  0.001354	  0.001641	     -1.00	    226.22	    247.68	      4.43	      2.83	     77.52	     49.46	-1.69	 1.174e-04	      4.12	0	Gaussian	326.537417	39.437007
56	1	  0.001331	  0.001014	     -1.00	    120.65	     64.25	      5.34	      3.41	     93.55	     59.76	-0.99	 5.758e-05	      4.19	0	Gaussian	325.974978	38.552374
57	1	  0.001314	  0.001230	     -1.00	    361.03	    278.89	      4.38	      3.56	     76.61	     62.38	-15.05	 4.048e-05	      4.19	0	Gaussian	327.328892	39.615766
58	1	  0.001330	  0.001455	     -1.00	    483.39	    291.78	      4.31	      2.92	     75.51	     51.09	-11.20	 5.077e-05	      4.23	0	Gaussian	328.051252	39.701084
59	1	  0.001349	  0.001498	     -1.00	     51.05	     32.12	      3.94	      2.97	     68.90	     52.06	0.47	 6.807e-05	      4.23	0	Gaussian	325.577835	38.380423
60	1	  0.001345	  0.001196	     -1.00	    369.77	    341.56	      4.57	      3.32	     79.93	     58.18	16.82	 7.446e-05	      4.24	0	Gaussian	327.364418	39.909159
61	1	  0.001328	  0.001123	     -1.00	    393.64	    288.12	      4.55	      3.48	     79.61	     60.96	-8.45	 4.838e-05	      4.24	0	Gaussian	327.520040	39.665905
62	1	  0.001347	  0.001540	     -1.00	    436.51	    173.62	      4.06	      2.69	     71.07	     47.01	-2.11	 5.005e-05	      4.29	0	Gaussian	327.800580	39.143074
63	1	  0.001326	  0.000626	     -1.00	     59.99	    416.79	      5.90	      4.18	    103.19	     73.15	-50.50	 4.291e-05	      4.37	0	Gaussian	325.481925	40.176813
64	1	  0.001324	  0.001285	     -1.00	    128.62	     39.34	      4.19	      2.94	     73.27	     51.43	-4.85	 5.067e-05	      4.38	0	Gaussian	326.030451	38.438905
65	1	  0.001352	  0.001378	     -1.00	    238.03	    256.19	      4.05	      2.78	     70.95	     48.68	-9.07	 1.417e-04	      4.38	0	Gaussian	326.604857	39.479793
66	1	  0.001322	  0.001321	     -1.00	    386.34	    197.25	      4.25	      2.80	     74.40	     48.93	-1.14	 4.682e-05	      4.40	0	Gaussian	327.499492	39.241974
67	1	  0.001339	  0.001381	     -1.00	    255.01	    337.45	      3.95	      2.81	     69.19	     49.18	-2.02	 9.466e-05	      4.40	0	Gaussian	326.680712	39.862616
68	1	  0.001349	  0.001399	     -1.00	    238.49	    412.42	      3.90	      2.63	     68.33	     46.02	0.03	 6.158e-05	      4.45	0	Gaussian	326.558089	40.207575
69	1	  0.001340	  0.001145	     -1.00	    471.07	     35.16	      4.06	      3.03	     71.01	     53.04	-14.87	 5.028e-05	      4.50	0	Gaussian	328.032940	38.507917
70	1	  0.001338	  0.000980	     -1.00	    304.64	    188.78	      4.57	      3.16	     80.01	     55.24	-8.03	 5.489e-05	      4.50	0	Gaussian	327.019563	39.183297
71	1	  0.001328	  0.001019	     -1.00	    139.81	    396.19	      4.37	      3.21	     76.55	     56.14	-6.82	 4.928e-05	      4.52	0	Gaussian	325.970455	40.104878
72	1	  0.001331	  0.001022	     -1.00	     41.76	    145.76	      4.48	      2.98	     78.50	     52.12	-0.42	 9.157e-05	      4.55	0	Gaussian	325.479480	38.906770
73	1	  0.001323	  0.001082	     -1.00	    137.56	    167.09	      3.95	      2.89	     69.15	     50.64	-5.46	 5.020e-05	      4.61	0	Gaussian	326.038600	39.036389
74	1	  0.001335	  0.000850	     -1.00	    416.49	    369.20	      4.73	      3.23	     82.70	     56.52	7.37	 4.174e-05	      4.61	0	Gaussian	327.635987	40.047626
75	1	  0.001338	  0.001097	     -1.00	    138.00	    331.06	      3.85	      3.18	     67.30	     55.62	-2.42	 5.246e-05	      4.62	0	Gaussian	325.983098	39.800678
76	1	  0.001333	  0.001031	     -1.00	    300.46	    441.03	      4.12	      2.76	     72.06	     48.30	-5.55	 4.848e-05	      4.63	0	Gaussian	326.921717	40.356175
77	1	  0.001328	  0.000696	     -1.00	    142.87	    134.29	      4.30	      4.02	     75.35	     70.34	43.70	 7.479e-05	      4.64	0	Gaussian	326.081400	38.885257
78	1	  0.001330	  0.001092	     -1.00	     45.93	    283.67	      3.97	      2.86	     69.56	     50.08	-0.05	 4.879e-05	      4.64	0	Gaussian	325.450258	39.551185
79	1	  0.001340	  0.000657	     -1.00	     51.34	    146.03	      6.19	      3.05	    108.34	     53.46	-2.20	 1.231e-04	      4.65	0	Gaussian	325.536100	38.911153
80	1	  0.001341	  0.001200	     -1.00	    103.76	    155.82	      3.70	      2.77	     64.83	     48.55	-0.73	 5.623e-05	      4.65	0	Gaussian	325.842649	38.973558
81	1	  0.001313	  0.000998	     -1.00	     11.50	    126.79	      3.79	      3.21	     66.32	     56.25	5.15	 4.260e-05	      4.65	0	Gaussian	325.307962	38.808184
82	1	  0.001328	  0.000357	     -1.00	     22.16	    191.03	      8.73	      3.84	    152.79	     67.28	-29.70	 6.905e-05	      4.65	0	Gaussian	325.345472	39.111261
