# 430 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.003624	  0.778283	     -1.00	    570.29	    450.15	      2.96	      2.69	     51.83	     47.06	52.05	 4.086e-03	     -2.12	1	Gaussian	314.291383	41.166140
2	1	  0.002590	  0.069933	     -1.00	    455.71	    353.96	      2.83	      2.57	     49.47	     44.98	42.05	 5.226e-04	      0.60	0	Gaussian	313.590448	40.701895
3	1	  0.002585	  0.047520	     -1.00	    186.75	     63.03	      2.73	      2.54	     47.82	     44.53	30.84	 4.843e-04	      1.07	0	Gaussian	311.995955	39.286368
4	1	  0.002523	  0.045922	     -1.00	    494.82	    267.64	      2.79	      2.57	     48.87	     44.99	34.21	 3.834e-04	      1.07	0	Gaussian	313.843960	40.298917
5	1	  0.002530	  0.037182	     -1.00	    581.67	    560.83	      2.85	      2.63	     49.86	     46.03	50.48	 2.456e-04	      1.25	0	Gaussian	314.352081	41.688716
6	1	  0.002571	  0.035088	     -1.00	    362.28	    101.76	      2.79	      2.55	     48.89	     44.60	32.27	 3.768e-04	      1.37	0	Gaussian	313.057020	39.500000
7	1	  0.002623	  0.033616	     -1.00	    582.56	    130.72	      2.82	      2.51	     49.39	     43.95	26.67	 4.518e-04	      1.42	0	Gaussian	314.396298	39.661303
8	1	  0.002523	  0.032487	     -1.00	    237.16	    585.37	      2.74	      2.61	     48.03	     45.75	56.46	 2.032e-04	      1.45	0	Gaussian	312.176346	41.761902
9	1	  0.002491	  0.029647	     -1.00	    429.14	    428.08	      2.76	      2.75	     48.36	     48.19	27.44	 2.106e-04	      1.48	0	Gaussian	313.413827	41.048532
10	1	  0.002517	  0.031358	     -1.00	    232.62	    167.94	      2.72	      2.63	     47.65	     46.04	25.46	 3.381e-04	      1.49	0	Gaussian	312.250425	39.790383
11	1	  0.002502	  0.030249	     -1.00	    481.47	    539.00	      2.78	      2.59	     48.74	     45.30	59.49	 2.109e-04	      1.52	0	Gaussian	313.724840	41.577593
12	1	  0.002471	  0.025537	     -1.00	    247.34	    405.49	      2.67	      2.61	     46.71	     45.74	36.90	 2.268e-04	      1.74	0	Gaussian	312.284529	40.914504
13	1	  0.002556	  0.024070	     -1.00	     18.39	    107.71	      2.64	      2.53	     46.17	     44.26	22.06	 2.730e-04	      1.86	0	Gaussian	310.956380	39.458284
14	1	  0.002486	  0.019841	     -1.00	    234.65	     61.64	      2.73	      2.51	     47.77	     43.99	39.70	 2.256e-04	      2.03	0	Gaussian	312.287852	39.289257
15	1	  0.002706	  0.018495	     -1.00	    329.83	     79.70	      2.72	      2.51	     47.61	     43.95	29.57	 9.131e-04	      2.11	0	Gaussian	312.863390	39.390993
16	1	  0.002480	  0.016806	     -1.00	     20.70	    306.03	      2.78	      2.65	     48.57	     46.38	47.46	 1.735e-04	      2.13	0	Gaussian	310.904681	40.395053
17	1	  0.002605	  0.017936	     -1.00	      5.22	    390.23	      2.72	      2.52	     47.53	     44.17	60.27	 2.503e-04	      2.14	0	Gaussian	310.779681	40.788585
18	1	  0.002488	  0.016932	     -1.00	    224.77	    575.93	      2.76	      2.60	     48.27	     45.58	47.81	 1.182e-04	      2.15	0	Gaussian	312.100526	41.715030
19	1	  0.002779	  0.016707	     -1.00	    478.01	     38.10	      2.65	      2.63	     46.42	     45.99	58.01	 5.707e-04	      2.19	0	Gaussian	313.770575	39.214956
20	1	  0.002595	  0.017061	     -1.00	     44.67	    167.70	      2.61	      2.56	     45.69	     44.75	62.56	 3.446e-04	      2.23	0	Gaussian	311.097804	39.748051
21	1	  0.002474	  0.014529	     -1.00	    589.75	    226.91	      2.88	      2.64	     50.38	     46.22	40.37	 1.565e-04	      2.26	0	Gaussian	314.432029	40.115110
22	1	  0.002464	  0.013838	     -1.00	    444.77	    396.21	      2.74	      2.74	     47.95	     47.95	-4.47	 1.222e-04	      2.32	0	Gaussian	313.516163	40.899997
23	1	  0.002474	  0.014351	     -1.00	    407.15	     66.34	      2.77	      2.59	     48.51	     45.28	33.28	 1.698e-04	      2.33	0	Gaussian	313.336222	39.339317
