# 781 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002343	  0.251015	     -1.00	     54.30	    553.38	      2.77	      2.71	     48.40	     47.43	29.67	 3.218e-03	     -0.82	0	Gaussian	294.156029	44.693653
2	1	  0.001634	  0.065459	     -1.00	    242.32	    196.86	      2.70	      2.64	     47.17	     46.19	53.83	 7.608e-04	      0.69	0	Gaussian	292.553001	46.147193
3	1	  0.001624	  0.060280	     -1.00	    456.15	    422.64	      2.80	      2.72	     49.02	     47.57	54.13	 7.566e-04	      0.71	0	Gaussian	291.484930	44.929582
4	1	  0.001637	  0.059445	     -1.00	    218.52	     24.41	      2.69	      2.68	     47.17	     46.84	60.66	 8.097e-04	      0.78	0	Gaussian	292.494806	46.945584
5	1	  0.001605	  0.048726	     -1.00	    449.52	    405.62	      2.73	      2.70	     47.76	     47.19	27.14	 6.856e-04	      0.98	0	Gaussian	291.504682	45.012493
6	1	  0.001959	  0.044882	     -1.00	    528.60	    406.20	      2.72	      2.72	     47.68	     47.68	-45.63	 1.376e-03	      1.06	0	Gaussian	291.014548	44.933177
7	1	  0.001568	  0.044869	     -1.00	    204.74	    163.70	      2.74	      2.70	     47.95	     47.18	9.15	 5.371e-04	      1.06	0	Gaussian	292.753801	46.331172
8	1	  0.001524	  0.037471	     -1.00	    684.11	    349.09	      2.80	      2.73	     49.08	     47.85	65.61	 4.657e-04	      1.22	0	Gaussian	289.979343	45.031657
9	1	  0.001557	  0.036852	     -1.00	     59.66	    162.11	      2.77	      2.77	     48.56	     48.56	-11.73	 4.251e-04	      1.23	0	Gaussian	293.688539	46.467129
10	1	  0.001488	  0.036395	     -1.00	     19.55	    317.31	      2.78	      2.77	     48.63	     48.42	85.88	 4.259e-04	      1.25	0	Gaussian	294.121197	45.796954
11	1	  0.001503	  0.032367	     -1.00	    460.15	     85.42	      2.71	      2.69	     47.49	     47.11	67.76	 4.374e-04	      1.43	0	Gaussian	291.022659	46.437620
12	1	  0.001466	  0.029057	     -1.00	    136.43	    241.95	      2.79	      2.79	     48.78	     48.76	81.71	 3.540e-04	      1.48	0	Gaussian	293.285127	46.038828
13	1	  0.001440	  0.022404	     -1.00	    311.84	    505.76	      2.81	      2.78	     49.11	     48.65	26.32	 2.788e-04	      1.76	0	Gaussian	292.485427	44.688866
14	1	  0.001496	  0.020338	     -1.00	    506.00	    108.50	      2.74	      2.69	     47.96	     47.13	75.64	 2.683e-04	      1.92	0	Gaussian	290.763030	46.288158
15	1	  0.001448	  0.019144	     -1.00	    141.25	    181.07	      2.78	      2.73	     48.59	     47.82	34.88	 2.226e-04	      1.96	0	Gaussian	293.183045	46.309887
16	1	  0.001442	  0.017575	     -1.00	    381.26	    237.07	      2.83	      2.73	     49.60	     47.82	72.42	 2.015e-04	      2.03	0	Gaussian	291.719447	45.835629
17	1	  0.001839	  0.016163	     -1.00	     33.66	    175.73	      2.97	      2.70	     52.04	     47.21	-26.29	 1.030e-03	      2.08	0	Gaussian	293.872648	46.427740
18	1	  0.001518	  0.016467	     -1.00	     26.28	    141.53	      2.73	      2.66	     47.80	     46.63	-7.74	 2.274e-04	      2.17	0	Gaussian	293.882025	46.588973
19	1	  0.001428	  0.015411	     -1.00	    199.17	    485.50	      2.80	      2.67	     49.03	     46.80	-3.07	 2.070e-04	      2.22	0	Gaussian	293.167577	44.880446
