# 299 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002011	  0.065539	     -1.00	    182.52	    409.59	      3.18	      2.65	     55.69	     46.44	15.74	 1.610e-03	      0.51	0	Gaussian	330.113895	33.006875
2	1	  0.001690	  0.037789	     -1.00	    637.26	    578.50	      3.72	      3.03	     65.06	     53.10	17.01	 8.001e-04	      0.79	0	Gaussian	327.629909	32.657195
3	1	  0.001625	  0.038607	     -1.00	    282.90	     55.36	      3.44	      2.86	     60.18	     50.12	2.68	 8.333e-04	      0.91	0	Gaussian	330.071760	34.629780
4	1	  0.001753	  0.037779	     -1.00	    100.02	    305.53	      3.29	      2.81	     57.65	     49.13	26.68	 9.153e-04	      1.01	0	Gaussian	330.658452	33.379826
5	1	  0.001606	  0.030501	     -1.00	    519.98	     25.52	      3.70	      2.99	     64.71	     52.34	0.15	 6.842e-04	      1.04	0	Gaussian	328.895859	34.976714
6	1	  0.001606	  0.035102	     -1.00	    404.88	    371.71	      3.34	      2.86	     58.39	     49.98	6.23	 7.428e-04	      1.05	0	Gaussian	329.050526	33.365597
7	1	  0.001576	  0.029070	     -1.00	    537.14	     75.52	      3.71	      2.90	     64.98	     50.71	-2.80	 6.697e-04	      1.12	0	Gaussian	328.744517	34.773064
8	1	  0.002177	  0.029141	     -1.00	    411.30	    609.77	      3.52	      2.91	     61.52	     50.91	21.45	 2.040e-03	      1.18	0	Gaussian	328.727677	32.338671
9	1	  0.001490	  0.019753	     -1.00	    637.37	    184.82	      4.03	      3.23	     70.55	     56.53	13.28	 4.360e-04	      1.34	0	Gaussian	328.092969	34.380825
10	1	  0.001441	  0.010011	     -1.00	    619.62	    573.60	      6.37	      3.84	    111.44	     67.27	-35.59	 3.826e-04	      1.39	0	Gaussian	327.724773	32.664557
11	1	  0.001533	  0.022262	     -1.00	    167.68	     88.30	      3.37	      2.80	     58.97	     49.02	9.11	 4.827e-04	      1.56	0	Gaussian	330.610108	34.378956
12	1	  0.001454	  0.014954	     -1.00	    471.42	    113.18	      3.64	      3.08	     63.63	     53.85	2.79	 3.098e-04	      1.80	0	Gaussian	329.035328	34.549986
13	1	  0.001512	  0.017156	     -1.00	    436.07	    537.33	      3.31	      2.91	     57.91	     50.89	13.97	 3.744e-04	      1.82	0	Gaussian	328.691302	32.673063
