# 852 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002566	  0.742211	     -1.00	     86.85	    259.94	      2.75	      2.75	     48.05	     48.05	-57.80	 5.217e-03	     -2.00	1	Gaussian	314.291922	41.166526
2	1	  0.001602	  0.132099	     -1.00	     44.58	     92.55	      2.63	      2.46	     46.03	     43.00	41.48	 8.798e-04	      0.04	0	Gaussian	314.627719	41.939424
3	1	  0.001547	  0.094939	     -1.00	     15.11	      8.50	      2.70	      2.52	     47.20	     44.10	38.03	 5.923e-04	      0.34	0	Gaussian	314.851433	42.324070
4	1	  0.001473	  0.075983	     -1.00	    193.24	    365.16	      2.75	      2.50	     48.06	     43.74	41.84	 3.924e-04	      0.57	0	Gaussian	313.590981	40.702347
5	1	  0.001753	  0.082586	     -1.00	    250.62	      5.55	      2.57	      2.43	     45.03	     42.50	38.89	 7.963e-04	      0.58	0	Gaussian	313.358453	42.409728
6	1	  0.001489	  0.057147	     -1.00	    623.27	     61.52	      2.52	      2.47	     44.18	     43.15	34.45	 3.957e-04	      0.99	0	Gaussian	310.971525	42.219708
7	1	  0.001450	  0.047219	     -1.00	    147.21	    448.20	      2.77	      2.50	     48.41	     43.80	23.76	 3.212e-04	      1.08	0	Gaussian	313.844601	40.299229
8	1	  0.001496	  0.049192	     -1.00	    437.87	    677.35	      2.65	      2.50	     46.46	     43.75	24.95	 3.506e-04	      1.08	0	Gaussian	311.996758	39.287028
9	1	  0.001537	  0.047851	     -1.00	    496.26	     17.16	      2.64	      2.49	     46.26	     43.59	37.59	 4.413e-04	      1.12	0	Gaussian	311.790142	42.409303
10	1	  0.001438	  0.042589	     -1.00	     38.41	    216.10	      2.73	      2.54	     47.87	     44.54	39.05	 2.137e-04	      1.18	0	Gaussian	314.612321	41.357114
11	1	  0.001543	  0.043409	     -1.00	    359.24	     17.21	      2.65	      2.51	     46.32	     43.88	48.03	 4.795e-04	      1.21	0	Gaussian	312.663396	42.381469
12	1	  0.001472	  0.041586	     -1.00	     84.50	    148.59	      2.65	      2.50	     46.36	     43.71	48.66	 2.974e-04	      1.27	0	Gaussian	314.352798	41.689068
13	1	  0.001480	  0.037868	     -1.00	    265.90	    624.46	      2.73	      2.49	     47.82	     43.62	28.25	 2.824e-04	      1.34	0	Gaussian	313.057718	39.500662
14	1	  0.001520	  0.034527	     -1.00	     48.65	    577.76	      2.83	      2.54	     49.57	     44.41	28.05	 3.574e-04	      1.38	0	Gaussian	314.396695	39.661815
15	1	  0.001439	  0.035697	     -1.00	    430.02	    151.75	      2.58	      2.57	     45.16	     45.04	-11.43	 1.981e-04	      1.43	0	Gaussian	312.176977	41.762472
16	1	  0.001415	  0.034125	     -1.00	    400.61	    568.84	      2.67	      2.55	     46.75	     44.60	29.78	 2.083e-04	      1.45	0	Gaussian	312.251172	39.791165
17	1	  0.001595	  0.036118	     -1.00	    473.45	     88.65	      2.55	      2.46	     44.57	     43.11	66.20	 6.205e-04	      1.48	0	Gaussian	311.918116	42.068171
18	1	  0.001422	  0.033938	     -1.00	    225.75	    293.32	      2.69	      2.47	     47.07	     43.15	41.99	 1.993e-04	      1.48	0	Gaussian	313.414487	41.048945
19	1	  0.001433	  0.033250	     -1.00	    182.60	    178.43	      2.60	      2.51	     45.51	     43.86	61.73	 2.574e-04	      1.53	0	Gaussian	313.725509	41.577906
20	1	  0.001437	  0.028400	     -1.00	     43.69	    447.51	      2.77	      2.48	     48.42	     43.37	32.50	 2.214e-04	      1.64	0	Gaussian	314.480868	40.271888
21	1	  0.001430	  0.026080	     -1.00	     11.76	    614.71	      2.84	      2.52	     49.72	     44.09	25.94	 2.039e-04	      1.69	0	Gaussian	314.605319	39.477022
22	1	  0.001388	  0.027658	     -1.00	    405.21	    330.50	      2.66	      2.46	     46.49	     43.10	41.04	 1.634e-04	      1.72	0	Gaussian	312.285343	40.915060
23	1	  0.001391	  0.025661	     -1.00	    279.91	     98.64	      2.70	      2.52	     47.25	     44.11	39.13	 1.477e-04	      1.76	0	Gaussian	313.140937	41.979154
24	1	  0.001454	  0.026705	     -1.00	    609.50	    646.32	      2.61	      2.44	     45.64	     42.66	35.55	 2.299e-04	      1.79	0	Gaussian	310.957296	39.459056
25	1	  0.001387	  0.021757	     -1.00	     25.87	    355.56	      2.77	      2.50	     48.54	     43.80	36.17	 1.598e-04	      1.92	0	Gaussian	314.629657	40.698068
26	1	  0.001375	  0.020486	     -1.00	    389.95	    674.87	      2.74	      2.54	     47.96	     44.53	36.00	 1.289e-04	      1.97	0	Gaussian	312.288701	39.289878
27	1	  0.001647	  0.020085	     -1.00	    296.49	    649.16	      2.62	      2.45	     45.92	     42.82	37.62	 9.858e-04	      2.09	0	Gaussian	312.864040	39.391442
28	1	  0.001378	  0.019158	     -1.00	    623.30	    448.04	      2.66	      2.49	     46.52	     43.61	43.55	 1.274e-04	      2.10	0	Gaussian	310.905436	40.395856
29	1	  0.001419	  0.020100	     -1.00	    645.57	    365.23	      2.55	      2.46	     44.66	     43.12	66.47	 1.517e-04	      2.11	0	Gaussian	310.780512	40.789316
30	1	  0.001406	  0.018786	     -1.00	    441.59	    162.18	      2.58	      2.55	     45.09	     44.57	-21.96	 1.417e-04	      2.14	0	Gaussian	312.101284	41.715540
31	1	  0.001435	  0.018167	     -1.00	    441.00	     46.99	      2.66	      2.52	     46.50	     44.10	69.33	 2.074e-04	      2.15	0	Gaussian	312.134755	42.258353
32	1	  0.001482	  0.018981	     -1.00	    588.13	    584.28	      2.63	      2.43	     46.05	     42.48	30.92	 3.459e-04	      2.16	0	Gaussian	311.098720	39.748823
33	1	  0.001657	  0.018178	     -1.00	    145.33	    678.72	      2.66	      2.48	     46.55	     43.38	48.44	 5.426e-04	      2.17	0	Gaussian	313.771206	39.215362
34	1	  0.001414	  0.017118	     -1.00	    688.75	    635.71	      2.73	      2.52	     47.70	     44.16	24.81	 1.375e-04	      2.19	0	Gaussian	310.474768	39.517891
35	1	  0.001392	  0.015530	     -1.00	     49.30	    481.18	      2.81	      2.54	     49.10	     44.54	34.09	 1.208e-04	      2.25	0	Gaussian	314.432448	40.115516
36	1	  0.001387	  0.016512	     -1.00	    569.17	      7.24	      2.64	      2.50	     46.27	     43.79	36.22	 9.333e-05	      2.28	0	Gaussian	311.326891	42.468053
37	1	  0.001404	  0.015465	     -1.00	    301.76	    594.00	      2.70	      2.54	     47.34	     44.46	45.76	 9.847e-05	      2.30	0	Gaussian	312.848513	39.652180
