# 742 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.001888	  0.027335	     -1.00	    417.53	    581.44	      3.30	      2.79	     57.81	     48.90	27.73	 5.436e-04	      1.36	0	Gaussian	327.544719	43.888015
2	1	  0.001826	  0.026997	     -1.00	    244.41	    420.51	      3.33	      2.71	     58.35	     47.44	28.11	 5.394e-04	      1.40	0	Gaussian	328.809800	44.418624
3	1	  0.001810	  0.022226	     -1.00	     15.39	    432.97	      3.29	      2.88	     57.67	     50.42	32.92	 4.667e-04	      1.55	0	Gaussian	330.150471	44.105078
4	1	  0.001933	  0.021416	     -1.00	     65.06	    642.65	      3.39	      2.70	     59.38	     47.18	26.22	 5.974e-04	      1.63	0	Gaussian	329.544998	43.239008
5	1	  0.001790	  0.019820	     -1.00	    521.93	    503.07	      3.29	      2.78	     57.63	     48.70	29.52	 3.643e-04	      1.72	0	Gaussian	327.019010	44.344502
6	1	  0.001807	  0.019527	     -1.00	    403.91	    454.18	      3.35	      2.72	     58.61	     47.63	28.52	 3.739e-04	      1.74	0	Gaussian	327.801684	44.440886
7	1	  0.001751	  0.017583	     -1.00	    261.80	    304.96	      3.06	      3.06	     53.52	     53.51	-70.85	 3.781e-04	      1.83	0	Gaussian	328.874115	44.948602
8	1	  0.001710	  0.017827	     -1.00	    587.81	    191.17	      3.26	      2.69	     57.12	     47.12	30.19	 2.976e-04	      1.88	0	Gaussian	327.034820	45.804187
9	1	  0.001735	  0.016786	     -1.00	    521.73	    577.57	      3.26	      2.81	     57.07	     49.21	26.75	 3.046e-04	      1.90	0	Gaussian	326.921276	44.010974
10	1	  0.001856	  0.014500	     -1.00	     66.43	    663.21	      3.38	      2.83	     59.20	     49.51	30.10	 4.110e-04	      2.01	0	Gaussian	329.506803	43.149803
11	1	  0.001731	  0.013911	     -1.00	    105.93	    447.33	      3.43	      2.80	     60.02	     49.01	25.88	 2.807e-04	      2.05	0	Gaussian	329.594769	44.145665
12	1	  0.001785	  0.013020	     -1.00	    331.45	    584.69	      3.45	      2.70	     60.30	     47.30	21.51	 2.914e-04	      2.16	0	Gaussian	328.055874	43.784025
13	1	  0.001808	  0.013118	     -1.00	     85.61	    652.63	      3.25	      2.82	     56.92	     49.38	21.10	 3.618e-04	      2.16	0	Gaussian	329.410462	43.217722
14	1	  0.001751	  0.013785	     -1.00	    677.83	    220.71	      2.96	      2.89	     51.74	     50.57	41.13	 3.271e-04	      2.19	0	Gaussian	326.432510	45.764225
15	1	  0.001699	  0.012380	     -1.00	    350.95	     34.98	      3.34	      2.69	     58.53	     47.03	32.36	 2.210e-04	      2.25	0	Gaussian	328.729129	46.239576
16	1	  0.001737	  0.010464	     -1.00	    177.90	    685.62	      3.63	      2.78	     63.56	     48.61	25.29	 2.348e-04	      2.31	0	Gaussian	328.822676	43.172477
