# 879 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002155	  0.100416	     -1.00	    623.81	    133.31	      2.96	      2.83	     51.79	     49.52	12.78	 2.003e-03	      0.05	0	Gaussian	315.302502	36.023984
2	1	  0.001894	  0.066171	     -1.00	    203.16	     40.02	      3.18	      2.87	     55.64	     50.17	-10.70	 9.291e-04	      0.41	0	Gaussian	317.764284	36.297521
3	1	  0.001866	  0.048676	     -1.00	    112.10	    139.91	      3.26	      2.92	     57.02	     51.15	-7.73	 7.632e-04	      0.70	0	Gaussian	318.220607	35.795381
4	1	  0.001777	  0.029512	     -1.00	     45.26	    591.52	      3.26	      2.94	     57.09	     51.50	-14.12	 5.137e-04	      1.23	0	Gaussian	318.310970	33.690878
5	1	  0.001732	  0.029356	     -1.00	    450.39	    249.16	      3.17	      2.88	     55.45	     50.40	-26.53	 4.935e-04	      1.29	0	Gaussian	316.239049	35.427498
6	1	  0.002232	  0.026698	     -1.00	     11.86	    456.98	      3.22	      2.93	     56.33	     51.25	-6.38	 1.686e-03	      1.36	0	Gaussian	318.579898	34.292011
7	1	  0.001750	  0.024803	     -1.00	    344.94	    521.88	      3.30	      2.98	     57.82	     52.12	-33.79	 3.925e-04	      1.40	0	Gaussian	316.692821	34.130042
8	1	  0.001983	  0.024288	     -1.00	     69.12	    693.12	      3.21	      2.86	     56.26	     50.03	-16.96	 5.836e-04	      1.50	0	Gaussian	318.118222	33.236730
9	1	  0.001692	  0.019900	     -1.00	     89.59	    204.50	      3.33	      2.95	     58.27	     51.55	-9.75	 3.036e-04	      1.64	0	Gaussian	318.306864	35.487398
10	1	  0.001740	  0.020127	     -1.00	    147.26	    176.42	      3.31	      2.90	     57.92	     50.71	-6.59	 3.314e-04	      1.65	0	Gaussian	317.998776	35.642667
