# 911 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.003146	  0.138541	     -1.00	      5.33	    412.57	      2.54	      2.38	     44.41	     41.71	34.19	 2.778e-03	      0.06	0	Gaussian	309.887836	40.579525
2	1	  0.001803	  0.126404	     -1.00	    677.71	    311.53	      2.58	      2.47	     45.15	     43.19	10.76	 7.577e-04	      0.10	0	Gaussian	305.688198	41.025704
3	1	  0.001739	  0.078885	     -1.00	    235.81	    161.45	      2.58	      2.48	     45.14	     43.34	22.69	 4.053e-04	      0.61	0	Gaussian	308.451612	41.772099
4	1	  0.001760	  0.078024	     -1.00	    548.67	    447.51	      2.59	      2.48	     45.40	     43.40	21.94	 5.261e-04	      0.61	0	Gaussian	306.515595	40.401785
5	1	  0.001786	  0.070375	     -1.00	    177.01	    136.44	      2.57	      2.47	     45.05	     43.18	25.50	 4.135e-04	      0.74	0	Gaussian	308.824309	41.890218
6	1	  0.001721	  0.065012	     -1.00	    204.57	    304.12	      2.55	      2.50	     44.57	     43.78	42.16	 3.554e-04	      0.82	0	Gaussian	308.649233	41.098416
7	1	  0.001719	  0.063129	     -1.00	     10.76	     59.52	      2.57	      2.43	     45.05	     42.60	34.12	 3.499e-04	      0.87	0	Gaussian	309.885832	42.246812
8	1	  0.001738	  0.061419	     -1.00	    600.62	    498.76	      2.60	      2.48	     45.50	     43.33	19.57	 3.557e-04	      0.87	0	Gaussian	306.202758	40.153670
9	1	  0.002696	  0.048099	     -1.00	    657.70	    368.82	      2.66	      2.56	     46.62	     44.72	41.21	 3.182e-03	      1.08	0	Gaussian	305.824805	40.758615
10	1	  0.001802	  0.048985	     -1.00	    457.30	    676.77	      2.62	      2.50	     45.87	     43.73	12.62	 8.026e-04	      1.10	0	Gaussian	307.106801	39.329089
11	1	  0.002359	  0.047207	     -1.00	    526.18	    640.05	      2.64	      2.50	     46.20	     43.67	9.89	 2.656e-03	      1.13	0	Gaussian	306.681773	39.495975
12	1	  0.001671	  0.047341	     -1.00	    273.39	    133.85	      2.53	      2.53	     44.37	     44.35	-37.42	 2.711e-04	      1.16	0	Gaussian	308.212829	41.901810
13	1	  0.002129	  0.050122	     -1.00	    565.52	    127.43	      2.48	      2.41	     43.46	     42.15	18.39	 1.141e-03	      1.17	0	Gaussian	306.359282	41.910307
14	1	  0.001674	  0.040471	     -1.00	    479.35	    102.98	      2.59	      2.53	     45.39	     44.24	57.91	 2.431e-04	      1.30	0	Gaussian	306.902588	42.035264
15	1	  0.001753	  0.041010	     -1.00	    267.04	    224.50	      2.58	      2.47	     45.08	     43.26	21.94	 2.850e-04	      1.32	0	Gaussian	308.255569	41.473805
16	1	  0.001656	  0.033636	     -1.00	    191.12	    173.07	      2.74	      2.52	     47.92	     44.18	54.73	 1.723e-04	      1.45	0	Gaussian	308.734496	41.717302
17	1	  0.001667	  0.032093	     -1.00	    575.76	    575.76	      2.70	      2.56	     47.23	     44.77	23.61	 2.062e-04	      1.50	0	Gaussian	306.368566	39.793639
18	1	  0.001750	  0.034517	     -1.00	    368.76	    428.45	      2.54	      2.45	     44.47	     42.89	14.07	 2.854e-04	      1.53	0	Gaussian	307.629331	40.506825
19	1	  0.001675	  0.033451	     -1.00	    344.09	    354.29	      2.58	      2.47	     45.08	     43.27	24.96	 2.127e-04	      1.55	0	Gaussian	307.778022	40.858248
20	1	  0.001655	  0.030361	     -1.00	    332.82	    549.10	      2.67	      2.56	     46.75	     44.74	33.28	 2.211e-04	      1.57	0	Gaussian	307.859191	39.938993
21	1	  0.001632	  0.031265	     -1.00	    347.75	    445.67	      2.60	      2.50	     45.57	     43.82	36.71	 1.875e-04	      1.59	0	Gaussian	307.760898	40.426622
22	1	  0.002801	  0.033754	     -1.00	    664.97	    359.70	      2.47	      2.39	     43.23	     41.87	18.48	 3.994e-03	      1.61	0	Gaussian	305.777661	40.800535
23	1	  0.001744	  0.027681	     -1.00	    498.11	    590.95	      2.69	      2.59	     47.06	     45.37	32.30	 2.842e-04	      1.65	0	Gaussian	306.847189	39.730314
24	1	  0.001956	  0.030048	     -1.00	    531.92	    240.78	      2.58	      2.49	     45.09	     43.50	8.25	 7.770e-04	      1.65	0	Gaussian	306.589209	41.379351
25	1	  0.001716	  0.028389	     -1.00	    444.40	    109.06	      2.56	      2.56	     44.84	     44.83	-20.08	 3.332e-04	      1.69	0	Gaussian	307.125351	42.009700
26	1	  0.001687	  0.027860	     -1.00	    522.13	    459.67	      2.61	      2.54	     45.75	     44.43	6.92	 1.865e-04	      1.70	0	Gaussian	306.681728	40.347276
27	1	  0.001758	  0.027787	     -1.00	     59.77	     96.84	      2.66	      2.49	     46.60	     43.58	35.52	 4.154e-04	      1.70	0	Gaussian	309.570695	42.073592
28	1	  0.001675	  0.026193	     -1.00	    549.67	    249.41	      2.57	      2.48	     44.94	     43.39	8.48	 1.745e-04	      1.81	0	Gaussian	306.478978	41.336562
29	1	  0.001639	  0.024688	     -1.00	    635.58	    627.59	      2.68	      2.51	     46.94	     43.87	22.90	 1.896e-04	      1.82	0	Gaussian	306.011179	39.541566
30	1	  0.001664	  0.025911	     -1.00	     92.52	    241.23	      2.53	      2.48	     44.22	     43.39	61.15	 1.472e-04	      1.84	0	Gaussian	309.354740	41.393216
31	1	  0.001662	  0.024665	     -1.00	    571.30	     70.26	      2.58	      2.50	     45.22	     43.82	22.14	 1.734e-04	      1.86	0	Gaussian	306.312993	42.179363
32	1	  0.001645	  0.022891	     -1.00	    373.62	    394.89	      2.71	      2.52	     47.42	     44.06	50.93	 1.469e-04	      1.88	0	Gaussian	307.596669	40.665039
33	1	  0.001855	  0.024251	     -1.00	    572.21	    511.29	      2.59	      2.49	     45.26	     43.55	24.20	 1.029e-03	      1.89	0	Gaussian	306.380052	40.098117
34	1	  0.001692	  0.024827	     -1.00	    130.18	    315.43	      2.55	      2.44	     44.60	     42.69	24.20	 2.115e-04	      1.90	0	Gaussian	309.115069	41.044030
35	1	  0.001656	  0.023521	     -1.00	    446.30	    343.66	      2.53	      2.48	     44.36	     43.46	16.54	 1.732e-04	      1.94	0	Gaussian	307.138875	40.901922
36	1	  0.001699	  0.022414	     -1.00	    206.55	    113.96	      2.59	      2.48	     45.28	     43.35	44.55	 2.718e-04	      1.97	0	Gaussian	308.636918	41.996491
37	1	  0.001774	  0.020893	     -1.00	    465.93	    405.06	      2.63	      2.54	     45.96	     44.38	25.22	 3.702e-04	      2.01	0	Gaussian	307.023419	40.610437
38	1	  0.001657	  0.020459	     -1.00	    124.25	    435.09	      2.64	      2.55	     46.24	     44.70	77.28	 1.654e-04	      2.01	0	Gaussian	309.147673	40.478797
39	1	  0.001699	  0.019477	     -1.00	    281.32	    690.98	      2.69	      2.52	     47.01	     44.12	28.87	 1.793e-04	      2.06	0	Gaussian	308.180811	39.271246
40	1	  0.001639	  0.019229	     -1.00	    264.62	    564.81	      2.66	      2.52	     46.64	     44.09	43.24	 1.162e-04	      2.08	0	Gaussian	308.279546	39.866898
41	1	  0.001654	  0.019012	     -1.00	     56.72	    631.94	      2.66	      2.54	     46.49	     44.43	41.18	 1.314e-04	      2.09	0	Gaussian	309.553871	39.547088
42	1	  0.001893	  0.020219	     -1.00	    405.36	     44.78	      2.51	      2.48	     43.96	     43.40	49.76	 9.986e-04	      2.12	0	Gaussian	307.367434	42.316125
43	1	  0.001707	  0.019383	     -1.00	    680.32	    377.42	      2.56	      2.48	     44.87	     43.45	16.06	 1.982e-04	      2.14	0	Gaussian	305.685881	40.714551
44	1	  0.001686	  0.017154	     -1.00	    258.86	    406.71	      2.70	      2.63	     47.26	     46.06	-58.67	 3.191e-04	      2.16	0	Gaussian	308.311391	40.613455
