image	chan	mean	median	sigma	min	max	noise	avgDev	mad	sqrtbwmv	location	scale
1	0	1.162413e-03	1.118238e-03	1.572883e-03	0.000000e+00	8.585666e-01	3.668669e-05	8.729677e-05	3.955387e-05	6.142053e-05	1.116071e-03	5.897605e-05
1	1	2.047067e-03	1.975418e-03	2.078353e-03	1.402827e-03	1.000000e+00	4.063428e-05	1.210702e-04	4.716494e-05	7.397891e-05	1.971777e-03	6.999648e-05
1	2	1.593835e-03	1.542328e-03	1.817116e-03	6.441672e-04	9.225674e-01	3.633769e-05	9.741496e-05	4.215639e-05	6.550343e-05	1.540000e-03	6.291192e-05
2	0	1.356981e-03	1.314467e-03	1.513257e-03	0.000000e+00	8.084463e-01	3.533712e-05	8.348804e-05	3.757123e-05	5.835290e-05	1.312364e-03	5.599874e-05
2	1	2.212473e-03	2.143306e-03	2.001176e-03	9.137477e-04	1.000000e+00	3.926926e-05	1.158144e-04	4.449093e-05	6.985965e-05	2.139800e-03	6.602700e-05
2	2	1.769656e-03	1.719922e-03	1.737845e-03	7.117668e-04	8.420756e-01	3.495916e-05	9.341362e-05	4.020961e-05	6.233702e-05	1.717640e-03	5.982934e-05
3	0	1.572355e-03	1.530149e-03	1.497827e-03	0.000000e+00	7.900906e-01	3.470889e-05	8.208947e-05	3.665581e-05	5.694705e-05	1.528081e-03	5.461651e-05
3	1	2.395971e-03	2.327250e-03	1.978240e-03	1.798296e-03	1.000000e+00	3.846936e-05	1.138467e-04	4.333362e-05	6.792623e-05	2.323810e-03	6.414052e-05
3	2	1.967714e-03	1.918259e-03	1.719259e-03	1.083361e-03	8.378661e-01	3.432065e-05	9.210274e-05	3.927371e-05	6.095533e-05	1.915987e-03	5.846931e-05
4	0	2.634756e-03	2.595393e-03	1.385916e-03	0.000000e+00	7.357255e-01	3.240553e-05	7.688427e-05	3.453658e-05	5.361641e-05	2.593441e-03	5.142209e-05
4	1	3.419811e-03	3.355782e-03	1.839443e-03	2.634535e-03	1.000000e+00	3.594420e-05	1.067337e-04	4.107176e-05	6.416493e-05	3.352515e-03	6.061063e-05
