image	chan	mean	median	sigma	min	max	noise	avgDev	mad	sqrtbwmv	location	scale
1	0	6.651088e-04	6.182099e-04	1.390518e-03	0.000000e+00	8.639148e-01	2.318386e-05	6.923613e-05	2.197000e-05	3.567975e-05	6.156510e-04	3.263992e-05
1	1	1.522264e-03	1.447153e-03	1.887459e-03	0.000000e+00	1.000000e+00	2.940067e-05	1.039531e-04	2.951084e-05	4.849243e-05	1.443191e-03	4.394113e-05
1	2	1.083622e-03	1.028228e-03	1.645196e-03	0.000000e+00	9.149945e-01	2.284143e-05	7.970954e-05	2.382067e-05	3.892038e-05	1.025639e-03	3.565881e-05
2	0	8.143940e-04	7.666023e-04	1.416606e-03	0.000000e+00	8.632219e-01	2.233931e-05	6.908348e-05	2.157266e-05	3.479486e-05	7.642276e-04	3.185674e-05
2	1	1.645874e-03	1.570854e-03	1.890503e-03	0.000000e+00	1.000000e+00	2.792320e-05	1.030001e-04	2.886916e-05	4.727076e-05	1.567033e-03	4.279111e-05
2	2	1.215903e-03	1.160606e-03	1.645653e-03	0.000000e+00	8.975614e-01	2.153952e-05	7.845921e-05	2.313481e-05	3.751786e-05	1.157930e-03	3.436475e-05
3	0	2.764140e-04	2.232884e-04	1.659323e-03	0.000000e+00	8.695506e-01	2.243460e-05	7.739015e-05	2.449122e-05	3.864468e-05	2.205961e-04	3.576808e-05
3	1	1.180641e-03	1.095375e-03	2.146576e-03	9.221708e-04	1.000000e+00	2.892407e-05	1.163205e-04	3.264671e-05	5.238929e-05	1.091106e-03	4.752082e-05
3	2	7.156257e-04	6.542454e-04	1.867759e-03	2.987543e-04	8.821139e-01	2.154061e-05	8.731855e-05	2.594973e-05	4.123822e-05	6.514286e-04	3.821978e-05
4	0	5.432651e-04	4.892338e-04	1.708720e-03	0.000000e+00	8.942390e-01	2.346499e-05	7.758485e-05	2.410509e-05	3.798390e-05	4.867229e-04	3.506524e-05
4	1	1.363235e-03	1.278979e-03	2.211641e-03	1.105177e-03	1.000000e+00	2.913181e-05	1.139964e-04	3.099023e-05	5.008769e-05	1.274810e-03	4.537981e-05
4	2	9.287058e-04	8.654929e-04	1.973391e-03	4.734109e-04	9.591336e-01	2.247938e-05	8.867416e-05	2.585866e-05	4.084793e-05	8.627821e-04	3.773940e-05
5	0	4.828287e-04	4.319863e-04	1.612247e-03	0.000000e+00	8.745279e-01	2.293529e-05	7.490769e-05	2.416564e-05	3.807755e-05	4.295247e-04	3.530275e-05
5	1	1.289458e-03	1.209914e-03	2.084640e-03	1.033238e-03	1.000000e+00	2.815369e-05	1.099256e-04	3.108587e-05	5.016693e-05	1.205982e-03	4.572717e-05
5	2	8.639090e-04	8.041934e-04	1.854798e-03	4.585633e-04	8.526337e-01	2.202276e-05	8.549272e-05	2.551085e-05	4.064099e-05	8.014719e-04	3.769226e-05
6	0	5.609446e-04	5.065664e-04	1.717577e-03	0.000000e+00	8.635578e-01	2.290528e-05	7.797677e-05	2.399398e-05	3.788741e-05	5.039643e-04	3.499824e-05
6	1	1.455220e-03	1.368783e-03	2.204550e-03	1.198659e-03	1.000000e+00	2.989520e-05	1.168762e-04	3.199183e-05	5.157569e-05	1.364648e-03	4.671658e-05
6	2	9.897740e-04	9.277627e-04	1.921138e-03	5.335259e-04	9.052155e-01	2.173433e-05	8.722317e-05	2.539442e-05	4.022435e-05	9.249868e-04	3.720239e-05
