# 8407 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	1223.448136	41670.325546	     -1.00	   3264.32	   2561.81	      2.96	      2.63	     51.72	     46.06	-27.41	 2.102e+02	    -13.63	1	Gaussian	9990000000.000000	9990000000.000000
2	1	1158.067000	20521.423687	     -1.00	   3893.85	    351.80	      3.31	      3.11	     57.98	     54.47	32.24	 4.618e+02	    -13.45	0	Gaussian	9990000000.000000	9990000000.000000
3	1	795.155774	331.053465	     -1.00	   4503.59	   1911.84	    182.88	    147.65	   3201.03	   2584.36	-57.40	 1.555e+01	    -13.44	0	Gaussian	9990000000.000000	9990000000.000000
4	1	617.205195	516.923353	     -1.00	   4255.77	   1380.67	    166.55	    124.48	   2915.14	   2178.70	-87.04	 1.660e+01	    -13.38	0	Gaussian	9990000000.000000	9990000000.000000
5	1	1154.898187	21397.428330	     -1.00	   2730.37	   1466.52	      3.46	      2.62	     60.55	     45.85	26.34	 2.956e+02	    -13.35	1	Gaussian	9990000000.000000	9990000000.000000
6	1	1140.070599	20743.805308	     -1.00	   1268.74	   2338.44	      3.18	      2.84	     55.71	     49.62	1.78	 3.123e+02	    -13.32	0	Gaussian	9990000000.000000	9990000000.000000
7	1	1134.109354	17783.636273	     -1.00	   1775.00	    294.90	      2.56	      2.43	     44.75	     42.51	-10.43	 1.758e+02	    -12.74	0	Gaussian	9990000000.000000	9990000000.000000
8	1	1153.390585	18389.678198	     -1.00	   4845.12	   1438.04	      2.43	      2.43	     42.51	     42.51	-35.83	 2.559e+02	    -12.72	0	Gaussian	9990000000.000000	9990000000.000000
9	1	1138.311117	17985.364462	     -1.00	    690.36	   3750.94	      2.61	      2.22	     45.75	     38.79	-19.91	 3.029e+02	    -12.68	0	Gaussian	9990000000.000000	9990000000.000000
10	1	1161.617826	19332.368904	     -1.00	   2269.93	   2713.82	      2.42	      2.06	     42.30	     36.08	-7.49	 2.639e+02	    -12.59	0	Gaussian	9990000000.000000	9990000000.000000
11	1	1152.264739	18587.374482	     -1.00	   4865.77	   1731.97	      2.32	      1.99	     40.60	     34.82	6.66	 2.241e+02	    -12.47	0	Gaussian	9990000000.000000	9990000000.000000
12	1	1126.272589	17114.306009	     -1.00	   4143.24	   2486.66	      2.30	      2.17	     40.32	     37.98	65.68	 2.281e+02	    -12.47	0	Gaussian	9990000000.000000	9990000000.000000
13	1	1149.026814	17158.910587	     -1.00	   5089.88	   3144.74	      2.61	      1.87	     45.66	     32.70	46.91	 2.661e+02	    -12.44	0	Gaussian	9990000000.000000	9990000000.000000
14	1	1142.258443	20469.260101	     -1.00	   3996.15	   1880.68	      2.23	      1.82	     38.96	     31.83	74.92	 2.493e+02	    -12.43	0	Gaussian	9990000000.000000	9990000000.000000
15	1	1000.519967	134.393123	     -1.00	   4222.78	   1395.86	    109.77	     84.19	   1921.35	   1473.59	-85.22	 1.476e+01	    -12.43	0	Gaussian	9990000000.000000	9990000000.000000
16	1	1118.376451	16472.937054	     -1.00	   2310.61	   2915.21	      2.38	      2.08	     41.71	     36.40	14.75	 1.766e+02	    -12.42	0	Gaussian	9990000000.000000	9990000000.000000
17	1	1137.470492	15413.428500	     -1.00	   3831.62	    877.56	      2.26	      2.13	     39.58	     37.28	24.40	 2.231e+02	    -12.31	0	Gaussian	9990000000.000000	9990000000.000000
18	1	1169.764829	15002.963098	     -1.00	   5183.68	    834.19	      2.29	      2.08	     40.17	     36.35	-9.52	 2.168e+02	    -12.27	0	Gaussian	9990000000.000000	9990000000.000000
19	1	1125.642721	16988.393030	     -1.00	   3709.43	   2473.94	      1.95	      1.81	     34.20	     31.70	16.12	 2.674e+02	    -12.08	0	Gaussian	9990000000.000000	9990000000.000000
20	1	1136.999279	16707.145560	     -1.00	   3792.86	   3143.23	      2.09	      1.70	     36.55	     29.80	-43.80	 1.405e+02	    -12.07	0	Gaussian	9990000000.000000	9990000000.000000
21	1	1140.825523	15686.876566	     -1.00	    934.80	   3405.13	      2.11	      1.77	     36.93	     31.00	-48.10	 2.552e+02	    -12.06	0	Gaussian	9990000000.000000	9990000000.000000
22	1	1142.463379	12733.465634	     -1.00	   3335.05	    527.74	      2.23	      1.96	     39.00	     34.33	47.12	 2.065e+02	    -12.00	0	Gaussian	9990000000.000000	9990000000.000000
23	1	1134.059405	13093.813366	     -1.00	   2612.78	   1000.16	      2.24	      1.87	     39.27	     32.72	40.40	 2.067e+02	    -11.99	0	Gaussian	9990000000.000000	9990000000.000000
24	1	1111.663913	12373.923130	     -1.00	   2759.79	   3225.60	      2.20	      2.01	     38.54	     35.12	-20.27	 1.678e+02	    -11.98	0	Gaussian	9990000000.000000	9990000000.000000
25	1	1128.687956	15532.142767	     -1.00	   2256.93	   2727.65	      1.98	      1.78	     34.58	     31.14	22.93	 2.456e+02	    -11.98	0	Gaussian	9990000000.000000	9990000000.000000
26	1	1140.427272	19273.827944	     -1.00	   4012.95	   3231.07	      1.97	      1.41	     34.53	     24.68	-41.06	 1.767e+02	    -11.96	0	Gaussian	9990000000.000000	9990000000.000000
27	1	1137.466877	17429.475169	     -1.00	   3488.31	   2777.92	      1.91	      1.58	     33.43	     27.66	-19.32	 1.981e+02	    -11.94	0	Gaussian	9990000000.000000	9990000000.000000
28	1	1139.974699	10890.738178	     -1.00	   2302.60	    717.91	      2.37	      2.00	     41.52	     35.05	37.57	 1.764e+02	    -11.92	0	Gaussian	9990000000.000000	9990000000.000000
29	1	1125.505116	9812.489372	     -1.00	   1732.64	   1005.76	      2.49	      2.10	     43.53	     36.68	35.43	 1.119e+02	    -11.91	0	Gaussian	9990000000.000000	9990000000.000000
30	1	1135.961746	10894.457591	     -1.00	   2509.75	    735.06	      2.28	      1.97	     39.86	     34.46	40.19	 1.599e+02	    -11.86	0	Gaussian	9990000000.000000	9990000000.000000
31	1	1109.455483	8226.292796	     -1.00	   1253.54	    739.69	      2.52	      2.35	     44.06	     41.19	-1.72	 1.034e+02	    -11.86	0	Gaussian	9990000000.000000	9990000000.000000
32	1	933.873575	201.392754	     -1.00	   4801.51	   1377.72	     63.94	     40.08	   1119.18	    701.55	-8.73	 1.806e+01	    -11.85	0	Gaussian	9990000000.000000	9990000000.000000
33	1	1137.983245	8221.502144	     -1.00	   4495.40	   1502.34	      2.41	      2.41	     42.14	     42.14	53.48	 1.971e+02	    -11.83	0	Gaussian	9990000000.000000	9990000000.000000
34	1	1136.841658	13125.266232	     -1.00	   4628.76	   2629.98	      2.11	      1.53	     36.89	     26.71	38.93	 1.697e+02	    -11.70	0	Gaussian	9990000000.000000	9990000000.000000
35	1	1121.524266	11394.649228	     -1.00	   1562.10	   3864.99	      2.25	      1.65	     39.33	     28.84	42.78	 1.774e+02	    -11.70	0	Gaussian	9990000000.000000	9990000000.000000
36	1	1108.273779	9058.376893	     -1.00	   1111.61	   2418.96	      2.29	      1.98	     40.02	     34.73	-5.30	 1.164e+02	    -11.67	0	Gaussian	9990000000.000000	9990000000.000000
37	1	1116.688792	7230.488793	     -1.00	   1911.23	    721.35	      2.44	      2.24	     42.76	     39.12	37.13	 1.091e+02	    -11.63	0	Gaussian	9990000000.000000	9990000000.000000
